# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.94705679	0.81198807	1.08212550
0.10407276	0.05974320	0.14840232
0.00112579	-0.00043526	0.00268684
0.00000000	0.00000000	0.00000000
1.85611685	1.66460750	2.04762621
0.50569761	0.37031294	0.64108228
0.11563301	0.05135205	0.17991397
0.02248901	-0.00959816	0.05457619
3.40321702	3.10406124	3.70237280
1.97463445	1.76647979	2.18278910
0.90544790	0.74181372	1.06908207
0.33596781	0.22260048	0.44933513
3.67162033	3.33239691	4.01084375
2.11497332	1.87459297	2.35535367
0.95233322	0.77066550	1.13400095
0.49956470	0.34393229	0.65519711
3.95903868	3.58331519	4.33476218
2.63471996	2.33338063	2.93605929
1.68928403	1.46345389	1.91511416
1.09531154	0.88283260	1.30779047
3.31988062	3.02860737	3.61115388
1.02046495	0.82189919	1.21903071
0.16259140	0.07878157	0.24640124
0.01766854	-0.00780488	0.04314195
4.22664621	3.92811768	4.52517474
1.58049606	1.35219216	1.80879996
0.28334627	0.18790012	0.37879242
0.01218471	-0.00161438	0.02598380
3.81596322	3.50378262	4.12814382
1.52116493	1.26685569	1.77547416
0.34012966	0.21481143	0.46544790
0.02314474	0.00233020	0.04395928
4.42082984	4.07581839	4.76584130
2.00926536	1.73191248	2.28661824
0.56393527	0.39750644	0.73036411
0.05555873	-0.00197902	0.11309647
3.58902079	3.27476369	3.90327788
1.41698460	1.17417529	1.65979391
0.26946475	0.16101109	0.37791841
0.01344193	-0.00373514	0.03061901
2.59175583	2.32213546	2.86137620
0.70119891	0.53279577	0.86960206
0.07573111	0.00892221	0.14254002
0.00779147	-0.00740482	0.02298775
3.36888624	3.05548272	3.68228977
2.12972914	1.85763548	2.40182281
1.12490877	0.91083986	1.33897769
0.58939996	0.41931577	0.75948416
3.55525060	3.20301467	3.90748653
2.29101022	2.05568852	2.52633192
1.21165357	1.01649489	1.40681226
0.57724689	0.41964999	0.73484380
3.43319007	3.15910603	3.70727411
2.05410234	1.82548885	2.28271583
0.99106871	0.80211972	1.18001770
0.46323052	0.30213030	0.62433074
3.04750427	2.76513852	3.32987002
1.55194512	1.34345569	1.76043455
0.68056713	0.53452071	0.82661355
0.20950977	0.12586501	0.29315452
2.47834196	2.22515380	2.73153012
0.42396287	0.30881628	0.53910947
0.01617271	0.00180191	0.03054351
0.00000000	0.00000000	0.00000000
2.98050153	2.72060167	3.24040139
0.73257748	0.58463407	0.88052090
0.03322266	0.00743428	0.05901103
0.00000000	0.00000000	0.00000000
3.38168554	3.10129046	3.66208062
1.20653988	1.00683518	1.40624458
0.13939037	0.07342135	0.20535939
0.00010223	-0.00009814	0.00030259
3.90786606	3.59026111	4.22547102
1.51471844	1.27708407	1.75235281
0.25216797	0.16248853	0.34184742
0.00237102	-0.00106262	0.00580465
4.13376354	3.78088542	4.48664167
1.73168184	1.47816979	1.98519389
0.37869760	0.25458909	0.50280610
0.02683383	0.00340404	0.05026362
4.39754242	4.05674731	4.73833754
2.04932693	1.76397361	2.33468025
0.56071926	0.39911577	0.72232274
0.04437084	0.00131138	0.08743030
3.51488164	3.19942434	3.83033894
1.27897024	1.06434055	1.49359992
0.21934955	0.13983586	0.29886324
0.01289927	-0.00657604	0.03237457
4.35735554	4.03790361	4.67680746
1.86350088	1.61446096	2.11254079
0.45548001	0.30924429	0.60171573
0.06301750	0.01070840	0.11532660
