# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
392.02404102	336.65191201	447.39617003
73.37731804	49.76263006	96.99200602
3.46304257	-0.17032413	7.09640928
0.00000000	0.00000000	0.00000000
735.01157793	641.51943872	828.50371714
224.91826953	177.79139610	272.04514296
61.08897279	34.96565722	87.21228836
5.63160667	-0.14124804	11.40446138
1483.24007933	1328.29305031	1638.18710835
679.25812502	615.90874383	742.60750622
406.64448785	339.42714085	473.86183485
154.08372897	111.07401908	197.09343886
1480.07664038	1324.72642803	1635.42685273
737.85061914	653.05659186	822.64464642
414.38770151	339.38221689	489.39318612
252.00568061	185.67865126	318.33270996
1579.91539788	1395.84500539	1763.98579037
874.13214160	784.75626666	963.50801653
624.22145722	544.30013268	704.14278176
477.09943192	384.02642008	570.17244377
870.17858912	780.58679932	959.77037892
330.16167004	290.52790659	369.79543350
115.81883430	80.01507724	151.62259136
11.08978610	3.21593413	18.96363807
1119.53136813	1037.40428714	1201.65844912
439.66891832	393.54389860	485.79393804
156.12629811	128.43201205	183.82058417
23.69869357	12.67920428	34.71818286
1195.29246072	1068.53404789	1322.05087354
418.78269688	373.11064505	464.45474872
149.13378003	117.08535174	181.18220832
31.60818661	17.39240021	45.82397300
1354.97724038	1218.76877511	1491.18570565
506.31592779	453.85517780	558.77667778
215.29236777	179.30959773	251.27513781
51.42323939	27.48388220	75.36259658
1136.36613064	1026.63871114	1246.09355014
423.71970170	375.54080140	471.89860199
154.40523112	121.63291785	187.17754440
20.56137384	9.43436695	31.68838072
794.00933797	716.32428402	871.69439192
282.59591213	246.01562709	319.17619717
62.94750226	44.15922206	81.73578246
5.34920871	-0.69654898	11.39496639
1553.16957005	1399.71344850	1706.62569160
772.96118411	681.67688275	864.24548546
474.02649109	397.29587400	550.75710817
308.03179830	230.19877582	385.86482078
1477.64245875	1302.56506114	1652.71985636
817.72988358	725.86391055	909.59585661
490.02228781	429.32057848	550.72399713
290.91128344	219.08622499	362.73634190
1404.25285736	1264.89258866	1543.61312606
811.00758794	711.98814882	910.02702707
416.02695838	345.17827103	486.87564574
234.87845307	173.76336779	295.99353835
1245.88974226	1121.29723062	1370.48225391
578.80232357	503.35112309	654.25352404
303.88419239	249.40559225	358.36279253
120.86162231	80.01301907	161.71022555
672.90585889	612.72743454	733.08428324
201.27867938	172.46945399	230.08790477
33.53173346	21.35782678	45.70564015
1.74681198	-0.70756126	4.20118521
836.85789672	762.12025200	911.59554145
265.43041452	235.29464566	295.56618338
51.80028950	37.67079136	65.92978763
1.73583423	-1.29279013	4.76445858
1001.94522952	900.50690173	1103.38355731
356.59368870	313.71387908	399.47349831
98.99604667	75.66674771	122.32534562
13.65577696	5.43213317	21.87942075
1098.12096331	1015.30274087	1180.93918576
399.62572502	355.67491272	443.57653732
135.31042377	109.40779508	161.21305247
18.76593652	10.12576267	27.40611037
1212.53222219	1103.62798526	1321.43645911
494.70216451	429.89220940	559.51211963
180.81175006	147.87504571	213.74845440
27.18083481	14.05801275	40.30365686
1358.56211454	1240.34515080	1476.77907828
538.96414264	480.91099897	597.01728632
224.87912958	185.16176131	264.59649786
50.92655856	29.68842023	72.16469689
1134.53180556	1033.86370968	1235.19990145
411.92020771	368.14302266	455.69739277
142.71227564	113.89947788	171.52507340
21.89798005	8.70209495	35.09386514
1277.36264963	1183.72780109	1370.99749818
539.59723702	478.22094693	600.97352711
205.25492674	170.83160841	239.67824508
48.62621997	28.68396338	68.56847656
