# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
127.85156250	115.11800373	140.58512127
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
117.98688616	110.90924206	125.06453026
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
80.94587054	77.16471158	84.72702950
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
83.73046875	78.93301629	88.52792121
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
78.90231838	72.40892905	85.39570772
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
90.11862161	83.22192293	97.01532029
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
64.02813007	60.36138304	67.69487711
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
68.11028815	64.21644087	72.00413543
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
61.31624235	58.03726651	64.59521820
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
73.37522829	68.24965239	78.50080419
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
85.04476968	78.77701697	91.31252239
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
81.45089286	77.03199961	85.86978611
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
87.25027902	80.23064882	94.26990922
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
93.89229911	87.10852219	100.67607602
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
96.78571429	90.27172065	103.29970792
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
89.43219866	83.69905503	95.16534229
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
78.74441964	74.28917341	83.19966588
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
68.96776075	65.33766757	72.59785394
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
67.19650467	62.76598199	71.62702735
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
66.62734726	61.84371564	71.41097888
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
63.29337655	59.23235385	67.35439924
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
76.13052963	70.59709338	81.66396588
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
62.68622003	59.43936268	65.93307738
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
