# mean	lower_ci	upper_ci
0.79200777	0.69493461	0.88908094
1.20841879	1.07114624	1.34569135
1.33979777	1.16555185	1.51404368
1.48984626	1.28001813	1.69967440
1.88628772	1.68489187	2.08768358
2.17553063	1.93465641	2.41640484
1.78574655	1.57805662	1.99343649
1.83420594	1.57624461	2.09216726
2.73288645	2.41536602	3.05040689
4.15173236	3.78690339	4.51656134
3.90726090	3.57412843	4.24039338
3.65528989	3.28707921	4.02350057
4.29993465	3.87090913	4.72896016
5.97643990	5.40748754	6.54539226
6.66191577	6.01252441	7.31130713
6.05231400	5.39131037	6.71331763
6.04911589	5.47413865	6.62409312
7.62541896	6.94519854	8.30563938
7.69840349	7.00965250	8.38715448
7.37655692	6.68088606	8.07222779
6.41885834	5.75649835	7.08121833
6.38298883	5.71160244	7.05437521
5.84774216	5.23937817	6.45610615
5.41968035	4.87005489	5.96930580
6.50043342	5.93352861	7.06733823
9.33231545	8.65816374	10.00646716
9.81170901	8.96215314	10.66126488
9.32721827	8.43314866	10.22128788
10.53513186	9.64526605	11.42499766
13.92028929	12.99368819	14.84689039
14.42173781	13.42516544	15.41831018
13.17223207	12.18999946	14.15446468
12.75790245	11.71485437	13.80095054
15.00455995	13.85551703	16.15360287
15.49351178	14.23411163	16.75291193
13.99759805	12.78155046	15.21364564
12.56879345	11.41859930	13.71898760
13.37597003	12.16429509	14.58764496
12.68494118	11.56745031	13.80243205
11.13453011	10.12999862	12.13906159
8.64334295	7.75974378	9.52694213
7.52584801	6.74442461	8.30727142
6.70847574	6.13049888	7.28645261
5.40606596	4.92863177	5.88350015
4.89683350	4.47370947	5.31995753
6.48131185	6.03841780	6.92420591
5.89667179	5.51468018	6.27866341
4.90078971	4.50227053	5.29930890
4.18728173	3.85508036	4.51948310
5.16175420	4.74152262	5.58198578
5.23508092	4.77666767	5.69349418
5.19669771	4.70779742	5.68559799
4.24715104	3.83977910	4.65452297
4.24762518	3.92349083	4.57175954
4.23315575	3.88809773	4.57821377
3.99251356	3.58147708	4.40355005
3.41935570	3.07718502	3.76152638
3.55539600	3.22564110	3.88515091
3.32478316	3.06360167	3.58596465
3.28486675	3.01001637	3.55971714
3.33327888	3.01734122	3.64921654
4.56117942	4.19315277	4.92920607
4.22722583	3.86108068	4.59337098
3.83865861	3.48163903	4.19567819
4.54337498	4.11319419	4.97355577
6.89763248	6.37129540	7.42396955
6.37346617	5.85336184	6.89357049
5.33261614	4.84119243	5.82403986
6.55368272	5.94622609	7.16113935
10.05380662	9.37424023	10.73337301
10.54443849	9.69707433	11.39180264
9.94778131	8.96094351	10.93461911
10.69792061	9.57144674	11.82439449
13.83393904	12.58111614	15.08676195
14.05955859	12.75047352	15.36864367
12.29818040	10.97076368	13.62559711
12.21860889	10.97167703	13.46554076
15.19373889	13.89420178	16.49327600
16.01652883	14.69338329	17.33967436
15.50538325	14.16707841	16.84368809
15.45377483	14.04846519	16.85908447
17.76276917	16.22142078	19.30411756
18.50162701	16.82188789	20.18136613
17.12425951	15.45435754	18.79416148
16.59711886	14.88051803	18.31371970
19.08073487	17.23340933	20.92806042
19.92595516	18.07548387	21.77642646
18.93765782	17.02685736	20.84845828
18.88492786	16.93283970	20.83701602
21.44604107	19.44047617	23.45160597
21.03938267	19.04683725	23.03192810
20.35386627	18.34218876	22.36554378
18.12406800	16.19305893	20.05507707
18.25836035	16.27698358	20.23973712
16.86225730	15.02038073	18.70413387
14.90541295	13.19059349	16.62023241
