# mean	lower_ci	upper_ci
156.07849055	137.53306934	174.62391175
175.87421588	157.24858351	194.49984825
180.11968779	160.65558705	199.58378854
204.27001777	180.79703675	227.74299878
219.03711515	178.18228714	259.89194316
205.76587965	178.91177913	232.61998018
224.16367404	192.20169718	256.12565090
220.40155733	181.01575442	259.78736024
195.85834058	172.03488717	219.68179400
245.35791006	223.89121500	266.82460513
233.25217324	215.74329590	250.76105059
232.25361124	209.26544982	255.24177265
257.42776486	233.75963072	281.09589899
304.31039246	275.19638888	333.42439603
311.03809125	282.86071150	339.21547101
296.47535568	268.03793981	324.91277155
334.12650789	301.51371242	366.73930336
361.09210904	326.42647044	395.75774764
362.46357881	325.63568818	399.29146945
358.15446320	319.10960855	397.19931785
321.26866071	289.60363757	352.93368384
309.69258357	276.66268569	342.72248145
300.65830043	270.36009005	330.95651081
291.88082482	263.16742774	320.59422189
291.19792603	264.89277477	317.50307729
349.61830861	311.96066709	387.27595012
386.82999422	345.63345199	428.02653644
387.01960566	347.51734102	426.52187030
431.34259080	390.19699918	472.48818241
511.33543021	468.67503904	553.99582139
483.39180766	446.94712221	519.83649311
481.96368089	439.63276390	524.29459789
481.93583081	437.26206632	526.60959529
540.10841552	490.03638129	590.18044975
524.94426467	479.26715536	570.62137398
498.00428446	443.95641402	552.05215491
494.70297812	442.09469716	547.31125907
502.13627494	440.52874691	563.74380296
447.57594609	405.18732894	489.96456325
417.71119840	378.05585258	457.36654422
340.48649627	298.53981228	382.43318025
258.41850175	229.48329957	287.35370392
282.51117269	240.01326169	325.00908369
252.13113629	230.30302024	273.95925235
239.13988453	216.75869669	261.52107237
243.91414049	226.64001080	261.18827017
248.98024734	232.57726670	265.38322798
241.58644895	222.46925507	260.70364283
249.71388731	224.69615974	274.73161487
274.94305514	248.13763190	301.74847838
276.74728432	254.23062899	299.26393966
261.62937828	237.60631378	285.65244279
243.59840724	221.81407871	265.38273578
249.35490180	229.50104930	269.20875431
243.44347104	224.20371820	262.68322387
236.14423388	215.33510603	256.95336173
227.99663539	206.75713003	249.23614075
226.06030898	207.26076503	244.85985294
229.02520846	208.58567903	249.46473789
220.39385705	204.24154041	236.54617368
235.70708535	212.27270543	259.14146527
256.49240042	227.07577061	285.90903023
239.37037665	222.70966058	256.03109272
226.94042686	211.48208001	242.39877371
261.28218651	235.71332451	286.85104851
320.93426753	289.79021366	352.07832141
306.96031283	276.67744080	337.24318486
307.77826180	270.95443925	344.60208434
363.81691747	325.60487169	402.02896326
444.29845437	399.21648677	489.38042196
486.01538393	433.98202231	538.04874555
435.07648896	394.26979118	475.88318675
487.05974795	409.06669680	565.05279909
526.14322190	470.85085154	581.43559226
510.21117906	456.76364203	563.65871609
464.18053370	412.67251342	515.68855398
520.87330858	463.37176118	578.37485598
566.97671330	504.98478758	628.96863902
560.04406556	511.32243084	608.76570028
595.93531491	535.35032839	656.52030143
620.96370935	554.18846439	687.73895431
706.86308938	627.14502030	786.58115846
591.92800151	533.87873840	649.97726462
573.73872378	515.43503967	632.04240789
655.37049545	583.15383737	727.58715353
757.69917881	657.78149944	857.61685818
696.02144452	620.37374305	771.66914599
670.26607286	590.97948380	749.55266192
745.49334566	654.15531919	836.83137212
793.67296209	694.06628229	893.27964190
777.30562404	672.85986256	881.75138552
717.41837722	637.89522961	796.94152483
737.22956634	648.29097760	826.16815508
729.24962563	629.15217671	829.34707456
588.02608777	526.32326459	649.72891095
597.32815092	501.29477962	693.36152222
