# mean	lower_ci	upper_ci
2.21093750	1.95586947	2.46600553
3.12500000	2.83576499	3.41423501
3.21875000	2.91288607	3.52461393
3.29687500	3.00088877	3.59286123
3.30468750	3.00144544	3.60792956
3.87500000	3.52783630	4.22216370
3.85156250	3.50570151	4.19742349
3.78906250	3.45674800	4.12137700
5.75000000	5.30925729	6.19074271
6.82031250	6.40358357	7.23704143
6.95312500	6.57291361	7.33333639
6.95312500	6.52662871	7.37962129
7.40625000	6.98895216	7.82354784
7.76562500	7.32623320	8.20501680
8.64062500	8.14834698	9.13290302
8.07812500	7.53915597	8.61709403
8.41406250	7.90211467	8.92601033
8.66406250	8.11481393	9.21331107
8.97656250	8.47584528	9.47727972
8.78906250	8.25713607	9.32098893
8.26562500	7.83657368	8.69467632
7.70312500	7.22515648	8.18109352
7.41406250	6.91948896	7.90863604
7.53906250	7.02832783	8.04979717
9.32031250	8.78959531	9.85102969
10.36718750	9.81897521	10.91539979
9.83593750	9.32526067	10.34661433
10.15625000	9.60264719	10.70985281
11.29687500	10.73315304	11.86059696
11.74218750	11.20425568	12.28011932
11.28125000	10.72615514	11.83634486
10.99218750	10.39819906	11.58617594
11.55468750	10.91204066	12.19733434
11.75000000	11.14869483	12.35130517
11.15625000	10.59417454	11.71832546
11.34375000	10.79831810	11.88918190
10.53906250	9.95050719	11.12761781
9.39062500	8.84614849	9.93510151
9.47656250	8.93350692	10.01961808
9.13281250	8.58352359	9.68210141
7.94531250	7.47333977	8.41728523
5.89062500	5.46116078	6.32008922
6.25000000	5.79918490	6.70081510
5.57031250	5.13731405	6.00331095
6.26562500	5.84323492	6.68801508
7.15625000	6.67479460	7.63770540
6.76562500	6.33547350	7.19577650
7.19531250	6.70624970	7.68437530
7.02343750	6.54492272	7.50195228
7.29687500	6.83041681	7.76333319
7.18750000	6.70589124	7.66910876
7.67187500	7.22257773	8.12117227
6.78125000	6.31197431	7.25052569
5.92968750	5.52518849	6.33418651
6.44531250	5.97509551	6.91552949
6.13281250	5.71611901	6.54950599
5.71093750	5.31472070	6.10715430
5.45312500	5.02773834	5.87851166
5.28906250	4.93908365	5.63904135
5.50000000	5.11784155	5.88215845
5.81250000	5.36868495	6.25631505
6.75000000	6.30445778	7.19554222
6.76562500	6.33273529	7.19851471
6.53906250	6.09516634	6.98295866
6.92968750	6.47668466	7.38269034
7.51562500	7.03145462	7.99979538
8.04687500	7.53987550	8.55387450
7.75781250	7.30036465	8.21526035
8.13281250	7.62978505	8.63583995
9.14843750	8.67557373	9.62130127
9.02343750	8.55389632	9.49297868
9.67968750	9.13274295	10.22663205
11.59375000	10.99700630	12.19049370
10.76562500	10.12826733	11.40298267
11.05468750	10.47283312	11.63654188
11.01562500	10.39460563	11.63664437
10.94531250	10.29991359	11.59071141
11.44531250	10.88984692	12.00077808
11.38281250	10.81045315	11.95517185
10.97656250	10.44918149	11.50394351
11.75000000	11.15066310	12.34933690
11.00000000	10.44402777	11.55597223
12.29687500	11.70813621	12.88561379
11.97656250	11.31841668	12.63470832
11.46093750	10.85536275	12.06651225
11.43750000	10.81771264	12.05728736
11.25781250	10.57541632	11.94020868
11.12500000	10.55269065	11.69730935
11.47656250	10.84199904	12.11112596
11.81250000	11.20698471	12.41801529
11.14062500	10.58519099	11.69605901
11.99218750	11.37364207	12.61073293
9.97656250	9.36804373	10.58508127
9.21875000	8.64112318	9.79637682
8.75000000	8.15224238	9.34775762
9.19531250	8.65746306	9.73316194
