# mean	lower_ci	upper_ci
0.19913713	0.15453018	0.24374407
0.31958489	0.26622336	0.37294642
0.27294784	0.22354568	0.32234999
0.34034850	0.26785697	0.41284002
0.40862345	0.34049632	0.47675058
0.38883723	0.31284930	0.46482515
0.34724937	0.28254853	0.41195021
0.35479900	0.29031187	0.41928612
0.78337687	0.65274714	0.91400661
1.19382779	0.99596796	1.39168762
0.95946619	0.79315175	1.12578063
0.94840880	0.79522071	1.10159689
1.30809672	1.10895500	1.50723844
1.54470875	1.29701755	1.79239996
1.53109417	1.29387548	1.76831286
1.64941656	1.34617956	1.95265355
1.92573092	1.62271436	2.22874748
2.22109497	1.86554935	2.57664059
2.07265186	1.72642947	2.41887424
2.10551805	1.72721565	2.48382044
2.30635339	1.90071319	2.71199359
2.06079613	1.67947259	2.44211967
1.77623719	1.44372249	2.10875190
1.29891707	1.06423047	1.53360368
1.91300781	1.66341736	2.16259825
3.38088990	2.93678250	3.82499731
3.05072167	2.48232329	3.61912006
3.25209018	2.64732597	3.85685438
4.51340642	3.86992524	5.15688761
6.03875513	5.22327075	6.85423952
5.75831148	4.92192743	6.59469554
5.24844690	4.42394337	6.07295042
6.28433195	5.41595112	7.15271279
7.25775412	6.28586475	8.22964350
6.80393909	5.74653823	7.86133994
6.49717968	5.38399256	7.61036681
7.11595737	6.00410946	8.22780527
7.06568722	5.90165927	8.22971517
5.65595840	4.55105954	6.76085725
4.56060951	3.58191299	5.53930604
3.83363194	2.97352979	4.69373409
2.74266163	1.99174811	3.49357514
1.58271997	1.08915281	2.07628714
1.11422788	0.75944922	1.46900653
1.07592236	0.80102187	1.35082284
1.48052204	1.17060507	1.79043901
1.11814906	0.90655265	1.32974546
1.05051290	0.87516997	1.22585582
1.40906677	1.18272180	1.63541173
1.46550214	1.19668077	1.73432351
1.33994051	1.04491392	1.63496709
1.28586806	1.03890601	1.53283010
1.33888928	1.12173772	1.55604084
1.19715351	1.00471890	1.38958813
0.86897506	0.73239776	1.00555236
0.76359916	0.63387771	0.89332060
0.94598329	0.81441300	1.07755357
0.91963658	0.74891344	1.09035971
0.66674332	0.54962858	0.78385807
0.56637659	0.47113814	0.66161505
0.91288364	0.76950320	1.05626409
1.15458100	0.96223950	1.34692249
0.97643502	0.80626056	1.14660948
0.94294443	0.76469356	1.12119530
1.46117900	1.21359215	1.70876585
1.79897856	1.48977439	2.10818273
1.34580800	1.11822548	1.57339051
1.31131445	1.10296743	1.51966146
1.86577608	1.59615888	2.13539328
2.83428037	2.44939681	3.21916392
2.65297229	2.21926634	3.08667823
2.57834112	2.08646444	3.07021779
3.95721733	3.25863265	4.65580200
4.69707830	3.91700376	5.47715284
4.69226268	3.84328047	5.54124489
4.49028256	3.70091592	5.27964920
5.17280854	4.35588387	5.98973320
6.08904508	5.22218491	6.95590524
6.12638640	5.25966373	6.99310907
5.70966306	4.85319515	6.56613097
6.86208622	5.92810543	7.79606701
7.71598672	6.67225903	8.75971441
7.26514155	6.23701333	8.29326977
6.81442340	5.69834450	7.93050230
7.86421160	6.62250299	9.10592021
9.39693096	7.94078469	10.85307722
9.41380381	7.92947263	10.89813499
8.82908547	7.32468816	10.33348278
9.37969177	7.86501153	10.89437200
11.13150896	9.55496554	12.70805237
10.48933156	8.92291366	12.05574946
10.02579821	8.46135393	11.59024249
10.41432604	8.83929164	11.98936044
10.16134521	8.55583909	11.76685132
8.43250227	6.97875659	9.88624796
6.87382376	5.49830842	8.24933910
