# mean	lower_ci	upper_ci
0.03824406	0.01356745	0.06292068
0.07373943	0.04692982	0.10054903
0.05407617	0.02891025	0.07924209
0.09699396	0.05221386	0.14177406
0.10716843	0.06746225	0.14687462
0.11681393	0.07025966	0.16336819
0.09332584	0.05454792	0.13210377
0.08596609	0.04732156	0.12461063
0.35002520	0.25054178	0.44950861
0.66559488	0.49972113	0.83146864
0.47197633	0.33966178	0.60429088
0.45160744	0.32985025	0.57336463
0.71316404	0.54491513	0.88141294
0.93258735	0.71490673	1.15026797
0.91208386	0.70596998	1.11819774
1.04068881	0.76879650	1.31258112
1.26386261	0.98917223	1.53855299
1.53479847	1.20826663	1.86133031
1.41006151	1.09314846	1.72697457
1.43553525	1.08525528	1.78581521
1.58742174	1.20477725	1.97006622
1.42215306	1.06958969	1.77471643
1.16834071	0.86689701	1.46978441
0.74232139	0.53709779	0.94754500
1.21004542	0.98621512	1.43387572
2.57766123	2.15611880	2.99920365
2.32454076	1.78215051	2.86693101
2.52083500	1.94054126	3.10112874
3.68311224	3.05811958	4.30810490
5.16403758	4.36435078	5.96372437
4.90232094	4.08252052	5.72212136
4.41298146	3.60751051	5.21845240
5.39521672	4.53959529	6.25083815
6.36400278	5.40149633	7.32650923
5.94413197	4.90200464	6.98625931
5.66301293	4.56728117	6.75874468
6.26879587	5.17302487	7.36456688
6.22474399	5.07827192	7.37121605
4.87723673	3.79586725	5.95860621
3.81402202	2.85796274	4.77008131
3.09521643	2.25551500	3.93491787
2.13642713	1.41367553	2.85917874
1.06361298	0.59664349	1.53058248
0.65210240	0.32173553	0.98246928
0.56187300	0.30760771	0.81613830
0.89381524	0.60935982	1.17827067
0.59610025	0.41666428	0.77553621
0.52921778	0.38434007	0.67409549
0.79939640	0.59944281	0.99934999
0.87971291	0.64186987	1.11755596
0.81247286	0.54764148	1.07730424
0.72867717	0.51045824	0.94689611
0.75884176	0.57323437	0.94444915
0.64251002	0.48295610	0.80206393
0.39051130	0.28832065	0.49270196
0.32328680	0.22681156	0.41976204
0.44151183	0.34073670	0.54228697
0.46702294	0.33144363	0.60260225
0.26191130	0.17875238	0.34507022
0.20468319	0.13930715	0.27005923
0.42462570	0.31171876	0.53753263
0.61069960	0.44871993	0.77267926
0.47069418	0.32804518	0.61334318
0.49001608	0.34458595	0.63544621
0.85526148	0.63681830	1.07370467
1.14728717	0.86780040	1.42677394
0.76708954	0.57150232	0.96267676
0.72420865	0.54420056	0.90421674
1.18572072	0.94503063	1.42641081
2.06534921	1.70605550	2.42464291
1.89911003	1.48735888	2.31086119
1.88242244	1.41643026	2.34841462
3.16812362	2.48958941	3.84665783
3.90272167	3.14350355	4.66193979
3.92098807	3.09583310	4.74614304
3.69877563	2.93065560	4.46689566
4.32796824	3.52648696	5.12944952
5.21601579	4.36222532	6.06980626
5.27569025	4.42621214	6.12516837
4.86822131	4.02764561	5.70879700
5.96698809	5.04352832	6.89044786
6.83668448	5.80579769	7.86757127
6.39323500	5.38027027	7.40619972
5.95960701	4.85829276	7.06092126
6.98299322	5.75371871	8.21226772
8.49985385	7.05337890	9.94632879
8.53051102	7.05947665	10.00154539
7.97326787	6.48291741	9.46361833
8.49060598	6.98795085	9.99326111
10.21612689	8.64808708	11.78416670
9.60854367	8.05486890	11.16221843
9.13770170	7.58570554	10.68969786
9.53143454	7.96744081	11.09542828
9.30652698	7.71534510	10.89770886
7.60893405	6.17272629	9.04514181
6.09454075	4.74197153	7.44710997
