# mean	lower_ci	upper_ci
40.03272255	31.07417338	48.99127172
52.00286355	45.24322338	58.76250373
47.41584984	38.68982383	56.14187584
51.99608682	41.88793020	62.10424343
54.16138703	46.02298977	62.29978428
42.44937661	36.56991642	48.32883679
46.33242459	38.23944952	54.42539965
47.91359100	41.38022118	54.44696082
69.73987547	57.83281710	81.64693383
97.31694933	77.84542283	116.78847584
67.81994465	58.98048012	76.65940917
73.38030492	62.18342220	84.57718764
86.23828566	73.91784479	98.55872653
98.22947218	83.19529061	113.26365375
106.54508597	88.71176713	124.37840481
107.73671822	88.21362487	127.25981157
111.85846641	97.12292217	126.59401065
123.13055451	105.04756597	141.21354306
144.89223089	116.63632901	173.14813278
122.00878864	100.60150516	143.41607213
129.80402292	108.70818420	150.89986163
124.33720688	101.77970125	146.89471251
113.57601695	96.16234774	130.98968616
87.94061710	74.52846846	101.35276573
118.74525696	101.26856441	136.22194951
188.02042071	156.17020472	219.87063669
177.76839596	134.42138290	221.11540901
193.12721073	137.50858033	248.74584112
235.85039891	197.33474846	274.36604937
314.14446571	263.18502528	365.10390613
269.92597914	231.77326577	308.07869251
276.12155919	229.47100906	322.77210931
321.55656246	269.25476419	373.85836072
354.09894665	300.34932582	407.84856748
343.03632064	287.28724920	398.78539207
333.15388626	273.21900324	393.08876928
339.39134991	282.11433350	396.66836633
358.93058295	292.35726257	425.50390333
283.80027580	226.44528666	341.15526495
228.90463095	182.45466378	275.35459811
204.32226276	157.55103396	251.09349156
159.06960675	115.77374788	202.36546562
89.13221516	72.88656538	105.37786495
86.30762580	67.10838721	105.50686438
83.87334897	66.61539531	101.13130263
100.74716067	84.76229262	116.73202871
79.94780193	67.86765608	92.02794778
83.86732832	70.44516465	97.28949199
90.84081745	77.18836520	104.49326970
106.22174670	80.98273825	131.46075516
96.37059875	72.08773733	120.65346017
94.18739425	76.19779147	112.17699702
87.69996411	72.14237888	103.25754933
92.75285040	77.83274770	107.67295309
66.70709435	58.18426769	75.22992101
66.69328963	57.59803727	75.78854199
76.03622131	67.12841734	84.94402528
73.52090545	62.97118778	84.07062312
62.86011942	54.27255285	71.44768599
57.95862766	49.77800976	66.13924556
75.08631858	64.96992863	85.20270853
81.69003756	68.16734784	95.21272728
78.55305499	68.18226894	88.92384105
94.23074073	50.05691306	138.40456840
96.97071132	82.02146205	111.91996059
104.49488451	87.97117077	121.01859824
90.04552586	74.94803939	105.14301233
94.10189971	78.71949824	109.48430118
111.91724263	96.09220996	127.74227531
167.51285261	139.34471243	195.68099279
155.78569570	119.85286962	191.71852177
156.41772788	122.84174638	189.99370938
227.32572864	183.01918196	271.63227532
235.91688169	195.52506601	276.30869738
261.23018611	208.17407152	314.28630070
211.79666892	177.28142701	246.31191083
265.17835412	221.17701645	309.17969178
292.68387835	243.45774107	341.91001563
316.48831125	269.87680045	363.09982204
294.17181206	246.41833442	341.92528971
332.15582787	284.97058663	379.34106911
385.73094397	325.30717254	446.15471541
335.32488459	283.60563802	387.04413115
335.40596653	272.98096772	397.83096533
407.86543202	336.05501255	479.67585148
480.90510046	398.36956061	563.44064031
495.25374339	407.06989878	583.43758799
438.28594881	356.25833174	520.31356588
459.96999534	382.31013920	537.62985148
574.98341849	464.40236489	685.56447208
525.77816317	424.47985731	627.07646904
509.63038393	426.03780701	593.22296086
518.62254597	430.44272276	606.80236918
516.70206088	426.23030726	607.17381450
379.86231738	316.11469273	443.60994203
354.61911393	278.62219384	430.61603401
