# mean	lower_ci	upper_ci
0.16089306	0.13440031	0.18738582
0.24584546	0.21530721	0.27638371
0.21887167	0.18823797	0.24950536
0.24335454	0.21028685	0.27642223
0.30145502	0.26708524	0.33582480
0.27202330	0.23548921	0.30855739
0.25392352	0.22192078	0.28592627
0.26883290	0.23610392	0.30156189
0.43335168	0.39427911	0.47242424
0.52823291	0.48633295	0.57013287
0.48748986	0.44402458	0.53095514
0.49680136	0.45562346	0.53797926
0.59493268	0.55439391	0.63547146
0.61212140	0.57033734	0.65390547
0.61901031	0.57765243	0.66036820
0.60872775	0.56510924	0.65234625
0.66186831	0.62208352	0.70165310
0.68629650	0.64604776	0.72654524
0.66259034	0.62169942	0.70348127
0.66998280	0.62832335	0.71164225
0.71893165	0.68192435	0.75593895
0.63864307	0.59500952	0.68227663
0.60789648	0.56343783	0.65235512
0.55659568	0.51364874	0.59954261
0.70296238	0.66700555	0.73891922
0.80322868	0.76937310	0.83708426
0.72618091	0.68443741	0.76792442
0.73125518	0.69211336	0.77039700
0.83029419	0.80065269	0.85993569
0.87471756	0.84648903	0.90294609
0.85599054	0.82359076	0.88839032
0.83546544	0.80329641	0.86763447
0.88911523	0.86544606	0.91278441
0.89375134	0.87361245	0.91389023
0.85980711	0.83124593	0.88836830
0.83416676	0.80306004	0.86527348
0.84716149	0.81658947	0.87773351
0.84094323	0.80688034	0.87500613
0.77872166	0.73622263	0.82122069
0.74658749	0.70704998	0.78612499
0.73841551	0.69988541	0.77694560
0.60623449	0.55799145	0.65447754
0.51910699	0.47103163	0.56718235
0.46212547	0.41766469	0.50658626
0.51404935	0.47373474	0.55436396
0.58670680	0.54364981	0.62976378
0.52204881	0.47684522	0.56725240
0.52129512	0.48061532	0.56197492
0.60967037	0.57079273	0.64854801
0.58578922	0.54275985	0.62881860
0.52746765	0.48263384	0.57230145
0.55719088	0.51614409	0.59823767
0.58004752	0.53813841	0.62195664
0.55464349	0.51313999	0.59614700
0.47846376	0.43508858	0.52183894
0.44031236	0.39872766	0.48189705
0.50447145	0.46627457	0.54266833
0.45261363	0.40767647	0.49755080
0.40483203	0.36265875	0.44700530
0.36169340	0.32450757	0.39887923
0.48825795	0.44804686	0.52846903
0.54388140	0.50174099	0.58602181
0.50574084	0.46449242	0.54698925
0.45292835	0.41112327	0.49473343
0.60591752	0.56491147	0.64692357
0.65169139	0.60924295	0.69413983
0.57871846	0.53558375	0.62185317
0.58710579	0.54784606	0.62636553
0.68005536	0.64150399	0.71860673
0.76893116	0.73083914	0.80702318
0.75386225	0.71685263	0.79087188
0.69591868	0.65334387	0.73849350
0.78909371	0.75591507	0.82227235
0.79435663	0.75933555	0.82937771
0.77127461	0.73277176	0.80977746
0.79150693	0.75573852	0.82727534
0.84484030	0.81544344	0.87423716
0.87302928	0.84894604	0.89711253
0.85069615	0.81994339	0.88144890
0.84144175	0.80980896	0.87307454
0.89509813	0.87366171	0.91653456
0.87930223	0.85260553	0.90599893
0.87190655	0.84261092	0.90120219
0.85481639	0.82521551	0.88441727
0.88121838	0.85577501	0.90666176
0.89707711	0.87243724	0.92171698
0.88329279	0.85503429	0.91155130
0.85581760	0.82337870	0.88825649
0.88908579	0.86262333	0.91554825
0.91538207	0.89470077	0.93606337
0.88078789	0.85291342	0.90866236
0.88809651	0.86091466	0.91527836
0.88289149	0.85616346	0.90961953
0.85481822	0.82458284	0.88505361
0.82356822	0.78664540	0.86049104
0.77928301	0.73709214	0.82147388
