# mean	lower_ci	upper_ci
6.89653511	1.57257703	12.22049319
9.52699108	6.19280061	12.86118154
6.78569763	3.54363329	10.02776198
12.20885862	5.97501401	18.44270322
11.52075176	6.66006979	16.38143373
10.26561783	6.67181225	13.85942341
10.33537671	6.52651374	14.14423968
8.89619499	5.27011703	12.52227295
29.21076166	20.26032166	38.16120166
53.49495738	38.30398746	68.68592730
28.67321784	21.56613052	35.78030516
33.00560374	23.67499692	42.33621056
45.37468422	34.87610519	55.87326324
56.85549668	43.48349693	70.22749643
61.29114183	45.88456884	76.69771482
64.43753487	47.25022452	81.62484522
70.72044893	57.57937210	83.86152575
81.30330605	64.64647992	97.96013218
98.90657427	74.03031802	123.78283051
80.56761368	60.62366342	100.51156395
86.63152898	66.64069126	106.62236670
82.49894274	61.36424328	103.63364220
68.64239388	52.19985029	85.08493747
47.18388998	35.45433687	58.91344310
74.43867968	58.86815111	90.00920826
143.16509192	113.26350900	173.06667483
135.72018412	94.16422498	177.27614326
146.83323140	96.28073842	197.38572438
192.04923983	155.13404929	228.96443038
268.55843708	219.14428544	317.97258871
226.76461206	189.89559647	263.63362764
231.42128256	186.28941978	276.55314534
275.68762651	225.15492069	326.22033233
310.52213660	258.00504693	363.03922627
297.50717123	242.72441435	352.28992811
288.99920815	230.36156628	347.63685001
298.18914856	242.16695062	354.21134650
314.67795849	249.51941482	379.83650216
241.96811981	185.82743282	298.10880680
184.81733620	139.09294351	230.54172890
161.72456192	116.13425166	207.31487218
116.99804148	75.19739555	158.79868740
48.59399951	32.93926927	64.24872976
42.58644895	24.60941397	60.56348392
40.24373711	24.72836989	55.75910433
55.24752151	40.69381445	69.80122858
37.52749662	27.92005934	47.13493390
39.57367155	28.69207235	50.45527075
48.57402589	36.32551104	60.82254075
63.22860308	41.10798873	85.34921743
56.33218062	34.50431477	78.16004647
49.82655398	34.47704603	65.17606192
46.43662846	33.27936462	59.59389230
45.52321483	33.38900336	57.65742630
26.96447480	20.41234211	33.51660749
24.84901155	17.92464918	31.77337391
32.15497580	25.64607864	38.66387296
32.24688239	23.56376078	40.93000400
20.30027155	14.19115704	26.40938606
18.42402226	12.61393102	24.23411350
32.24417674	24.17410543	40.31424804
40.19056149	28.31352369	52.06759930
33.89817834	25.58451778	42.21183889
51.68041612	13.95670189	89.40413035
54.12537860	40.83463611	67.41612109
62.34484707	47.66984394	77.01985021
47.88885767	34.66011530	61.11760004
50.44288898	36.87425498	64.01152298
69.12914078	55.25537797	83.00290359
122.00884959	96.23714044	147.78055874
110.65239109	77.55080010	143.75398207
113.00085119	81.66419347	144.33750891
181.42114036	139.09578789	223.74649284
193.20142876	153.99034826	232.41250926
216.13553115	164.97229382	267.29876848
169.56687167	135.72581803	203.40792531
220.53977716	178.14103564	262.93851868
250.41967299	202.37817375	298.46117224
271.20355024	225.99213315	316.41496732
250.21634365	203.77792290	296.65476441
287.82061593	241.57797849	334.06325336
342.05073234	283.17645610	400.92500859
294.01015208	243.51823734	344.50206682
292.50962569	231.07520722	353.94404417
362.56034193	292.02747026	433.09321359
435.10293375	353.90152247	516.30434502
447.40886351	361.34796276	533.46976425
394.61092793	313.86016918	475.36168668
414.73620155	337.88856359	491.58383951
528.35960373	419.59555544	637.12365203
481.60957853	383.21468505	580.00447202
462.86644896	380.49344175	545.23945618
474.30727213	387.17591193	561.43863233
470.68806899	381.14505549	560.23108250
337.42641169	274.03233657	400.82048680
311.19140625	236.43798825	385.94482424
