# mean	lower_ci	upper_ci
108.60770089	92.95691818	124.25848360
119.34012277	105.38344753	133.29679800
117.27957589	102.44932917	132.10982262
111.45368304	96.75858423	126.14878184
120.70870536	107.98279490	133.43461582
112.08565848	99.88707734	124.28423963
113.62165179	100.54631879	126.69698478
124.40290179	111.53717031	137.26863326
85.32496800	77.22061611	93.42931989
85.38669338	78.43989129	92.33349548
89.91946530	82.50172566	97.33720494
96.73561790	87.84303289	105.62820291
68.41711999	63.75431967	73.07992031
75.24696983	69.16772867	81.32621099
71.75468087	66.09260614	77.41675559
82.37932965	74.70609117	90.05256814
60.65749680	55.87362900	65.44136460
70.42990356	64.76654614	76.09326099
71.10317417	65.79618536	76.41016298
73.64421711	67.25573257	80.03270165
60.13219203	56.54200318	63.72238087
78.53544893	72.86535958	84.20553828
86.83271806	79.32076040	94.34467573
84.26089535	76.95721895	91.56457176
55.27911197	50.79119082	59.76703313
55.49549084	52.03465452	58.95632716
62.22070898	57.45617640	66.98524155
62.31605797	57.54864370	67.08347223
42.88950608	40.46050998	45.31850218
49.51762593	46.16538933	52.86986253
55.69968118	52.01543386	59.38392849
59.51451689	54.27376413	64.75526964
44.33790905	41.02345153	47.65236656
50.68212635	46.94495774	54.41929497
58.48097646	53.96483679	62.99711612
57.23596371	52.47396742	61.99796001
48.33982797	44.34647645	52.33317949
59.11999621	55.03762848	63.20236395
69.27279264	63.66410199	74.88148328
71.86831723	66.52366412	77.21297034
68.31479556	61.88519741	74.74439370
94.95966924	85.18895628	104.73038219
99.65414468	90.21396943	109.09431994
106.33091518	96.60656096	116.05526940
81.82050372	75.23876482	88.40224261
85.03111147	76.71946348	93.34275945
95.16618147	86.82946979	103.50289316
90.64199472	83.09691423	98.18707522
72.51208752	66.77292560	78.25124944
80.21661932	73.77771826	86.65552038
86.06483360	77.76262165	94.36704556
84.67197841	77.70163985	91.64231697
82.06477117	74.41959048	89.70995185
97.80146611	89.53107150	106.07186073
96.67968750	87.26307136	106.09630364
104.41976968	95.15478014	113.68475923
89.56511262	81.79030281	97.33992243
105.98353795	96.24375154	115.72332436
114.49928977	104.43175133	124.56682822
107.26841518	97.75967482	116.77715553
90.85535558	81.90512978	99.80558139
87.04279119	79.58267823	94.50290416
90.50062242	82.33176109	98.66948375
95.26646205	86.70433114	103.82859297
70.29914909	64.60106358	75.99723460
76.08182833	69.56760245	82.59605420
79.88323200	73.26475691	86.50170709
78.28522064	72.96207439	83.60836689
58.84371631	53.67194197	64.01549066
62.47828975	57.22081654	67.73576296
65.70759319	60.71999824	70.69518814
64.47433426	59.50590194	69.44276658
48.57722893	45.41474893	51.73970894
60.10499266	54.90261037	65.30737496
60.76599670	55.88989228	65.64210112
61.84820694	57.04785538	66.64855850
48.27456428	43.49088190	53.05824667
49.69095953	46.19448356	53.18743549
56.39192838	51.82734711	60.95650966
57.28430261	52.90910836	61.65949686
42.97978618	39.35889773	46.60067464
52.82031589	48.95693626	56.68369551
52.40407018	48.35097542	56.45716493
54.78274311	50.49516001	59.07032620
43.18912984	40.70377211	45.67448758
51.41072106	47.29909660	55.52234551
58.77027721	53.70155551	63.83899891
59.14449140	54.11437164	64.17461117
44.04828656	41.37208698	46.72448614
50.53743096	45.82954295	55.24531897
57.22571517	53.30924063	61.14218971
53.59093199	49.88584364	57.29602034
50.96307895	47.54047064	54.38568727
66.90248372	60.52854466	73.27642278
77.18620878	70.22683614	84.14558143
70.82233196	65.02138718	76.62327675
