# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.38840264	0.34377811	0.43302717
0.34881031	0.27634898	0.42127164
0.02944483	0.01168920	0.04720047
0.00228950	-0.00219792	0.00677691
0.32938129	0.28970235	0.36906023
0.62970965	0.55366807	0.70575123
0.31805888	0.24011295	0.39600481
0.13566596	0.06780635	0.20352558
0.16348059	0.11952573	0.20743546
0.90933613	0.83402857	0.98464369
0.88151505	0.79357872	0.96945138
0.67572354	0.56528326	0.78616382
0.39298536	0.30406551	0.48190522
0.95365867	0.86534608	1.04197125
1.04885765	0.95325389	1.14446141
0.69645015	0.58986129	0.80303902
0.41467438	0.32027485	0.50907391
0.91733956	0.84460902	0.99007010
0.95954847	0.88107371	1.03802323
0.85331765	0.75501588	0.95161942
0.95750876	0.83854898	1.07646853
2.28994153	2.15980333	2.42007973
2.21378611	1.99474107	2.43283116
1.34938739	1.11157356	1.58720123
0.95696721	0.76223528	1.15169914
2.51697351	2.32931734	2.70462969
3.06174198	2.86116662	3.26231734
2.35822559	2.11598427	2.60046692
1.53670104	1.32172115	1.75168093
2.66258910	2.49001112	2.83516708
3.07276006	2.87959043	3.26592970
2.38146737	2.12507471	2.63786003
1.61671119	1.36628559	1.86713678
2.85590751	2.64508377	3.06673126
3.33814486	3.13198258	3.54430715
2.82358698	2.58536234	3.06181162
2.12129248	1.85383718	2.38874778
3.11628984	2.86335517	3.36922450
3.34607598	3.14621056	3.54594140
2.47132282	2.24427793	2.69836770
1.88731072	1.61558461	2.15903683
2.79126108	2.57952191	3.00300024
2.48460107	2.23874866	2.73045349
1.17974828	0.97773069	1.38176586
0.90084905	0.73921252	1.06248557
2.23767193	2.08451861	2.39082526
2.00759980	1.79448110	2.22071850
1.07288178	0.86782949	1.27793408
0.74579758	0.60315232	0.88844284
2.17222192	2.04171415	2.30272969
1.77397241	1.56666186	1.98128295
0.81788411	0.62539459	1.01037362
0.37199953	0.25767433	0.48632473
0.96950358	0.87922846	1.05977870
0.78198264	0.68640909	0.87755620
0.61066202	0.51082506	0.71049899
0.45240614	0.36017696	0.54463532
0.86674844	0.79323564	0.94026124
0.73455676	0.64273633	0.82637719
0.46067067	0.35935608	0.56198526
0.62821178	0.52451080	0.73191277
2.01439746	1.86223511	2.16655981
1.67110198	1.45702369	1.88518026
0.58367396	0.45754839	0.70979952
0.44508002	0.36873940	0.52142063
2.17624042	2.05569064	2.29679019
2.16247855	1.93330294	2.39165417
1.07732385	0.85764647	1.29700122
0.79059525	0.64385677	0.93733373
2.38377871	2.24747850	2.52007891
2.59570945	2.41418092	2.77723798
1.54043664	1.32445472	1.75641856
0.95457751	0.77854508	1.13060995
2.35159576	2.19876812	2.50442340
2.83635367	2.63120754	3.04149980
1.88331420	1.63777020	2.12885819
1.35588280	1.13020824	1.58155736
2.69220076	2.50148960	2.88291192
3.16565720	2.94823677	3.38307764
2.46104970	2.19948826	2.72261115
1.96348263	1.71021458	2.21675067
3.10480705	2.88977892	3.31983517
3.53955261	3.32982620	3.74927901
2.94659589	2.68714381	3.20604797
2.30453915	2.00818070	2.60089760
3.38748510	3.11716735	3.65780286
3.62010816	3.41187470	3.82834161
2.90335393	2.66363855	3.14306932
2.17092990	1.88673159	2.45512821
3.28423888	3.02518542	3.54329234
3.75963936	3.53699484	3.98228387
3.06839684	2.81885608	3.31793759
