# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
109.54425587	95.68931995	123.39919179
74.35933198	59.84785666	88.87080731
11.94689503	4.63979284	19.25399721
1.03027370	-0.98906275	3.04961016
103.86193272	87.60829803	120.11556741
151.27395673	131.42690337	171.12101009
77.85680144	56.83655946	98.87704342
29.19896249	13.59215510	44.80576988
53.90000253	38.49098414	69.30902092
228.45445170	208.28030234	248.62860107
242.66051646	214.72499659	270.59603634
181.33478512	146.53382382	216.13574642
85.71907312	67.30595766	104.13218857
243.67276776	216.40286951	270.94266601
275.46289399	244.23657997	306.68920800
178.34396120	150.24372475	206.44419765
99.00183323	77.15971542	120.84395104
242.61844846	219.38764363	265.84925329
284.73930420	254.20670462	315.27190378
240.41629183	210.34690232	270.48568134
227.77877407	192.38512101	263.17242713
560.77734259	502.81327823	618.74140696
512.84210199	452.47285799	573.21134599
344.45318332	274.53607586	414.37029078
249.63907762	195.65716048	303.62099477
690.20183423	610.67557533	769.72809313
725.30165702	655.14589629	795.45741775
618.03946629	537.41584191	698.66309066
385.62776991	319.33065835	451.92488147
660.55958945	598.02838923	723.09078967
766.57629328	679.13286113	854.01972542
560.17064908	491.15120283	629.19009534
414.34224754	341.05433357	487.63016152
660.57263160	597.74726598	723.39799722
826.24958130	744.63164641	907.86751619
689.94560381	599.72534458	780.16586303
502.11485797	418.98748848	585.24222746
727.51688950	663.67459924	791.35917975
820.61840312	737.90652781	903.33027843
577.51902522	503.19396919	651.84408125
472.28947354	394.20887718	550.37006990
664.71339810	605.12628545	724.30051076
586.61360370	518.94412135	654.28308606
309.38702031	249.54636952	369.22767110
230.35530601	197.09999396	263.61061807
578.25595438	515.62277891	640.88912984
472.96601220	421.52360164	524.40842277
279.96701917	219.40427354	340.52976480
200.88954666	165.76473333	236.01435999
513.73571299	461.71010165	565.76132433
463.80200636	394.33676040	533.26725233
215.37915100	162.84716434	267.91113766
106.11051790	76.87578224	135.34525357
238.26607081	214.75714451	261.77499711
214.68283566	185.26051499	244.10515633
165.83909396	137.68585575	193.99233217
114.47743010	91.67965959	137.27520061
208.57198943	188.96913996	228.17483890
188.77341642	163.10040600	214.44642683
124.20922886	94.16389266	154.25456505
171.98565125	147.44344475	196.52785774
505.61239673	448.18516779	563.03962566
401.17141974	341.56105101	460.78178847
163.88930136	126.82683864	200.95176408
128.96713190	105.67433674	152.25992705
550.11444371	498.48383184	601.74505558
582.93757254	498.68810113	667.18704395
276.47297150	213.92777327	339.01816973
220.81067511	176.55132726	265.07002296
593.09669002	540.35645897	645.83692106
679.60659723	609.06008474	750.15310972
413.26895376	347.30501534	479.23289218
241.29719173	194.52257724	288.07180622
613.63285949	554.85665945	672.40905952
705.01430835	626.60117050	783.42744620
447.17099154	384.84266634	509.49931673
299.52894927	250.04767224	349.01022631
640.87320269	583.06737911	698.67902628
712.82603793	642.91256725	782.73950861
564.00193791	487.58954756	640.41432827
491.68819326	418.44737809	564.92900844
762.09960761	688.16738948	836.03182575
832.04443767	738.93382638	925.15504896
673.55568612	593.92689071	753.18448152
554.84539205	471.58283924	638.10794487
874.55478306	784.68053728	964.42902883
778.15003500	699.06017312	857.23989689
606.18894152	529.06946352	683.30841952
514.43636333	435.09421859	593.77850807
828.04743413	749.45615213	906.63871613
813.39221245	717.53097893	909.25344597
740.08806523	652.25780391	827.91832656
