# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.33756533	0.30347589	0.37165477
0.26613907	0.21457408	0.31770405
0.02728089	0.01092437	0.04363740
0.00228950	-0.00219792	0.00677691
0.30071979	0.26799914	0.33344045
0.48198087	0.43578855	0.52817318
0.21401990	0.16554687	0.26249293
0.07430261	0.04141811	0.10718711
0.14323443	0.11137608	0.17509278
0.62925485	0.59453130	0.66397840
0.56054853	0.51726165	0.60383541
0.38510994	0.33279480	0.43742509
0.26365763	0.21529411	0.31202115
0.61345857	0.57162460	0.65529253
0.62174530	0.58216073	0.66132987
0.41688420	0.36348740	0.47028100
0.27521862	0.22328533	0.32715192
0.63214669	0.59693208	0.66736130
0.63324239	0.59592339	0.67056139
0.54528122	0.49762593	0.59293652
0.54819449	0.50301652	0.59337247
0.82363831	0.80099236	0.84628426
0.62871512	0.58916215	0.66826809
0.45212372	0.39556623	0.50868120
0.45245285	0.40323584	0.50166986
0.81297176	0.79244581	0.83349770
0.68102058	0.64529651	0.71674465
0.63055183	0.58487959	0.67622407
0.61146342	0.56595259	0.65697425
0.82895619	0.80874842	0.84916396
0.70377216	0.67341531	0.73412901
0.61331716	0.57205106	0.65458325
0.60033731	0.54986572	0.65080890
0.83399718	0.81133321	0.85666116
0.72255063	0.69402290	0.75107837
0.68469088	0.64945520	0.71992656
0.69646435	0.65702516	0.73590354
0.85310626	0.83411269	0.87209983
0.74491240	0.71274268	0.77708213
0.67876373	0.63984753	0.71767993
0.65207880	0.60325527	0.70090233
0.82377884	0.79790152	0.84965617
0.67503727	0.63798203	0.71209251
0.45146257	0.39550041	0.50742473
0.46031452	0.41170169	0.50892736
0.81127067	0.78710570	0.83543565
0.62652581	0.58194319	0.67110843
0.40208604	0.34170979	0.46246228
0.42031150	0.37284403	0.46777896
0.81579411	0.78867248	0.84291573
0.61082777	0.56233970	0.65931585
0.32956253	0.26916205	0.38996302
0.24737193	0.19947447	0.29526940
0.65126621	0.61390046	0.68863196
0.52229644	0.47376851	0.57082437
0.38755044	0.33179756	0.44330332
0.32322020	0.27065520	0.37578521
0.62065763	0.58549061	0.65582466
0.48139180	0.43271715	0.53006645
0.27529438	0.22314833	0.32744043
0.40305058	0.36227607	0.44382510
0.75914915	0.72426644	0.79403186
0.54794620	0.49576454	0.60012786
0.29974932	0.24547505	0.35402358
0.30953861	0.27507220	0.34400502
0.82411979	0.80228976	0.84594983
0.64326700	0.60209030	0.68444371
0.39278464	0.33485039	0.45071890
0.42895078	0.38575645	0.47214511
0.82957358	0.80494914	0.85419801
0.68679924	0.65613851	0.71745998
0.52305186	0.47004301	0.57606071
0.47031353	0.42066076	0.51996631
0.80948741	0.78617120	0.83280362
0.67193989	0.63593854	0.70794123
0.58105291	0.53352280	0.62858303
0.55362065	0.50312116	0.60412014
0.84867069	0.83072404	0.86661734
0.71837234	0.68719006	0.74955462
0.57117989	0.52677631	0.61558347
0.63802889	0.59161812	0.68443965
0.84335700	0.82393845	0.86277555
0.73005237	0.70011701	0.75998773
0.64582983	0.60660143	0.68505824
0.67521630	0.63284792	0.71758467
0.83156280	0.80822142	0.85490417
0.69451304	0.66245110	0.72657497
0.64493130	0.60689567	0.68296693
0.69685511	0.65654236	0.73716786
0.85038892	0.82835910	0.87241873
0.73317296	0.70263021	0.76371571
0.67150655	0.63385793	0.70915518
