# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
12.38696796	7.83979897	16.93413695
15.77658484	10.86710032	20.68606937
0.66173482	-0.17686726	1.50033690
0.00000000	0.00000000	0.00000000
10.20449237	4.51555058	15.89343417
33.62054696	23.96487316	43.27622076
21.87874677	13.46339204	30.29410150
13.13996934	3.98653694	22.29340174
5.54995840	1.30494411	9.79497268
63.51159972	51.79507871	75.22812074
84.60606672	67.67786190	101.53427154
75.76492584	52.15803099	99.37182070
24.26912777	15.17172047	33.36653507
82.56955131	66.29192500	98.84717761
108.61133434	88.15487827	129.06779041
67.59418517	52.34425974	82.84411059
28.56485931	18.44275080	38.68696782
70.94740400	57.75405954	84.14074847
94.51961065	75.19828133	113.84093998
81.16410049	62.49095161	99.83724936
92.17409632	67.83620017	116.51199248
358.51626499	314.57930182	402.45322817
354.81045207	301.53593582	408.08496832
225.18164322	166.14419171	284.21909473
122.01624476	77.85843151	166.17405801
470.93780951	401.28794006	540.58767897
565.83250971	502.55685688	629.10816254
451.90007974	383.26757550	520.53258399
225.33494448	169.50399983	281.16588914
454.14666803	401.14317012	507.15016594
593.59372893	516.38518998	670.80226789
400.00198054	339.29574630	460.70821479
251.12390237	190.86388978	311.38391497
461.79710774	408.52588987	515.06832561
644.78302235	576.48457315	713.08147155
521.39764698	443.51137491	599.28391905
330.97808734	258.30001234	403.65616235
517.77957587	460.95813451	574.60101723
639.02112537	568.47944140	709.56280935
417.81533973	353.23561971	482.39505976
302.72927211	237.70821891	367.75032530
461.59112390	409.97109205	513.21115575
423.32042998	362.69693658	483.94392339
184.25322255	137.48323242	231.02321268
96.71618260	72.42085922	121.01150598
372.59989425	322.89559299	422.30419552
317.33459478	271.47492898	363.19426059
173.33581870	125.96046641	220.71117099
79.87238156	54.11186223	105.63290089
319.73427884	279.79325792	359.67529976
305.28191583	247.28690976	363.27692190
125.04415371	85.66134329	164.42696414
30.02300438	11.35579913	48.69020963
74.30808129	58.95053331	89.66562927
68.41066515	50.73456658	86.08676371
54.10445925	40.58855496	67.62036353
26.42978481	16.23174744	36.62782219
54.39184787	43.02590864	65.75778710
59.99121521	45.66972361	74.31270681
45.94871683	27.45644606	64.44098759
52.48414607	37.14291224	67.82537990
319.11148850	275.08070801	363.14226900
267.64581612	217.89329706	317.39833518
77.04253230	51.24548642	102.83957818
34.01267635	21.97734862	46.04800408
341.71049106	302.69769882	380.72328331
411.67502859	337.43442385	485.91563333
168.82175424	118.63730737	219.00620112
92.05467757	57.71825819	126.39109694
382.15551082	342.59678600	421.71423563
503.18886647	440.17004311	566.20768983
267.65150282	209.83805845	325.46494719
112.81435787	75.84556806	149.78314769
397.40440727	351.18773781	443.62107673
539.15187176	470.85542024	607.44832327
297.68743765	244.77942021	350.59545509
165.53735728	125.80214867	205.27256589
431.26327843	383.16856807	479.35798879
542.80700059	482.33702181	603.27697938
422.94446936	358.22484664	487.66409207
324.79053446	263.45019895	386.13086996
547.41012838	484.69732779	610.12292898
654.75708085	574.15573821	735.35842349
516.59123969	447.04609017	586.13638921
378.62632101	306.59948002	450.65316200
653.05021058	572.81988091	733.28054025
624.34843968	555.76884491	692.92803444
458.11798430	391.14245062	525.09351797
332.32155706	262.90808812	401.73502600
603.92615144	535.18799812	672.66430477
653.51139336	569.14537649	737.87741024
570.92648239	494.78250630	647.07045848
