# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00102247	-0.00098157	0.00302650
0.00214184	0.00015523	0.00412846
0.00110427	-0.00011799	0.00232653
0.00101492	-0.00082702	0.00285687
0.01387099	0.00319328	0.02454869
0.00528870	0.00020499	0.01037240
0.00207784	-0.00041348	0.00456916
0.00000000	0.00000000	0.00000000
0.06995112	0.04373151	0.09617072
0.06853492	0.04008023	0.09698960
0.06215065	0.02309528	0.10120601
0.00654859	-0.00466902	0.01776619
0.09700148	0.06578154	0.12822141
0.25685712	0.20300832	0.31070591
0.21676736	0.15640631	0.27712842
0.03093123	0.01190433	0.04995814
0.12055247	0.08654444	0.15456049
0.34496909	0.27990793	0.41003025
0.24391329	0.17928778	0.30853880
0.03763112	0.01840868	0.05685355
0.10781941	0.07486383	0.14077498
0.30933763	0.24063405	0.37804121
0.25765466	0.18731528	0.32799404
0.06495049	0.02952794	0.10037304
0.20021185	0.15021210	0.25021160
0.39097488	0.32251742	0.45943235
0.35404151	0.27619927	0.43188374
0.07081528	0.03334705	0.10828351
0.24140663	0.19118529	0.29162797
0.62393035	0.52891325	0.71894744
0.51579497	0.41692647	0.61466348
0.12013778	0.07576273	0.16451283
0.27177292	0.21902848	0.32451735
0.66667774	0.55405672	0.77929877
0.61672363	0.51276069	0.72068657
0.10628701	0.06827118	0.14430284
0.17311978	0.13574634	0.21049322
0.50927905	0.42232621	0.59623189
0.57878631	0.49099175	0.66658087
0.11668795	0.07177035	0.16160555
0.09183269	0.06416329	0.11950209
0.32820377	0.26764668	0.38876086
0.21123915	0.15592190	0.26655639
0.07751324	0.04121973	0.11380674
0.14046658	0.10081380	0.18011936
0.35615939	0.28501811	0.42730066
0.20188303	0.14192347	0.26184258
0.05631330	0.02404105	0.08858555
0.15030078	0.10543046	0.19517109
0.28439411	0.23600666	0.33278156
0.22406451	0.16054207	0.28758696
0.05408734	0.02510546	0.08306922
0.09621465	0.06401352	0.12841578
0.26234303	0.20053006	0.32415600
0.11405542	0.07708228	0.15102856
0.01502571	0.00583093	0.02422048
0.08817169	0.05718035	0.11916303
0.21759528	0.16648050	0.26871005
0.15300347	0.10626863	0.19973831
0.01387297	0.00172209	0.02602386
0.06846171	0.03954392	0.09737949
0.23868799	0.17601731	0.30135866
0.14823519	0.09489920	0.20157117
0.01478369	0.00260181	0.02696556
0.13140048	0.09945288	0.16334808
0.30588415	0.23646665	0.37530166
0.18545181	0.12316358	0.24774004
0.01993412	0.00253604	0.03733220
0.14787812	0.11189405	0.18386219
0.44150167	0.36257319	0.52043016
0.26591353	0.19616483	0.33566223
0.03651778	0.01474149	0.05829407
0.20504121	0.15730600	0.25277642
0.54304573	0.44809398	0.63799748
0.39894598	0.32005805	0.47783391
0.08352697	0.04655270	0.12050124
0.21449184	0.16627545	0.26270822
0.52938469	0.44392242	0.61484696
0.43880384	0.35208610	0.52552159
0.11758838	0.07391198	0.16126479
0.20952885	0.16403942	0.25501829
0.66894029	0.56858028	0.76930030
0.60375571	0.48625660	0.72125482
0.11813984	0.08309296	0.15318672
0.21083016	0.16503662	0.25662371
0.62764332	0.52365290	0.73163374
0.64041067	0.54003878	0.74078256
0.15474227	0.09859576	0.21088878
0.26524586	0.21226551	0.31822621
0.57028215	0.47401932	0.66654499
0.72331932	0.61060686	0.83603178
0.15993463	0.10220497	0.21766428
0.17294317	0.13430706	0.21157928
0.45213028	0.36841789	0.53584267
0.48103624	0.38623601	0.57583647
