# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
9.20592613	6.28116055	12.13069171
14.99145635	11.31169629	18.67121641
11.95550738	8.98518256	14.92583220
1.53037318	-0.11165267	3.17239903
12.25198734	7.49653557	17.00743910
16.97188842	12.68293076	21.26084608
16.23111141	11.70881581	20.75340701
1.35240977	0.01539819	2.68942135
36.17630149	25.67081901	46.68178397
35.31233951	27.63021258	42.99446644
33.42680028	26.55626600	40.29733456
2.69167535	-0.25668341	5.64003410
37.80228239	27.49659015	48.10797463
80.35613007	66.10459473	94.60766542
59.53184180	47.45454953	71.60913407
17.66009444	10.28982514	25.03036374
45.92469285	34.69844997	57.15093573
106.01501376	86.89509285	125.13493466
69.02680501	52.73793030	85.31567972
22.61903568	12.82184022	32.41623115
40.26302291	28.04259283	52.48345300
89.57959758	72.10143828	107.05775687
74.61270442	60.59522302	88.63018581
27.18877479	16.30356422	38.07398535
59.38542190	42.85993928	75.91090452
93.35322102	80.04241729	106.66402475
80.63504115	68.13585069	93.13423162
25.45856505	15.17236464	35.74476546
67.53587162	51.54623151	83.52551173
128.32798242	113.53301211	143.12295273
110.27415379	92.20418242	128.34412517
47.72878340	35.61843759	59.83912920
75.38119557	59.34326535	91.41912580
149.13462317	121.08702600	177.18222034
123.90003871	106.12971205	141.67036538
40.47201148	28.77483214	52.16919082
51.98732348	38.63495832	65.33968863
123.62598158	105.69663635	141.55532681
129.98251972	108.17745833	151.78758112
38.70007745	26.52309136	50.87706355
27.88003245	18.37386495	37.38619994
101.73773781	79.79539196	123.68008366
67.60035396	53.68328090	81.51742703
30.11668588	18.95141164	41.28196012
37.57583252	24.16160099	50.99006406
109.75086888	90.05286057	129.44887718
64.15781981	49.99926496	78.31637466
23.24512080	13.12176824	33.36847335
42.87746290	28.68394156	57.07098424
84.33235497	69.78808283	98.87662711
69.69731248	55.93450601	83.46011894
23.51329077	12.17866649	34.84791505
34.46885648	20.55402544	48.38368751
89.25692442	72.39812787	106.11572097
49.92615579	39.69026070	60.16205088
11.74338255	6.14160902	17.34515607
35.65215579	25.69281478	45.61149679
74.43981880	59.64562058	89.23401703
59.98494446	45.58277789	74.38711104
12.58613665	5.75245451	19.41981879
27.24543683	17.32829647	37.16257719
84.52279726	61.97874224	107.06685229
47.29574932	36.94482696	57.64667167
10.44995384	3.98092775	16.91897993
46.15759838	34.05148131	58.26371545
87.85631639	71.80844332	103.90418945
61.19382340	48.35750650	74.03014030
11.38688365	5.41033197	17.36343533
39.15417975	27.15673498	51.15162452
110.30561219	92.43619647	128.17502792
76.88730810	59.26151524	94.51310097
16.71455097	9.16397757	24.26512437
56.92001141	39.92695503	73.91306778
124.17246558	107.59282770	140.75210347
88.73456022	74.95996993	102.50915051
34.08607292	23.47079502	44.70135081
60.05418526	43.58972347	76.51864705
118.64286705	99.74690313	137.53883097
114.19988837	94.60669297	133.79308376
34.80426245	23.93601822	45.67250668
50.91869620	36.54309698	65.29429541
127.45492567	106.14436645	148.76548489
100.62352120	87.16417731	114.08286510
48.85191545	36.05811956	61.64571134
49.81522930	35.57871727	64.05174133
110.32461185	93.80588209	126.84334161
115.08396205	97.59630752	132.57161659
51.15613158	34.54340633	67.76885683
53.79507253	36.57789199	71.01225307
117.55081336	95.29034245	139.81128427
134.85840684	106.90243779	162.81437588
44.46424215	31.93053655	56.99794776
35.37278574	23.21846190	47.52710957
89.05200234	74.36796190	103.73604277
101.63038197	85.33289698	117.92786696
