# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.23005475	-0.22085256	0.68096206
0.55462063	-0.04083855	1.15007981
0.22241930	-0.01822804	0.46306665
0.22835793	-0.18607987	0.64279573
4.04120581	0.49623870	7.58617293
1.06310925	-0.02595150	2.15216999
0.36877808	-0.13118995	0.86874611
0.00000000	0.00000000	0.00000000
19.65646274	11.22335561	28.08956987
13.29510510	7.70283326	18.88737693
9.43267813	4.23396153	14.63139472
1.47343182	-1.05053005	3.99739368
25.38049594	17.09953208	33.66145979
59.30559261	46.09874177	72.51244344
37.59684027	27.28408764	47.90959290
9.76202738	3.94585328	15.57820149
31.46063548	21.97737161	40.94389934
82.23424809	63.95602875	100.51246743
47.50643538	32.46194899	62.55092177
13.32775369	6.17588149	20.47962588
28.54761929	17.68239301	39.41284557
71.44342405	55.66977774	87.21707035
53.92205646	41.15920130	66.68491162
17.62729738	9.60550704	25.64908772
46.58747495	31.61180152	61.56314837
67.84740328	56.47230768	79.22249888
56.01054580	44.39424481	67.62684679
16.86263193	8.22345393	25.50180993
50.41976248	36.70820400	64.13132095
100.92952973	87.22154367	114.63751579
87.14803544	70.89907580	103.39699508
32.81105473	22.76117560	42.86093387
60.69576583	46.07865552	75.31287613
121.98102969	96.43992205	147.52213733
99.40678435	82.77268180	116.04088691
28.21091099	18.40581650	38.01600548
42.24363266	30.48023910	54.00702621
101.08141190	84.44302244	117.71980135
108.63284051	87.83812888	129.42755215
26.95756187	16.35390880	37.56121493
22.86626918	14.35469337	31.37784498
86.66863347	65.93492465	107.40234229
51.12459130	38.80207160	63.44711100
21.62222817	12.17550492	31.06895141
29.59042135	18.10127017	41.07957252
84.30104139	66.60916773	101.99291506
42.93024574	30.16084074	55.69965075
16.50281734	8.53249410	24.47314057
32.59546180	20.23270832	44.95821529
62.41076678	49.68013502	75.14139854
47.79428451	35.00239262	60.58617640
16.83235791	7.31489452	26.34982130
28.95253041	16.40415599	41.50090484
67.33618789	52.49337649	82.17899930
27.62956281	18.43777670	36.82134893
5.99371021	2.09455442	9.89286601
23.00067228	14.99333025	31.00801430
55.11739314	41.55006910	68.68471719
40.78816279	27.54740709	54.02891849
5.47383981	0.31206137	10.63561824
17.16806121	8.67592236	25.66020006
61.41249962	40.05156093	82.77343831
27.51090142	18.99089146	36.03091138
6.37326372	0.96311858	11.78340886
32.78292902	22.62580277	42.94005527
64.94509356	50.17940983	79.71077729
34.71753495	24.00197308	45.43309683
5.57321572	1.13612850	10.01030293
29.24246070	18.79635947	39.68856193
84.41971247	68.06172051	100.77770442
50.57250139	33.84191905	67.30308373
9.97037016	3.67621112	16.26452920
44.94414107	29.89150978	59.99677236
97.12094984	81.57736195	112.66453773
65.40706736	52.63259883	78.18153589
21.99558691	13.66220230	30.32897152
48.00389018	33.13582119	62.87195917
93.11863741	75.90001856	110.33725626
90.62575798	71.93997513	109.31154083
24.89696581	15.70436135	34.08957027
41.79273204	28.99156055	54.59390353
106.01153784	85.78584442	126.23723127
77.39462458	64.63885490	90.15039425
34.55208775	23.58756292	45.51661258
38.15149982	25.65912029	50.64387935
92.45392267	76.73145318	108.17639216
92.25513156	75.65839715	108.85186598
37.91520113	23.60253367	52.22786858
45.44277597	29.61611844	61.26943351
94.68495019	74.90264125	114.46725913
113.23478723	86.31262110	140.15695337
32.20125457	21.07892047	43.32358867
26.92360477	17.19740878	36.64980076
71.65144090	58.08887890	85.21400290
80.03007791	65.58882905	94.47132676
