# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02488716	0.01628079	0.03349354
0.04972487	0.03484354	0.06460621
0.03840957	0.02710859	0.04971056
0.39311155	0.34849049	0.43773261
0.38551015	0.31052529	0.46049502
0.08404611	0.05957441	0.10851780
0.05343596	0.03683350	0.07003843
0.33238665	0.29257824	0.37219505
0.74908894	0.65736680	0.84081108
0.47188068	0.37768754	0.56607382
0.29084245	0.18652508	0.39515982
0.17352458	0.12121542	0.22583374
1.04961950	0.96057241	1.13866658
1.23465877	1.11267549	1.35664205
1.00382019	0.83915589	1.16848449
0.44684857	0.34274650	0.55095064
1.11908306	1.01377380	1.22439232
1.49957756	1.36609929	1.63305582
1.05345713	0.89693052	1.20998373
0.47814044	0.37253387	0.58374701
1.06927741	0.97611836	1.16243646
1.34655301	1.21874615	1.47435986
1.20359300	1.06244540	1.34474060
1.05516873	0.91770011	1.19263734
2.53125799	2.38248462	2.68003136
2.74816885	2.48816862	3.00816909
1.84675268	1.56732897	2.12617640
1.05986812	0.84805634	1.27167989
2.81922254	2.61659989	3.02184518
3.85577296	3.61017703	4.10136888
3.01127170	2.72515094	3.29739245
1.71041023	1.47994421	1.94087625
2.98569234	2.79627340	3.17511128
3.89406387	3.64998436	4.13814339
3.16463572	2.86737381	3.46189763
1.77048561	1.51290495	2.02806628
3.06382109	2.84131408	3.28632810
3.96378843	3.72444689	4.20312996
3.52533117	3.25442060	3.79624174
2.29770104	2.02221848	2.57318360
3.22383810	2.96835206	3.47932415
3.74567909	3.52360509	3.96775310
2.75259532	2.49991226	3.00527837
1.99411727	1.70692172	2.28131282
2.95587618	2.74072898	3.17102339
2.95376372	2.68497741	3.22255004
1.47932235	1.25090226	1.70774244
0.97778180	0.79916602	1.15639758
2.41518158	2.25186570	2.57849746
2.39268436	2.15305405	2.63231467
1.40575170	1.17018091	1.64132249
0.82012131	0.65942492	0.98081771
2.28478434	2.14330138	2.42626730
2.11902446	1.88692312	2.35112580
1.02270059	0.81149818	1.23390300
0.40203682	0.28266015	0.52141348
1.09816048	0.99858718	1.19773379
1.07570757	0.94681800	1.20459714
0.83766195	0.70589894	0.96942497
0.48416078	0.38515639	0.58316518
0.96203662	0.88156897	1.04250427
1.06627232	0.93240212	1.20014252
0.69951360	0.55503093	0.84399628
0.65287739	0.54204142	0.76371335
2.18682440	2.02329036	2.35035843
2.08032727	1.83129679	2.32935775
0.88208845	0.71046816	1.05370874
0.48337637	0.39762701	0.56912573
2.35558011	2.22532908	2.48583115
2.73631385	2.47790450	2.99472319
1.47818036	1.21807426	1.73828646
0.85144649	0.69720661	1.00568636
2.62416741	2.47094509	2.77738972
3.29282841	3.05970988	3.52594694
2.08768233	1.83021598	2.34514868
1.07789163	0.87427449	1.28150876
2.60962569	2.43442574	2.78482563
3.51783743	3.26598445	3.76969041
2.44511519	2.15807334	2.73215705
1.52670152	1.28985339	1.76354965
2.93355394	2.73008595	3.13702193
3.99070783	3.74158316	4.23983250
3.23261880	2.91022531	3.55501229
2.13654289	1.86843282	2.40465295
3.36213586	3.13112573	3.59314600
4.30008032	4.04244440	4.55771625
3.75420230	3.45681770	4.05158690
2.51400553	2.20603687	2.82197420
3.68607343	3.40209129	3.97005557
4.33777863	4.08978023	4.58577703
3.79895619	3.50853408	4.08937830
2.39233612	2.09777106	2.68690118
3.49165878	3.23113746	3.75218009
4.33178769	4.07978784	4.58378754
3.66437589	3.37590998	3.95284179
