# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00102247	-0.00098157	0.00302650
0.00214184	0.00015523	0.00412846
0.00110427	-0.00011799	0.00232653
0.05185224	0.03505904	0.06864543
0.09654223	0.06574587	0.12733859
0.00745264	0.00122638	0.01367890
0.00207784	-0.00041348	0.00456916
0.02866150	0.01495465	0.04236836
0.21767990	0.16262665	0.27273315
0.17257389	0.12189547	0.22325232
0.12351400	0.05561655	0.19141145
0.02679475	-0.00212895	0.05571845
0.37708275	0.31441498	0.43975052
0.57782364	0.48994751	0.66569977
0.50738096	0.38623677	0.62852515
0.16025897	0.09889716	0.22162077
0.46075257	0.38740036	0.53410478
0.77208144	0.66826884	0.87589405
0.52347924	0.41095835	0.63600013
0.17708688	0.11699814	0.23717561
0.39301227	0.32730831	0.45871623
0.63564371	0.53239724	0.73889019
0.56569109	0.45480933	0.67657285
0.47426476	0.36985311	0.57867640
1.66651507	1.52826756	1.80476258
1.97604588	1.73663328	2.21545848
1.25130518	1.01281165	1.48979872
0.57532964	0.40256656	0.74809273
1.94540839	1.75006878	2.14074801
3.00465175	2.77095433	3.23834917
2.24346873	1.98534899	2.50158848
1.04537540	0.84830666	1.24244414
2.10540583	1.92019990	2.29061176
3.03566565	2.80143805	3.26989325
2.38487384	2.11301173	2.65673595
1.12266089	0.89742552	1.34789627
2.19503011	1.97970518	2.41035504
3.12487328	2.89719212	3.35255444
2.71768241	2.46490493	2.97045989
1.54151608	1.28971252	1.79331963
2.35501626	2.10559104	2.60444149
2.92936734	2.72351371	3.13522098
2.00379823	1.77128372	2.23631274
1.31274516	1.05923258	1.56625773
2.10794881	1.89902867	2.31686896
2.16572319	1.91439529	2.41705110
0.93016873	0.74181898	1.11851849
0.49684782	0.35628461	0.63741103
1.57670204	1.42519379	1.72821028
1.66546810	1.45211307	1.87882312
0.89486026	0.70616511	1.08355541
0.37957342	0.25324859	0.50589825
1.45264247	1.32504880	1.58023614
1.42548766	1.22668747	1.62428784
0.60237699	0.43938044	0.76537354
0.13965330	0.05590163	0.22340497
0.40640906	0.33177362	0.48104450
0.47728148	0.38546531	0.56909765
0.37611505	0.29217946	0.46005064
0.14305891	0.08666089	0.19945693
0.31455251	0.25860809	0.37049693
0.49185294	0.39418539	0.58952050
0.33361147	0.23275346	0.43446949
0.23994489	0.16072875	0.31916102
1.38664879	1.24701661	1.52628096
1.42903993	1.21774286	1.64033701
0.46937645	0.34382272	0.59493017
0.15547553	0.09937332	0.21157773
1.49999875	1.38124263	1.61875486
1.96071323	1.72514787	2.19627858
0.95045273	0.73622275	1.16468271
0.39816225	0.27924516	0.51707935
1.75924634	1.61794786	1.90054483
2.45195594	2.22884791	2.67506397
1.41633076	1.19084471	1.64181681
0.56779095	0.40019783	0.73538407
1.75660019	1.59212326	1.92107713
2.69379848	2.46186726	2.92572970
1.74106513	1.48371744	1.99841281
0.91985053	0.72229730	1.11740377
2.05305892	1.85666469	2.24945316
3.11622516	2.87971365	3.35273667
2.49362552	2.19655696	2.79069409
1.44359358	1.21055995	1.67662720
2.47228021	2.24577879	2.69878164
3.43714355	3.18811190	3.68617521
2.94117672	2.65864801	3.22370544
1.78406513	1.50618190	2.06194835
2.82116817	2.54671115	3.09562519
3.49587727	3.25851581	3.73323873
2.98174195	2.70193351	3.26155039
1.63400942	1.36232937	1.90568947
2.60679313	2.35106770	2.86251857
3.47859668	3.23505828	3.72213508
2.87792652	2.60922203	3.14663102
