# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
9.20592613	6.28116055	12.13069171
14.99145635	11.31169629	18.67121641
11.95550738	8.98518256	14.92583220
107.98487959	94.10194745	121.86781173
73.18973946	60.38103753	85.99844139
25.18192484	17.91217873	32.45167095
17.26138511	12.41193089	22.11083933
101.07123169	85.35942381	116.78303958
135.55591907	118.86714924	152.24468890
76.54553043	60.18850873	92.90255213
40.67224465	30.76989462	50.57459468
53.70626316	38.69241762	68.72010871
192.25139481	174.87057406	209.63221555
177.45399818	158.39371797	196.51427838
132.02068052	109.07556063	154.96580042
81.75714271	65.60671671	97.90756871
210.77597819	187.41141728	234.14053910
201.63095803	181.14561805	222.11629802
146.12360335	123.74356533	168.50364137
91.70682735	71.29149115	112.12216355
203.36052368	184.11027064	222.61077673
221.31305576	198.91737069	243.70874083
183.60258280	163.47779181	203.72737378
213.42125278	180.61089641	246.23160914
476.96140298	426.23425446	527.68855150
327.28355269	291.31119433	363.25591105
232.20514086	183.44006801	280.97021371
219.49814287	171.61575347	267.38053228
539.53789664	472.58579154	606.49000174
408.95364352	378.21955197	439.68773507
388.02161823	331.25330106	444.78993539
313.45478096	253.48501807	373.42454384
501.38001574	456.29030251	546.46972897
453.58046517	400.73117503	506.42975531
333.70971305	296.31683577	371.10259033
364.53881656	294.93377421	434.14385892
568.08806380	508.81455335	627.36157424
541.82712956	473.91077270	609.74348642
445.26194425	381.35897709	509.16491141
402.11058219	330.30114169	473.92002270
664.64944913	602.96322820	726.33567005
592.98379408	526.92065278	659.04693538
454.45732647	390.82057074	518.09408220
406.99841156	338.61097329	475.38584983
604.65849798	544.59161200	664.72538397
405.08415334	359.10388377	451.06442290
244.04798965	194.26348668	293.83249262
216.58914017	184.88324270	248.29503763
512.07428212	449.77829823	574.37026602
328.20878449	292.99928390	363.41828508
205.72867000	164.48257101	246.97476899
183.16160641	154.96909671	211.35411612
474.04135535	423.82291507	524.25979563
337.50235657	292.78498498	382.21972817
161.86718144	126.68432255	197.05004032
97.86503202	73.52289797	122.20716607
210.07956803	188.50695076	231.65218529
173.72580883	150.94963854	196.50197912
140.35526188	118.88447296	161.82605080
106.30508593	85.57781781	127.03235404
193.07676329	173.59166744	212.56185914
159.63232930	139.64655239	179.61810621
101.42024319	81.81309793	121.02738846
161.12507309	138.04022685	184.20991933
420.57148828	372.99974336	468.14323321
275.72185981	239.40441971	312.03929991
126.72752659	104.77799087	148.67706231
115.44542799	94.07390855	136.81694742
482.40953589	433.94653242	530.87253936
373.87289614	324.87054416	422.87524812
189.58414150	153.31650639	225.85177660
203.66519101	160.75518014	246.57520187
499.30721453	454.66274970	543.95167936
387.04122994	352.94515823	421.13730164
278.30974182	231.37847175	325.24101189
191.17923178	158.74660018	223.61186338
506.05599837	454.64500288	557.46699387
411.75947995	370.68931292	452.82964699
308.07087221	262.01117719	354.13056722
254.04276591	211.16103592	296.92449590
552.25618644	504.39870957	600.11366331
435.24590730	385.68899537	484.80281923
335.67229372	290.33906709	381.00552035
394.24602160	328.66994998	459.82209321
649.29287671	582.14938530	716.43636811
510.29592175	448.18072881	572.41111468
399.29332631	345.43370803	453.15294458
436.32091926	368.43726926	504.20456927
749.57387126	661.18256702	837.96517550
458.73282860	411.14451309	506.32114411
368.75643064	318.07051688	419.44234439
422.34786285	351.00723360	493.68849210
734.90411734	659.31113225	810.49710243
526.28299875	444.40338355	608.16261394
486.29507248	417.15881613	555.43132883
