# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02386470	0.01621210	0.03151729
0.04758303	0.03374571	0.06142035
0.03730531	0.02651815	0.04809246
0.34125931	0.30707045	0.37544817
0.28896792	0.23791014	0.34002570
0.07659347	0.05569131	0.09749562
0.05135813	0.03591075	0.06680550
0.30372515	0.27098566	0.33646464
0.53140904	0.48384590	0.57897219
0.29930679	0.24971600	0.34889758
0.16732845	0.12724793	0.20740897
0.14672983	0.11455276	0.17890690
0.67253674	0.63751444	0.70755904
0.65683513	0.61235334	0.70131692
0.49643923	0.43953667	0.55334179
0.28658960	0.23525665	0.33792255
0.65833049	0.61607793	0.70058305
0.72749611	0.68733689	0.76765534
0.52997789	0.47486606	0.58508971
0.30105357	0.24665759	0.35544954
0.67626513	0.63934930	0.71318096
0.71090930	0.67331966	0.74849893
0.63790192	0.59223368	0.68357015
0.58090397	0.53465052	0.62715742
0.86474292	0.84383539	0.88565045
0.77212297	0.73564567	0.80860028
0.59544750	0.54017566	0.65071934
0.48453847	0.43248965	0.53658730
0.87381415	0.85651895	0.89110934
0.85112121	0.82702925	0.87521316
0.76780296	0.72530024	0.81030569
0.66503483	0.61888392	0.71118574
0.88028652	0.86207186	0.89850118
0.85839823	0.83538621	0.88141024
0.77976188	0.73947750	0.82004625
0.64782472	0.59979009	0.69585935
0.86879098	0.84699754	0.89058442
0.83891515	0.81457978	0.86325052
0.80764876	0.77629537	0.83900214
0.75618496	0.71833204	0.79403788
0.86882184	0.84991094	0.88773274
0.81631175	0.78703802	0.84558548
0.74879708	0.71217198	0.78542219
0.68137211	0.63126202	0.73148220
0.84792737	0.82224857	0.87360617
0.78804053	0.75587296	0.82020810
0.54915362	0.49474545	0.60356179
0.48093398	0.43050806	0.53135990
0.83847954	0.81472483	0.86223425
0.72721626	0.68503276	0.76939976
0.51089144	0.45131401	0.57046887
0.44054789	0.39153906	0.48955673
0.83214188	0.80466614	0.85961762
0.69353680	0.64565660	0.74141700
0.42032360	0.35965323	0.48099396
0.26238352	0.21366870	0.31109833
0.69175142	0.65549363	0.72800922
0.59842609	0.54895767	0.64789452
0.46154690	0.40377817	0.51931563
0.34110188	0.28729538	0.39490838
0.64748411	0.61276554	0.68220267
0.57441938	0.52568672	0.62315204
0.36590213	0.31072943	0.42107482
0.41293250	0.37101747	0.45484753
0.80017561	0.76588891	0.83446231
0.65128734	0.60029148	0.70228319
0.41271201	0.35501625	0.47040776
0.32790084	0.29056921	0.36523247
0.85558137	0.83524311	0.87591962
0.77560062	0.73857393	0.81262732
0.52772764	0.46878866	0.58666661
0.45328424	0.40823425	0.49833422
0.86492106	0.84172571	0.88811642
0.84087247	0.81774191	0.86400302
0.67135157	0.62244434	0.72025880
0.51010068	0.45715121	0.56305014
0.85302549	0.82995431	0.87609668
0.82403895	0.79266403	0.85541387
0.70405007	0.65690882	0.75119132
0.60685098	0.55344102	0.66026095
0.88049502	0.86217813	0.89881190
0.87448267	0.84973660	0.89922875
0.73899328	0.69900979	0.77897676
0.69294931	0.64487319	0.74102543
0.88985565	0.87295325	0.90675805
0.86293677	0.84059136	0.88528218
0.81302558	0.78181770	0.84423345
0.72994041	0.68664825	0.77323257
0.86490527	0.84266363	0.88714691
0.84190136	0.81720601	0.86659671
0.81721424	0.78881159	0.84561689
0.75832670	0.71817731	0.79847610
0.88486564	0.86485638	0.90487491
0.85319101	0.82989910	0.87648291
0.78644936	0.75116145	0.82173728
