# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.23005475	-0.22085256	0.68096206
0.55462063	-0.04083855	1.15007981
0.22241930	-0.01822804	0.46306665
12.53381704	7.99038918	17.07724490
15.87798463	11.17685159	20.57911767
1.14023751	0.21201106	2.06846397
0.36877808	-0.13118995	0.86874611
9.77608437	4.14277602	15.40939271
33.41913903	25.19556481	41.64271326
21.46232416	14.42172909	28.50291923
11.34844445	4.89474071	17.80214818
5.74810525	1.49469878	10.00151173
58.95708785	48.99621060	68.91796511
76.53274051	65.11448858	87.95099243
58.87841374	44.98300818	72.77381929
22.83499490	14.81736161	30.85262819
75.75112136	62.33977488	89.16246784
98.27707965	84.18997733	112.36418198
64.08053441	50.34938558	77.81168324
28.47337833	18.68849983	38.25825682
63.66160834	52.83493510	74.48828159
91.27377624	76.53575093	106.01180155
76.97870331	63.16889379	90.78851283
86.57999277	65.21533319	107.94465234
306.96486973	270.57962124	343.35011822
221.53751342	193.87835024	249.19667660
152.30037710	112.58476186	192.01599233
105.35738111	66.66310169	144.05166053
363.52849124	307.46907762	419.58790486
311.92775242	285.76241664	338.09308821
283.27968887	237.12686997	329.43250776
182.88771497	132.86284296	232.91258698
342.64520972	307.17674945	378.11367000
350.35581225	305.67513174	395.03649276
241.68790877	210.67655767	272.69925987
222.95892119	166.31402540	279.60381697
395.93936377	347.21880911	444.65991842
423.51166795	368.44645348	478.57688243
337.71381635	285.26907760	390.15855510
260.69565881	198.47457742	322.91674019
472.07532755	418.57945928	525.57119583
462.23118591	407.39858585	517.06378596
325.44908765	271.74104500	379.15713030
256.60193715	200.79743796	312.40643635
419.90371805	369.67341099	470.13402512
291.90296007	252.15877733	331.64714280
148.42249012	109.82233660	187.02264364
93.08967831	70.34580123	115.83355538
333.40526892	284.94703911	381.86349872
219.05154204	190.44282637	247.66025772
125.94326106	94.61890019	157.26762192
71.05320043	51.11427280	90.99212807
297.58830443	259.00459413	336.17201473
220.77184831	184.35236188	257.19133474
91.00908534	64.21162434	117.80654634
26.65177500	13.25724964	40.04630035
69.68430997	55.97848938	83.39013056
69.13416374	54.72168271	83.54664478
53.84173992	42.07437567	65.60910416
25.05276838	15.18203496	34.92350181
54.44851484	43.45260950	65.44442018
64.94349422	51.69538005	78.19160840
40.55479049	28.89779969	52.21178128
49.04090816	34.73789061	63.34392570
264.56329755	228.98910441	300.13749069
182.18772215	152.59676755	211.77867674
58.27444834	43.23035460	73.31854209
30.77171898	20.08232105	41.46111691
299.38704977	263.95922751	334.81487203
261.57109155	222.16483210	300.97735101
114.33453497	85.53541971	143.13365024
85.24460126	52.23911347	118.25008906
321.48329214	289.46563866	353.50094561
282.78667682	254.16642415	311.40692950
180.93121617	143.22407632	218.63835602
85.12798699	61.52232495	108.73364903
327.02907674	288.24427230	365.81388118
308.43161290	274.92574988	341.93747591
213.28215332	175.03308853	251.53121810
142.70675243	109.12571117	176.28779370
369.53743791	332.03663615	407.03823967
332.39902416	292.79000342	372.00804490
250.37555855	212.99270473	287.75841236
257.54351064	204.01716925	311.06985202
466.10002158	411.68338636	520.51665681
399.53113688	349.24449813	449.81777563
305.84969010	261.62766292	350.07171729
294.43713940	235.97483565	352.89944316
557.87328982	481.87367218	633.87290746
364.56989630	325.33839411	403.80139849
280.90718452	239.47056618	322.34380287
269.01633680	208.39317833	329.63949527
533.85094932	470.04257562	597.65932303
419.16966983	348.38393403	489.95540563
369.52688725	312.20150089	426.85227362
