# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000690	-0.00000663	0.00002044
0.00001036	-0.00000994	0.00003066
0.00002328	-0.00000514	0.00005169
0.00006548	0.00000299	0.00012797
0.00010164	0.00002907	0.00017420
0.00006527	0.00001224	0.00011831
0.00012799	0.00001883	0.00023716
0.00013677	0.00004310	0.00023044
0.00018831	0.00010058	0.00027605
0.00025287	0.00013627	0.00036946
0.00037265	0.00021442	0.00053087
0.00033608	0.00017174	0.00050043
0.00013904	0.00006915	0.00020893
0.00015123	0.00007280	0.00022966
0.00041130	0.00025036	0.00057223
0.00054448	0.00036684	0.00072212
0.00039267	0.00025265	0.00053270
0.00048241	0.00028935	0.00067546
0.00080023	0.00053814	0.00106232
0.00084436	0.00057773	0.00111100
0.00078230	0.00056689	0.00099771
0.00096352	0.00073334	0.00119371
0.00120508	0.00091540	0.00149477
0.00113197	0.00086848	0.00139545
0.00079020	0.00058286	0.00099754
0.00064724	0.00046711	0.00082738
0.00062130	0.00040707	0.00083553
0.00032225	0.00018710	0.00045740
0.00019760	0.00007795	0.00031724
0.00015271	0.00004878	0.00025664
0.00017108	0.00005500	0.00028717
0.00009763	0.00002487	0.00017040
0.00006642	-0.00002403	0.00015687
0.00001879	-0.00001258	0.00005015
0.00005026	-0.00000990	0.00011043
0.00004349	-0.00001189	0.00009887
0.00000662	-0.00000636	0.00001961
0.00001362	-0.00000710	0.00003433
0.00003032	-0.00000372	0.00006436
0.00001332	-0.00001279	0.00003943
0.00000333	-0.00000320	0.00000986
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00001861	-0.00001192	0.00004915
0.00001958	-0.00000042	0.00003958
0.00000338	-0.00000324	0.00000999
0.00000675	-0.00000648	0.00001999
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00001386	-0.00001331	0.00004104
0.00000693	-0.00000665	0.00002052
0.00000000	0.00000000	0.00000000
0.00001004	-0.00000483	0.00002491
0.00000617	-0.00000593	0.00001827
0.00003212	-0.00000533	0.00006957
0.00006193	-0.00000968	0.00013355
0.00004857	-0.00000142	0.00009856
0.00002629	-0.00000231	0.00005490
0.00009641	0.00001918	0.00017364
0.00027534	0.00014001	0.00041067
0.00018718	0.00007957	0.00029478
0.00023256	0.00012731	0.00033780
0.00046211	0.00026730	0.00065693
0.00066600	0.00041965	0.00091235
0.00078205	0.00055294	0.00101116
0.00070217	0.00048570	0.00091865
0.00110434	0.00084731	0.00136138
0.00118566	0.00091666	0.00145467
0.00103528	0.00079905	0.00127152
0.00099897	0.00071441	0.00128352
0.00137192	0.00103796	0.00170589
0.00148757	0.00110875	0.00186639
0.00112377	0.00084579	0.00140176
0.00113634	0.00088644	0.00138624
0.00165706	0.00126589	0.00204823
0.00161308	0.00120900	0.00201716
0.00142116	0.00111369	0.00172863
0.00124717	0.00092154	0.00157280
0.00156272	0.00124154	0.00188390
0.00125887	0.00095826	0.00155947
