# mean	lower_ci	upper_ci
0.02014647	0.00826768	0.03202525
0.01743899	0.00686979	0.02800819
0.01859393	0.00809577	0.02909209
0.02652557	0.01294116	0.04010999
0.02583449	0.01244727	0.03922171
0.01231689	0.00372638	0.02090739
0.02000121	0.00927460	0.03072783
0.02053101	0.00927875	0.03178327
0.03923992	0.02072073	0.05775912
0.04079441	0.02565372	0.05593509
0.02741157	0.01432953	0.04049362
0.03233171	0.01883917	0.04582426
0.05150911	0.03238180	0.07063642
0.07980301	0.04390016	0.11570587
0.06610942	0.03825165	0.09396719
0.04963306	0.03410615	0.06515997
0.05797516	0.03393893	0.08201139
0.05178391	0.03306591	0.07050191
0.06165346	0.04129111	0.08201581
0.05972185	0.03837125	0.08107244
0.04899797	0.02492612	0.07306982
0.05196475	0.03486738	0.06906212
0.04305782	0.02597997	0.06013568
0.04589526	0.02753933	0.06425120
0.06120395	0.03757067	0.08483723
0.07443082	0.05239003	0.09647162
0.05503090	0.03358684	0.07647496
0.06122981	0.03699078	0.08546883
0.06669583	0.04083446	0.09255720
0.06973025	0.04083720	0.09862330
0.06208935	0.04233653	0.08184216
0.06713541	0.04578349	0.08848732
0.08661167	0.06106834	0.11215501
0.06110619	0.04039674	0.08181564
0.07456255	0.04856438	0.10056072
0.05992901	0.03893527	0.08092275
0.05819523	0.03799313	0.07839734
0.04971660	0.03227123	0.06716196
0.04715982	0.02639752	0.06792211
0.04815833	0.02910009	0.06721658
0.05154432	0.03300787	0.07008077
0.03150947	0.01429996	0.04871899
0.04581354	0.02776712	0.06385996
0.03416414	0.01979149	0.04853679
0.02581795	0.01539718	0.03623871
0.03856866	0.02636777	0.05076956
0.04355888	0.02703782	0.06007995
0.04969481	0.03272057	0.06666905
0.05000793	0.02953259	0.07048326
0.04301294	0.02606801	0.05995787
0.05305015	0.03332839	0.07277192
0.04051832	0.02429713	0.05673952
0.04507217	0.02949532	0.06064901
0.05525037	0.03078261	0.07971813
0.04192724	0.02366229	0.06019220
0.03836947	0.02162705	0.05511189
0.02495220	0.01052106	0.03938335
0.02708195	0.01347029	0.04069360
0.03887410	0.02108182	0.05666639
0.04303696	0.02645570	0.05961823
0.02752639	0.01455024	0.04050253
0.03694452	0.01891592	0.05497311
0.04165045	0.02542099	0.05787990
0.04325846	0.02487908	0.06163784
0.05227656	0.03364092	0.07091220
0.04541660	0.02784947	0.06298374
0.02257016	0.01377788	0.03136244
0.04239485	0.01996182	0.06482787
0.04358456	0.01710078	0.07006833
0.06076481	0.03370424	0.08782538
0.06517007	0.04387720	0.08646294
0.05152116	0.03090325	0.07213908
0.07075128	0.04202980	0.09947275
0.06485490	0.03831043	0.09139936
0.06426609	0.03829568	0.09023651
0.06890292	0.04511980	0.09268605
0.07043962	0.04565107	0.09522817
0.07632029	0.05191817	0.10072241
0.05684573	0.03869614	0.07499532
0.07840599	0.05236747	0.10444451
0.07787309	0.05478398	0.10096219
0.06260291	0.04323717	0.08196866
0.06485408	0.03944035	0.09026780
0.08179981	0.04647356	0.11712607
0.07260711	0.04955640	0.09565783
0.05713174	0.03917475	0.07508873
0.06180783	0.04221504	0.08140061
0.05500076	0.03537471	0.07462682
0.06009443	0.04044993	0.07973892
0.08007676	0.05124343	0.10891010
0.06691369	0.04446059	0.08936679
0.06788784	0.04822019	0.08755550
0.05751286	0.03783170	0.07719403
0.06816969	0.03854634	0.09779303
0.05767225	0.03341501	0.08192950
0.07321286	0.04185025	0.10457547
