# mean	lower_ci	upper_ci
0.00034464	-0.00033086	0.00102014
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00058923	-0.00056566	0.00174413
0.00000000	0.00000000	0.00000000
0.00230070	-0.00141647	0.00601787
0.00143343	-0.00128774	0.00415459
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.01113449	-0.00395150	0.02622049
0.00951613	-0.00026529	0.01929756
0.00000000	0.00000000	0.00000000
0.00847535	-0.00053810	0.01748880
0.00220464	-0.00052126	0.00493055
0.00150678	-0.00144650	0.00446006
0.00167345	-0.00071690	0.00406380
0.00598720	-0.00051950	0.01249391
0.00065532	-0.00049984	0.00181049
0.00241899	-0.00104923	0.00588721
0.00021346	-0.00020492	0.00063185
0.00597757	-0.00183315	0.01378828
0.00179669	-0.00135092	0.00494431
0.00003013	-0.00001423	0.00007449
0.00324490	-0.00292832	0.00941812
0.00943787	-0.00153202	0.02040775
0.01161223	0.00133692	0.02188755
0.00124589	-0.00065447	0.00314624
0.00038345	-0.00036812	0.00113502
0.00210065	-0.00052377	0.00472506
0.00308448	-0.00005576	0.00622471
0.00752602	-0.00176122	0.01681325
0.00608966	-0.00102426	0.01320358
0.00193015	-0.00185294	0.00571324
0.00158482	-0.00047987	0.00364951
0.00375554	-0.00092374	0.00843482
0.00071196	-0.00030115	0.00172506
0.00028820	-0.00027667	0.00085308
0.00084083	-0.00080720	0.00248886
0.00190869	-0.00170290	0.00552029
0.00073205	-0.00062040	0.00208450
0.00226793	-0.00089390	0.00542975
0.00029664	-0.00004786	0.00064113
0.00231652	-0.00140567	0.00603871
0.00102508	-0.00023357	0.00228372
0.00147092	-0.00080164	0.00374348
0.00193510	-0.00038595	0.00425616
0.00336353	-0.00121745	0.00794450
0.00000000	0.00000000	0.00000000
0.00080970	-0.00031304	0.00193243
0.00534255	-0.00088009	0.01156519
0.00128590	-0.00097123	0.00354303
0.00284541	-0.00152902	0.00721983
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00413132	0.00003039	0.00823225
0.00211619	-0.00083780	0.00507019
0.00091061	-0.00087419	0.00269541
0.00256254	-0.00100922	0.00613430
0.00117072	-0.00005900	0.00240044
0.00353798	-0.00151915	0.00859510
0.00027919	-0.00026802	0.00082641
0.00000000	0.00000000	0.00000000
0.00104071	-0.00054629	0.00262770
0.00414535	-0.00200515	0.01029586
0.00674808	-0.00647815	0.01997431
0.00559436	-0.00123732	0.01242604
0.00237365	-0.00138076	0.00612807
0.00315806	-0.00156276	0.00787888
0.01100636	-0.00241495	0.02442767
0.00775822	0.00100241	0.01451404
0.00340813	0.00007810	0.00673817
0.00558151	-0.00105849	0.01222151
0.00517926	-0.00204319	0.01240171
0.00513677	-0.00054902	0.01082257
0.00000000	0.00000000	0.00000000
0.00447267	-0.00096193	0.00990727
0.00555740	-0.00013428	0.01124909
0.00202288	-0.00010060	0.00414636
0.00370242	-0.00189659	0.00930143
0.00864132	-0.00512400	0.02240664
0.00377990	-0.00089039	0.00845020
0.00150991	-0.00056376	0.00358357
0.00316996	-0.00148556	0.00782549
0.00097473	-0.00042696	0.00237642
0.00331205	0.00028951	0.00633460
0.00898411	-0.00043112	0.01839933
0.00205318	-0.00108407	0.00519043
0.00441396	0.00136598	0.00746195
0.00219517	-0.00210736	0.00649770
0.01127645	-0.00000323	0.02255613
0.00653376	-0.00086278	0.01393030
0.00705291	-0.00489836	0.01900419
