# mean	lower_ci	upper_ci
0.56733106	0.48970409	0.64495803
0.82727391	0.71436261	0.94018522
0.96296117	0.81605589	1.10986646
1.05364730	0.87300363	1.23429097
1.06799827	0.90054451	1.23545202
1.35361514	1.15586187	1.55136841
1.28405526	1.09638842	1.47172211
1.36594349	1.13378749	1.59809949
1.55890312	1.31894144	1.79886481
2.14157865	1.87492336	2.40823394
2.32332360	2.08056615	2.56608104
2.40598346	2.09244480	2.71952212
2.72646645	2.38286230	3.07007060
3.26567134	2.80808299	3.72325968
3.67239680	3.14748759	4.19730601
3.21891139	2.72956534	3.70825744
3.66340771	3.18253814	4.14427727
4.01050706	3.47247078	4.54854335
4.08282860	3.51791512	4.64774207
4.21170523	3.65275408	4.77065639
3.68713680	3.13493054	4.23934306
3.16630120	2.65244817	3.68015423
2.89125935	2.39958993	3.38292877
2.95531934	2.50664500	3.40399368
3.27087973	2.86158863	3.68017084
3.28193634	2.91550111	3.64837157
3.85394414	3.36901657	4.33887171
4.01295415	3.53984397	4.48606433
4.63709725	4.17540157	5.09879293
4.77024270	4.27438730	5.26609811
4.52064066	4.02018711	5.02109420
4.86937682	4.25717184	5.48158179
4.90135492	4.27902694	5.52368291
4.78120375	4.22294836	5.33945914
4.56674104	3.96415239	5.16932970
4.48840651	3.96156429	5.01524873
4.10440627	3.57721130	4.63160125
3.47599460	2.94569728	4.00629192
3.30363266	2.87985769	3.72740763
3.17680191	2.79877014	3.55483369
2.44574812	2.15945143	2.73204481
1.64727969	1.45347348	1.84108590
1.58975214	1.41397338	1.76553091
1.60042654	1.39223969	1.80861339
2.00953419	1.74684508	2.27222330
2.22846922	1.96797854	2.48895990
2.16587401	1.91499834	2.41674968
2.38825675	2.12277681	2.65373669
2.56709904	2.26981670	2.86438139
2.64639948	2.34353032	2.94926864
2.63894384	2.31034732	2.96754036
2.75893013	2.42740555	3.09045470
2.25646790	1.98204908	2.53088672
1.92128777	1.69573565	2.14683990
1.96146285	1.71580647	2.20711923
1.99566921	1.71534322	2.27599521
1.82859597	1.56517915	2.09201278
1.67055787	1.47161608	1.86949967
1.44300666	1.26619636	1.61981695
1.62422967	1.40604255	1.84241679
1.89134037	1.65034274	2.13233800
2.25140070	1.98148113	2.52132027
2.12364686	1.86380264	2.38349109
2.01290692	1.78751510	2.23829875
2.17659888	1.94451155	2.40868621
2.44144675	2.20229880	2.68059470
2.22885812	2.02424298	2.43347326
2.30901757	2.06021218	2.55782296
2.90351284	2.61620374	3.19082194
3.24417851	2.85428212	3.63407489
3.28780154	2.86504468	3.71055840
3.31166311	2.95118218	3.67214403
3.34488675	2.99418772	3.69558577
3.86948028	3.48561661	4.25334395
4.14798868	3.64575460	4.65022276
3.97155115	3.44717739	4.49592491
4.24484315	3.65996507	4.82972123
4.71916154	4.09091199	5.34741108
4.71471956	4.10901351	5.32042561
5.72108999	4.98852504	6.45365494
5.59324116	4.74845073	6.43803159
5.76009368	4.87640457	6.64378280
5.87838726	4.96666648	6.79010803
5.64726107	4.73522133	6.55930082
5.43067560	4.59508013	6.26627108
5.35394607	4.44703989	6.26085224
5.40260414	4.48573918	6.31946910
5.39215208	4.47310042	6.31120374
5.91933490	4.93591167	6.90275812
5.62276179	4.60761807	6.63790550
5.33511095	4.30809501	6.36212690
5.54131899	4.50262150	6.58001649
4.39399620	3.50846859	5.27952382
3.77120841	2.97342445	4.56899236
3.47992582	2.76862398	4.19122765
3.43899692	2.77339409	4.10459974
