# mean	lower_ci	upper_ci
0.03711546	0.01894603	0.05528489
0.11167396	0.06959624	0.15375168
0.17669323	0.10418653	0.24919994
0.22886141	0.10812509	0.34959774
0.24102897	0.14538151	0.33667644
0.37036819	0.24503796	0.49569843
0.32871991	0.21614439	0.44129543
0.43964495	0.28537679	0.59391310
0.30809315	0.15144033	0.46474597
0.43956315	0.26363114	0.61549516
0.48227776	0.32712758	0.63742794
0.66199916	0.45395764	0.87004069
0.84186935	0.59090533	1.09283336
1.21654301	0.83853931	1.59454671
1.51591853	1.06274403	1.96909303
1.23635699	0.82931782	1.64339616
1.47855919	1.06896875	1.88814963
1.78665318	1.32027593	2.25303042
1.87709562	1.38269478	2.37149645
1.97579089	1.49024249	2.46133928
1.64672363	1.18216918	2.11127809
1.28259225	0.85910230	1.70608220
1.10533906	0.70763480	1.50304332
1.05471067	0.68962098	1.41980035
0.82433080	0.52852298	1.12013862
0.71369403	0.45823273	0.96915534
1.15449397	0.77944341	1.52954453
1.23404829	0.86196269	1.60613389
1.56398613	1.19876558	1.92920667
1.72409943	1.32654001	2.12165884
1.55782340	1.14773155	1.96791525
1.89925557	1.38591806	2.41259309
1.91507691	1.38845951	2.44169431
1.75374019	1.28627354	2.22120684
1.75121539	1.26044604	2.24198474
1.53446921	1.09642390	1.97251453
1.37672912	0.95921999	1.79423825
0.96759784	0.53947164	1.39572404
0.76885038	0.45786916	1.07983160
0.68283954	0.41217620	0.95350289
0.45486199	0.29370742	0.61601656
0.17354974	0.09111998	0.25597950
0.16979325	0.09540384	0.24418266
0.20001251	0.08517364	0.31485139
0.38245817	0.23015551	0.53476084
0.47358981	0.32332690	0.62385273
0.44480950	0.29733587	0.59228314
0.50929310	0.33466906	0.68391715
0.68521784	0.48980958	0.88062610
0.75001436	0.53525076	0.96477796
0.76662792	0.53873424	0.99452161
0.83202051	0.58836929	1.07567173
0.56664864	0.40313826	0.73015903
0.34961371	0.23281723	0.46641019
0.38127717	0.23839276	0.52416157
0.47303733	0.29443291	0.65164176
0.35936468	0.20009253	0.51863683
0.23580142	0.14406676	0.32753607
0.15629265	0.07459022	0.23799508
0.25575362	0.13482952	0.37667772
0.35261890	0.21738506	0.48785273
0.53808258	0.36759210	0.70857307
0.46233093	0.30335567	0.62130619
0.36870393	0.24240989	0.49499797
0.24343937	0.14294127	0.34393747
0.30383637	0.18770646	0.41996627
0.21205943	0.12227532	0.30184354
0.25181850	0.12023359	0.38340340
0.51683300	0.35454163	0.67912437
0.76534671	0.49492478	1.03576863
0.81218670	0.50582955	1.11854384
0.74184057	0.49566072	0.98802042
0.73979647	0.50433985	0.97525309
1.07417082	0.81399982	1.33434182
1.35716612	0.96650783	1.74782441
1.26198101	0.84202355	1.68193847
1.40952454	0.91765745	1.90139162
1.74375120	1.20038415	2.28711825
1.76582973	1.25410561	2.27755385
2.52434190	1.87049262	3.17819118
2.52918205	1.76200779	3.29635631
2.63472702	1.82433859	3.44511544
2.76528425	1.92782895	3.60273954
2.59731698	1.76128757	3.43334639
2.42966061	1.67393626	3.18538496
2.36254180	1.53343690	3.19164669
2.42275101	1.58699055	3.25851147
2.38346977	1.53698988	3.22994966
2.74568421	1.82608991	3.66527850
2.55406069	1.60715585	3.50096553
2.29694325	1.32767859	3.26620791
2.47786128	1.49933500	3.45638757
1.82952821	1.02879637	2.63026005
1.39059689	0.68877315	2.09242064
1.13271503	0.51145795	1.75397210
1.05640649	0.47963251	1.63318047
