# mean	lower_ci	upper_ci
110.49678372	93.97274994	127.02081750
129.42172824	110.42529516	148.41816132
133.05948719	114.83605571	151.28291868
155.57188482	132.90149103	178.24227861
163.38054279	124.07556764	202.68551793
161.74056980	135.05710208	188.42403752
179.27584841	147.56180340	210.98989341
176.79479708	137.54709810	216.04249607
126.56876182	108.74561986	144.39190378
148.01353760	133.90626352	162.12081168
161.51454325	144.73824461	178.29084188
167.69187073	143.84320397	191.54053748
180.97320021	153.68759687	208.25880355
204.92219181	176.89026155	232.95412207
200.28653934	175.44145678	225.13162191
194.55016582	167.83270791	221.26762373
225.22335259	193.46058469	256.98612050
235.52099694	201.22689224	269.81510165
224.60940711	191.84531625	257.37349796
243.93713908	205.94262780	281.93165036
203.59812490	173.63637596	233.55987384
191.11588810	162.23532413	219.99645207
181.86312899	154.72575408	209.00050390
193.33963357	166.00842237	220.67084477
167.20179639	147.67026314	186.73332963
154.18198537	136.50822090	171.85574984
192.30407163	167.45534897	217.15279430
198.99959405	173.93788096	224.06130715
199.54008956	179.20973795	219.87044117
197.54855908	176.58345310	218.51366506
196.91282155	174.46609031	219.35955278
212.48520533	186.42240923	238.54800144
199.23146393	178.23857533	220.22435252
201.75017466	177.47110173	226.02924758
193.90642857	169.53909371	218.27376342
194.03548283	169.10277339	218.96819227
185.56907696	159.14083500	211.99731893
173.90644208	145.74271064	202.07017352
160.19021068	144.03800843	176.34241293
166.49291279	148.34575193	184.64007364
147.21553383	133.05543257	161.37563510
132.21984531	118.45840886	145.98128176
126.57216987	109.67113121	143.47320853
138.09242937	119.59992043	156.58493831
160.16845361	136.63469747	183.70220976
150.92098340	134.31865873	167.52330806
152.66985670	136.84944579	168.49026760
165.43215379	147.31974534	183.54456224
183.47987386	157.70011225	209.25963547
184.28089755	160.25271696	208.30907813
169.92468134	150.76477461	189.08458808
172.25706641	154.33938583	190.17474699
161.19622490	141.25617744	181.13627236
152.48341172	137.08774629	167.87907715
160.06362092	136.85881323	183.26842861
155.66754408	136.87424623	174.46084193
141.27288984	124.29575585	158.25002384
144.11417627	129.61813857	158.61021396
136.16419409	119.15882038	153.16956780
148.23729788	130.91889700	165.55569875
159.34977654	137.94659879	180.75295429
167.71725079	142.74649641	192.68800517
151.35691491	132.69734037	170.01648945
147.20364920	133.23117110	161.17612731
138.93236065	125.84585814	152.01886317
145.82236818	133.76374578	157.88099059
134.57146630	123.21760505	145.92532755
139.62877363	126.78019121	152.47735605
157.23656883	142.13023928	172.34289837
168.16197024	147.16034653	189.16359394
155.40108056	138.99975944	171.80240169
164.14374760	147.59878563	180.68870958
155.40365655	139.22886266	171.57845043
188.69318978	168.57552248	208.81085708
187.39885885	161.51939208	213.27832562
191.70209213	161.10654264	222.29764162
187.96981817	163.76560305	212.17403330
196.83393857	171.67417466	221.99370249
201.61492063	176.06739812	227.16244314
273.60971892	229.55868102	317.66075681
241.30044201	200.34412612	282.25675790
256.38653907	217.85791177	294.91516637
222.73407752	190.03067186	255.43748318
226.27428398	192.87700511	259.67156285
233.52869401	194.73163819	272.32574983
223.74960831	188.42065186	259.07856477
228.05880951	189.26755774	266.85006128
230.02758556	191.99744240	268.05772872
261.10787103	215.40326051	306.81248155
227.04507765	187.11843926	266.97171603
242.03064958	186.80353776	297.25776139
223.40853917	185.85524315	260.96183518
200.92297568	168.37953681	233.46641454
185.57858880	152.64365769	218.51351990
179.07431386	151.99939124	206.14923649
181.63209234	150.27729129	212.98689338
