# mean	lower_ci	upper_ci
0.26510780	0.23162460	0.29859100
0.35779998	0.31662591	0.39897405
0.39313397	0.34775303	0.43851491
0.41239294	0.36958280	0.45520308
0.41348465	0.36791700	0.45905229
0.49162347	0.44382694	0.53942001
0.47766767	0.43084760	0.52448775
0.30876618	0.27473962	0.34279274
0.41693666	0.37862998	0.45524333
0.56733850	0.52492296	0.60975404
0.61368195	0.57372068	0.65364321
0.58132810	0.53709434	0.62556186
0.62819904	0.58687175	0.66952632
0.68304278	0.64070369	0.72538186
0.71882609	0.68008141	0.75757077
0.66085147	0.61757840	0.70412453
0.72828284	0.69056558	0.76600010
0.74128463	0.70396669	0.77860256
0.73524433	0.69844242	0.77204624
0.74530478	0.70744369	0.78316588
0.68013772	0.63852736	0.72174808
0.62790298	0.58313030	0.67267566
0.59530676	0.54887066	0.64174286
0.47515217	0.44473502	0.50556931
0.61163723	0.57128443	0.65199003
0.64206058	0.60327369	0.68084747
0.67486254	0.63546511	0.71425997
0.69472647	0.65849430	0.73095863
0.76827778	0.73309665	0.80345891
0.76153582	0.72745949	0.79561215
0.74070431	0.70614229	0.77526633
0.74253031	0.70510890	0.77995172
0.74656950	0.70922888	0.78391013
0.75686589	0.72220069	0.79153109
0.70388141	0.66430398	0.74345885
0.73848432	0.70451758	0.77245107
0.68191929	0.64129685	0.72254173
0.62709919	0.58567979	0.66851859
0.63369557	0.58989776	0.67749338
0.72682051	0.68869091	0.76495011
0.58137097	0.54252303	0.62021890
0.44211776	0.40310830	0.48112722
0.43352247	0.39307249	0.47397246
0.46096523	0.41913891	0.50279154
0.53172673	0.49001499	0.57343847
0.57442112	0.52991374	0.61892849
0.56647374	0.52463586	0.60831162
0.62305502	0.58334962	0.66276042
0.62544379	0.58145144	0.66943614
0.63082046	0.59190249	0.66973844
0.62259978	0.57881203	0.66638754
0.64230320	0.60301381	0.68159260
0.56327308	0.51766476	0.60888141
0.52389135	0.47998317	0.56779953
0.52672856	0.48355310	0.56990403
0.50754396	0.46400791	0.55108001
0.48974376	0.44481051	0.53467702
0.47825215	0.43489086	0.52161344
0.42890467	0.38958015	0.46822919
0.45615868	0.41456358	0.49775378
0.51290716	0.46860979	0.55720452
0.57110604	0.52764795	0.61456413
0.55377198	0.51276422	0.59477973
0.41105075	0.37960729	0.44249421
0.48328988	0.44293240	0.52364735
0.53440260	0.49736099	0.57144420
0.50419967	0.46912603	0.53927331
0.51429977	0.47616727	0.55243226
0.59666996	0.55754931	0.63579061
0.61970795	0.57915337	0.66026253
0.61890371	0.57776008	0.66004734
0.64245563	0.60473887	0.68017240
0.65127257	0.61323918	0.68930596
0.69882736	0.65967283	0.73798190
0.69770564	0.65877686	0.73663442
0.67739253	0.63746199	0.71732308
0.70882965	0.66982018	0.74783913
0.74385258	0.70851810	0.77918707
0.73722246	0.70010888	0.77433603
0.79918702	0.76552968	0.83284436
0.76601478	0.73174399	0.80028557
0.78134167	0.74658019	0.81610314
0.77827575	0.74270196	0.81384955
0.76248602	0.72876240	0.79620964
0.75025375	0.71516810	0.78533940
0.74785107	0.71300699	0.78269514
0.74496328	0.70562490	0.78430166
0.75217058	0.71510101	0.78924014
0.79341267	0.76033008	0.82649526
0.76717527	0.73243591	0.80191464
0.75954193	0.72411583	0.79496802
0.76586443	0.72953582	0.80219303
0.64111700	0.59995143	0.68228257
0.59515288	0.55275713	0.63754863
0.58680270	0.54391746	0.62968794
0.59564761	0.55338626	0.63790896
