# mean	lower_ci	upper_ci
0.16637902	0.13174490	0.20101313
0.37680111	0.31402958	0.43957264
0.38598965	0.32436960	0.44760969
0.38552730	0.32873448	0.44232012
0.37939107	0.33293065	0.42585150
0.47126281	0.41306518	0.52946045
0.48650230	0.42896039	0.54404421
0.46867178	0.41153216	0.52581139
0.58380061	0.51075912	0.65684210
0.86311241	0.75139907	0.97482576
1.02588504	0.89861510	1.15315498
1.05757787	0.89587615	1.21927959
1.03831102	0.85630799	1.22031406
1.09062944	0.92726255	1.25399632
1.20666643	1.06391138	1.34942147
1.43337407	1.26291079	1.60383735
1.22220492	1.06841833	1.37599150
1.29733986	1.08765267	1.50702704
1.49351310	1.20540157	1.78162463
1.57322174	1.35115108	1.79529241
1.28856545	1.12615659	1.45097431
1.21265429	1.05538526	1.36992333
1.11101883	0.98242323	1.23961442
1.30695989	1.13816381	1.47575596
1.29800039	1.13943686	1.45656392
1.43729894	1.24868401	1.62591386
1.87557381	1.64981005	2.10133757
1.81591126	1.58326731	2.04855520
1.84793621	1.55584288	2.14002955
1.99486756	1.70465909	2.28507603
2.47429944	2.22854896	2.72004992
2.65882697	2.31957213	2.99808181
2.29311515	1.99716106	2.58906924
2.12840137	1.87391963	2.38288310
2.48934711	2.16049664	2.81819758
2.57553686	2.22622764	2.92484608
2.68854067	2.28849129	3.08859005
2.04566963	1.72812397	2.36321530
2.19970534	1.90092471	2.49848598
2.10174902	1.83204141	2.37145664
2.04246162	1.70934421	2.37557903
1.30751810	1.08746787	1.52756833
1.26337543	1.01269853	1.51405233
1.00579274	0.83146732	1.18011816
0.87792331	0.74284526	1.01300137
0.89515347	0.79118488	0.99912206
1.04902662	0.90012209	1.19793116
1.05961325	0.90088303	1.21834348
1.01445002	0.89109339	1.13780664
0.91400534	0.80288497	1.02512571
1.17522977	1.03739419	1.31306535
1.15965271	1.00954060	1.30976482
1.05237773	0.91432526	1.19043020
0.84219738	0.72332518	0.96106957
0.88214608	0.78553515	0.97875701
0.89068484	0.77389401	1.00747567
0.79874538	0.68430422	0.91318655
0.76463353	0.65989923	0.86936782
0.73789086	0.63707079	0.83871093
0.69030771	0.61027944	0.77033597
0.74968042	0.64585982	0.85350103
0.91100879	0.78513505	1.03688252
0.90412029	0.77066736	1.03757322
1.10618816	0.95167310	1.26070322
0.96911325	0.84305311	1.09517339
1.18758067	1.00896106	1.36620029
1.53042223	1.27383903	1.78700542
1.40800525	1.21510087	1.60090963
1.29350293	1.15205000	1.43495587
1.30387896	1.16894001	1.43881792
1.75987430	1.54443228	1.97531631
2.03803832	1.72311576	2.35296088
1.61969260	1.38775875	1.85162646
1.69982140	1.47137049	1.92827231
2.08766159	1.73657989	2.43874329
2.50066855	2.10198381	2.89935330
2.33743477	1.97372121	2.70114834
2.11514474	1.84810953	2.38217995
2.50495963	2.16498372	2.84493554
2.70863250	2.29795938	3.11930563
2.61855388	2.23802819	2.99907956
2.21907915	1.86751248	2.57064581
2.80711140	2.44613421	3.16808859
3.42321425	2.98023436	3.86619413
2.87374695	2.43117628	3.31631762
2.26617839	1.89706050	2.63529628
2.33985548	2.02733353	2.65237743
2.96093955	2.56638483	3.35549428
2.76191717	2.35443293	3.16940141
2.21650401	1.90071461	2.53229342
2.69090925	2.35834031	3.02347819
2.93121794	2.54916233	3.31327355
2.83273585	2.39301782	3.27245388
2.00718703	1.68259678	2.33177728
2.35437646	1.97365601	2.73509690
2.75969820	2.25553105	3.26386536
