# mean	lower_ci	upper_ci
0.08153349	0.06508300	0.09798399
0.17936039	0.15372504	0.20499574
0.18387886	0.15808264	0.20967508
0.18590135	0.16038114	0.21142156
0.18269027	0.16165246	0.20372808
0.22650145	0.20004481	0.25295809
0.23222771	0.20626672	0.25818871
0.22823009	0.20106262	0.25539757
0.27540968	0.24413829	0.30668106
0.36921855	0.33322386	0.40521324
0.42729589	0.38967675	0.46491504
0.41769675	0.38345392	0.45193959
0.41420849	0.37780924	0.45060773
0.43692984	0.40274664	0.47111304
0.47727876	0.44028105	0.51427647
0.52894331	0.48932565	0.56856097
0.46937349	0.43426818	0.50447879
0.48728087	0.45142925	0.52313249
0.52325622	0.48768280	0.55882964
0.54431849	0.50694876	0.58168821
0.49028361	0.45736435	0.52320287
0.47156899	0.43400657	0.50913140
0.42827005	0.39627808	0.46026202
0.49320076	0.45368814	0.53271338
0.49521784	0.45834175	0.53209393
0.52666197	0.49145599	0.56186795
0.60196254	0.56519619	0.63872889
0.59070101	0.55263592	0.62876610
0.58394599	0.54706438	0.62082760
0.61330809	0.57605250	0.65056367
0.71441868	0.68341769	0.74541968
0.69288204	0.65383323	0.73193086
0.64969441	0.61174213	0.68764670
0.64891437	0.61418828	0.68364046
0.68013837	0.64452021	0.71575653
0.68708879	0.65006965	0.72410793
0.68496518	0.64752953	0.72240084
0.61084546	0.57058954	0.65110137
0.63937161	0.60016240	0.67858081
0.62776066	0.58820786	0.66731346
0.59862117	0.55857713	0.63866521
0.45903086	0.41697393	0.50108780
0.43530615	0.39425869	0.47635361
0.38096639	0.34156634	0.42036643
0.36022480	0.32660999	0.39383962
0.38351529	0.35061851	0.41641208
0.41697892	0.38094317	0.45301467
0.41308148	0.37554680	0.45061615
0.41645036	0.38214683	0.45075389
0.39112735	0.35739999	0.42485472
0.46140583	0.42652488	0.49628677
0.44607864	0.41031293	0.48184435
0.42617029	0.39175913	0.46058146
0.35332838	0.31859964	0.38805712
0.39051590	0.35409122	0.42694057
0.37123549	0.33526068	0.40721030
0.34591379	0.31165043	0.38017715
0.33084034	0.29551426	0.36616643
0.31341020	0.28414730	0.34267311
0.31471403	0.28426093	0.34516714
0.33091859	0.29704227	0.36479491
0.38416372	0.34856933	0.41975810
0.37365443	0.33878041	0.40852845
0.43281177	0.39449771	0.47112583
0.39882504	0.36546402	0.43218606
0.46511078	0.42967757	0.50054399
0.51467947	0.47335973	0.55599921
0.50684088	0.47303748	0.54064428
0.50440657	0.46740053	0.54141261
0.51797536	0.48235858	0.55359213
0.59249528	0.55467489	0.63031567
0.59356656	0.55484318	0.63228993
0.54944046	0.51053149	0.58834942
0.56971568	0.53116131	0.60827005
0.60286360	0.56418690	0.64154030
0.65804989	0.61894841	0.69715137
0.64366685	0.60367405	0.68365964
0.65544504	0.61751404	0.69337604
0.66891090	0.63040673	0.70741507
0.66766664	0.62730590	0.70802739
0.66885132	0.63095323	0.70674942
0.61994781	0.58084601	0.65904962
0.69914138	0.66059148	0.73769128
0.75020093	0.71287881	0.78752305
0.67393458	0.63273640	0.71513277
0.62742602	0.58837761	0.66647443
0.65637377	0.61893218	0.69381536
0.69893694	0.65927790	0.73859599
0.69320543	0.65582186	0.73058899
0.63985399	0.60312415	0.67658382
0.70712413	0.67069717	0.74355108
0.72228658	0.68539535	0.75917780
0.69786551	0.66054955	0.73518148
0.61566866	0.57602415	0.65531317
0.63353503	0.59617252	0.67089753
0.64440890	0.60399369	0.68482410
