# mean	lower_ci	upper_ci
0.48774142	-0.06945786	1.04494070
1.73385265	0.12003388	3.34767143
1.87743934	0.00910741	3.74577126
1.05382464	0.36535874	1.74229053
1.53346711	0.45314643	2.61378780
1.49325355	0.60776308	2.37874401
2.06323701	0.86044581	3.26602820
1.89586486	0.10474405	3.68698568
2.40175755	1.43879544	3.36471965
7.90802788	4.86020822	10.95584754
9.97446348	5.71481512	14.23411184
14.13413350	7.57839829	20.68986871
12.66476573	3.09093442	22.23859705
9.73255611	5.82157480	13.64353742
12.08194200	8.73570093	15.42818308
18.43672050	13.45483622	23.41860479
16.76463505	10.86997722	22.65929289
17.78484072	5.90247624	29.66720519
19.71642678	11.24273584	28.19011772
21.27002435	14.34540246	28.19464625
13.69109189	9.37297243	18.00921135
12.93117405	8.74090489	17.12144320
14.73886446	10.29317515	19.18455376
17.09877600	11.18730881	23.01024319
16.53042792	11.41870324	21.64215260
19.74312123	10.25470402	29.23153843
29.11955913	22.24619042	35.99292784
29.35820879	20.95725545	37.75916214
31.73691216	19.76821501	43.70560931
33.30434202	23.61037832	42.99830572
46.09460346	35.21582515	56.97338178
50.80976034	39.21051018	62.40901051
38.91510222	30.42337886	47.40682558
39.32055831	28.33119385	50.30992277
46.15977546	34.87876505	57.44078586
45.51522950	34.69070514	56.33975386
56.13962794	39.27689042	73.00236545
38.64481568	24.63142590	52.65820545
37.31661332	27.92454385	46.70868280
34.96413216	26.15355625	43.77470806
36.25113001	25.12693008	47.37532994
16.43283132	10.72692263	22.13874001
20.01494448	10.54304974	29.48683922
12.97805786	7.99959555	17.95652017
8.09683457	4.63479006	11.55887908
8.76044813	4.93518447	12.58571179
11.33957769	6.81836777	15.86078762
11.74190372	7.47307660	16.01073084
11.01789465	5.59858680	16.43720249
8.04653810	4.90196555	11.19111065
17.15974992	8.52366143	25.79583841
14.86035635	9.40269197	20.31802072
11.07866264	6.64501148	15.51231380
7.42096944	4.33701456	10.50492431
6.04390070	4.12843149	7.95936991
9.02682629	6.10413018	11.94952241
6.51766793	3.61648716	9.41884871
7.52960552	3.24141802	11.81779302
7.71552242	4.59493152	10.83611333
3.71945872	2.07300086	5.36591659
6.19302310	3.18864850	9.19739771
8.68676233	4.00197742	13.37154724
7.98052552	4.58099629	11.38005475
12.86693137	8.15939378	17.57446895
10.41471071	5.98288875	14.84653267
17.45285746	7.19106210	27.71465282
22.49841439	14.69776635	30.29906242
19.66148403	12.67110225	26.65186582
15.51569870	11.05361567	19.97778173
13.96022287	10.21589269	17.70455305
29.72293763	20.25782602	39.18804924
36.08792225	26.00067632	46.17516819
23.31225160	15.57968065	31.04482254
28.49563181	18.57182442	38.41943919
42.67147884	25.15734772	60.18560995
47.83097684	34.13170596	61.53024771
40.30832637	29.65232339	50.96432935
34.38624288	25.97654468	42.79594108
51.47518261	37.59451805	65.35584718
51.46106195	39.47221676	63.44990714
50.12185636	37.90471616	62.33899657
39.57798208	28.33307443	50.82288972
58.64809645	45.68773393	71.60845898
69.64235286	55.30038363	83.98432209
61.46429377	45.78898612	77.13960141
42.98475046	30.76446305	55.20503788
42.57972548	30.46476309	54.69468786
60.97378797	48.35143262	73.59614332
52.90286077	39.62851265	66.17720889
36.63245852	27.88425692	45.38066013
50.56411954	39.88436489	61.24387419
55.49717118	43.19189882	67.80244355
57.14795628	41.20369328	73.09221927
32.47827377	21.64183413	43.31471341
50.02460364	34.72341755	65.32578973
58.03451240	41.22089174	74.84813307
