# mean	lower_ci	upper_ci
95.50781250	78.69569410	112.31993090
116.87779018	103.62720442	130.12837594
128.36216518	115.11631410	141.60801626
125.39481027	112.58138704	138.20823350
116.33091518	103.03518238	129.62664797
111.59179688	100.81762909	122.36596466
111.07979911	100.09541083	122.06418738
112.59207589	101.04006134	124.14409044
97.02148438	88.03412533	106.00884342
85.05135490	77.91886332	92.18384647
74.11428415	68.01856589	80.21000242
76.83322537	70.89569696	82.77075377
76.50834517	71.27807181	81.73861853
74.07154369	67.71813146	80.42495592
65.74836440	60.01595264	71.48077616
67.72104848	61.52283147	73.91926549
70.24112606	64.72749343	75.75475870
63.06753449	59.10716786	67.02790112
59.49066702	55.82790388	63.15343016
57.44792948	53.56595030	61.32990867
64.07718746	59.67510214	68.47927278
71.58307513	65.68308123	77.48306902
74.84859867	68.45638103	81.24081630
69.94502223	64.67786799	75.21217648
68.17596466	62.91234828	73.43958104
55.78155243	52.52907200	59.03403287
52.80538417	49.25403410	56.35673423
54.53345590	49.97441113	59.09250066
54.60118983	51.18092941	58.02145024
51.58319327	48.35784078	54.80854576
43.05769497	40.49033059	45.62505935
45.37317081	43.04216341	47.70417821
50.30326263	47.28166142	53.32486383
47.00800176	44.54466206	49.47134147
44.79701902	41.98251511	47.61152294
44.65970804	41.89717289	47.42224319
49.17766947	46.34559817	52.00974077
54.67590027	49.91749561	59.43430494
50.27721209	46.23440721	54.32001696
54.21718074	49.86212460	58.57223688
59.77459552	54.65239548	64.89679556
78.91482541	70.70290515	87.12674567
80.78030999	72.90777181	88.65284817
95.70895901	86.65984694	104.75807108
88.26197240	81.21233726	95.31160755
81.25143411	73.60871223	88.89415600
75.49374941	68.98393852	82.00356031
78.11548803	71.28139836	84.94957770
76.63673241	71.30568389	81.96778093
74.69070968	69.28069201	80.10072736
71.41685463	65.24629301	77.58741625
68.64814873	63.95870622	73.33759123
82.17713927	74.43851390	89.91576463
90.34788454	81.72231251	98.97345657
85.90431053	77.85328342	93.95533764
90.95284598	83.53438887	98.37130310
93.24454842	85.40507245	101.08402439
88.89508929	80.65602334	97.13415524
99.12147423	91.52834695	106.71460151
94.79352679	87.16127657	102.42577700
96.73143263	88.34218491	105.12068035
91.21715199	82.79145545	99.64284853
80.54795302	73.25908499	87.83682106
81.12054937	73.97104492	88.27005382
82.27124438	75.69430341	88.84818535
67.51047780	61.81530877	73.20564683
66.54426628	61.45791644	71.63061612
69.08295806	63.91071314	74.25520298
69.64524245	63.96881163	75.32167328
60.27546672	56.23665821	64.31427523
52.08580138	48.09791219	56.07369056
55.06886180	51.25649141	58.88123219
59.69576322	55.18014606	64.21138039
56.59341635	52.31060843	60.87622427
50.99769658	47.25050588	54.74488729
46.64577660	43.68931187	49.60224132
54.13474164	50.56826371	57.70121956
48.38779836	45.99066463	50.78493210
45.85691616	42.93046538	48.78336694
47.01787556	43.97969387	50.05605725
49.42025547	46.60590933	52.23460161
50.32500502	46.23143004	54.41857999
40.94193024	38.47106411	43.41279636
42.96465160	40.36484043	45.56446276
50.49911658	47.65413313	53.34410003
51.53608742	48.39632531	54.67584953
46.21518037	43.23018222	49.20017851
45.04840461	41.66914077	48.42766844
51.37961791	47.96753949	54.79169633
52.57651836	47.50891951	57.64411722
43.84624903	40.36951610	47.32298196
44.66161638	41.94691584	47.37631692
49.88440558	46.80930709	52.95950406
56.74327769	52.30422705	61.18232832
47.31632782	43.29662064	51.33603501
52.65833703	48.71780205	56.59887201
