# mean	lower_ci	upper_ci
0.01462868	0.01209507	0.01716229
0.01910373	0.01631827	0.02188919
0.02196269	0.01883542	0.02508997
0.02232845	0.01932094	0.02533596
0.02145906	0.01865690	0.02426121
0.02712985	0.02357098	0.03068872
0.02556129	0.02229464	0.02882795
0.02697882	0.02343185	0.03052580
0.04303875	0.03819270	0.04788481
0.04374701	0.03897372	0.04852030
0.05229455	0.04761979	0.05696930
0.04673884	0.04210784	0.05136983
0.05115879	0.04671633	0.05560126
0.05657927	0.05190930	0.06124924
0.05798462	0.05311402	0.06285522
0.05749150	0.05177734	0.06320565
0.05990093	0.05377332	0.06602854
0.05910971	0.05296429	0.06525514
0.06129616	0.05528217	0.06731016
0.05849414	0.05265727	0.06433100
0.05745556	0.05269002	0.06222111
0.05357579	0.04855411	0.05859747
0.05241411	0.04769075	0.05713746
0.05469274	0.04930423	0.06008125
0.06677508	0.05967351	0.07387665
0.07483508	0.06777170	0.08189845
0.06715568	0.06232950	0.07198186
0.07597972	0.06897829	0.08298116
0.08265125	0.07635064	0.08895186
0.08454558	0.07764467	0.09144649
0.07878333	0.07324903	0.08431763
0.08189780	0.07482111	0.08897450
0.08245341	0.07620505	0.08870177
0.08508303	0.07861470	0.09155136
0.08006222	0.07408096	0.08604348
0.08078642	0.07448534	0.08708750
0.07495250	0.06791688	0.08198813
0.06190238	0.05659184	0.06721293
0.06687088	0.06100913	0.07273263
0.06127892	0.05623801	0.06631984
0.05822659	0.05252901	0.06392417
0.03994306	0.03515887	0.04472724
0.04356450	0.03856493	0.04856408
0.03647815	0.03228545	0.04067085
0.04275067	0.03850038	0.04700096
0.04895442	0.04465150	0.05325733
0.04345462	0.03931888	0.04759036
0.05491132	0.04930808	0.06051456
0.05158335	0.04687789	0.05628881
0.05388767	0.04831913	0.05945622
0.04916437	0.04489281	0.05343592
0.05375024	0.04863576	0.05886472
0.04668416	0.04152918	0.05183914
0.04422355	0.03942355	0.04902355
0.04240859	0.03792418	0.04689301
0.04035792	0.03601213	0.04470370
0.04185281	0.03768903	0.04601660
0.03561176	0.03184973	0.03937379
0.03638768	0.03226997	0.04050540
0.03655344	0.03255453	0.04055235
0.04230480	0.03780056	0.04680904
0.04992931	0.04533008	0.05452854
0.04629449	0.04210883	0.05048015
0.04264955	0.03824015	0.04705894
0.05362713	0.04900441	0.05824985
0.05399537	0.04924184	0.05874891
0.05544943	0.05021258	0.06068627
0.05869735	0.05317353	0.06422116
0.06182272	0.05660434	0.06704111
0.07035905	0.06457121	0.07614689
0.07195620	0.06562572	0.07828669
0.06766234	0.06223647	0.07308820
0.07201996	0.06534708	0.07869284
0.07199281	0.06615548	0.07783014
0.07848600	0.07202974	0.08494227
0.07917046	0.07196424	0.08637667
0.07453504	0.06828251	0.08078757
0.08274864	0.07660185	0.08889543
0.08116282	0.07451172	0.08781393
0.07863230	0.07227574	0.08498886
0.08016310	0.07389689	0.08642931
0.08296913	0.07683492	0.08910333
0.08971475	0.08272401	0.09670549
0.08524582	0.07813398	0.09235766
0.08829594	0.08157905	0.09501282
0.07896813	0.07231858	0.08561768
0.08469169	0.07671402	0.09266936
0.07911406	0.07233638	0.08589174
0.08202899	0.07468264	0.08937535
0.08060575	0.07348273	0.08772877
0.07458393	0.06918867	0.07997919
0.08433751	0.07749928	0.09117573
0.07432509	0.06699749	0.08165268
0.06333439	0.05695833	0.06971045
0.06201042	0.05593691	0.06808393
0.06642965	0.06056257	0.07229673
