# mean	lower_ci	upper_ci
0.00036281	-0.00015737	0.00088298
0.00041000	-0.00000313	0.00082313
0.00067413	0.00015413	0.00119414
0.00046293	0.00001617	0.00090968
0.00026995	0.00002943	0.00051048
0.00119380	0.00031100	0.00207659
0.00060215	0.00003470	0.00116960
0.00111314	0.00034647	0.00187982
0.00218178	0.00104408	0.00331949
0.00198974	0.00107403	0.00290545
0.00229158	0.00110906	0.00347409
0.00273393	0.00165240	0.00381545
0.00292428	0.00191634	0.00393221
0.00359148	0.00243620	0.00474677
0.00224224	0.00138640	0.00309808
0.00337312	0.00170694	0.00503929
0.00410625	0.00264205	0.00557045
0.00286997	0.00175770	0.00398224
0.00296944	0.00161888	0.00432000
0.00309153	0.00205939	0.00412366
0.00319030	0.00198378	0.00439682
0.00239378	0.00122421	0.00356334
0.00219720	0.00132124	0.00307316
0.00305031	0.00177757	0.00432306
0.00482979	0.00242453	0.00723505
0.00602688	0.00363262	0.00842115
0.00362152	0.00214991	0.00509313
0.00627118	0.00375531	0.00878704
0.00544458	0.00354751	0.00734164
0.00623161	0.00395781	0.00850541
0.00540090	0.00346174	0.00734006
0.00678405	0.00479257	0.00877554
0.00566813	0.00418069	0.00715558
0.00597307	0.00416226	0.00778387
0.00522573	0.00378908	0.00666239
0.00664995	0.00469832	0.00860158
0.00611733	0.00417737	0.00805729
0.00297368	0.00191076	0.00403660
0.00405551	0.00266857	0.00544245
0.00318359	0.00202733	0.00433985
0.00332288	0.00200825	0.00463751
0.00270543	0.00099082	0.00442003
0.00211337	0.00099152	0.00323523
0.00152495	0.00061565	0.00243425
0.00116265	0.00047811	0.00184719
0.00274091	0.00173126	0.00375057
0.00136960	0.00078420	0.00195499
0.00342140	0.00185442	0.00498837
0.00194630	0.00083170	0.00306090
0.00319145	0.00174717	0.00463573
0.00251972	0.00144711	0.00359233
0.00332958	0.00181678	0.00484238
0.00267358	0.00052614	0.00482102
0.00196740	0.00108758	0.00284722
0.00155788	0.00077081	0.00234494
0.00111629	0.00050617	0.00172642
0.00241864	0.00134902	0.00348827
0.00099777	0.00037221	0.00162332
0.00169513	0.00052285	0.00286741
0.00129427	0.00019014	0.00239839
0.00221802	0.00118215	0.00325389
0.00211899	0.00109889	0.00313909
0.00206070	0.00125811	0.00286328
0.00147988	0.00078680	0.00217297
0.00261632	0.00165649	0.00357615
0.00258794	0.00138217	0.00379371
0.00418383	0.00232811	0.00603955
0.00356443	0.00211033	0.00501853
0.00393222	0.00257039	0.00529406
0.00565273	0.00366262	0.00764285
0.00479641	0.00311593	0.00647690
0.00430246	0.00277309	0.00583184
0.00537763	0.00329419	0.00746107
0.00504716	0.00323139	0.00686292
0.00547841	0.00368278	0.00727404
0.00708499	0.00468140	0.00948859
0.00393700	0.00267426	0.00519974
0.00601527	0.00420879	0.00782174
0.00515385	0.00357615	0.00673154
0.00586545	0.00417078	0.00756012
0.00555444	0.00398972	0.00711915
0.00645191	0.00458983	0.00831399
0.00764812	0.00560033	0.00969591
0.00799230	0.00564701	0.01033760
0.00767733	0.00568274	0.00967193
0.00581040	0.00396671	0.00765409
0.00686723	0.00456831	0.00916615
0.00677524	0.00456993	0.00898054
0.00767859	0.00479684	0.01056034
0.00531488	0.00346731	0.00716244
0.00499036	0.00343751	0.00654322
0.00670613	0.00454878	0.00886348
0.00648555	0.00307992	0.00989118
0.00340900	0.00178340	0.00503461
0.00333018	0.00206605	0.00459430
0.00306522	0.00181903	0.00431141
