# mean	lower_ci	upper_ci
2.68097924	2.25287817	3.10908031
2.67515741	2.37174961	2.97856522
2.78572262	2.50314644	3.06829881
3.12006867	2.66573351	3.57440382
2.83911791	2.54119056	3.13704525
3.20584462	2.78189170	3.62979754
2.96543138	2.57525853	3.35560423
2.95926577	2.64690672	3.27162483
3.18501574	2.90032848	3.46970299
2.79956231	2.56972728	3.02939735
3.36496428	3.11806088	3.61186769
3.03790420	2.81722037	3.25858802
3.09874435	2.88989133	3.30759736
3.24250012	3.02433278	3.46066745
2.97991760	2.78993570	3.16989950
3.18473214	2.92922443	3.44023985
3.15549063	2.92413750	3.38684376
3.00054723	2.78556186	3.21553260
2.99251923	2.79888668	3.18615179
2.95562680	2.73185164	3.17940195
3.13321953	2.91004798	3.35639108
3.09091880	2.85474841	3.32708920
3.17310023	2.97247548	3.37372498
3.23603777	2.98881418	3.48326136
3.16842393	2.91953282	3.41731504
3.17784338	2.96925292	3.38643383
3.14937927	2.95645757	3.34230097
3.37288266	3.12946664	3.61629869
3.30507581	3.13403264	3.47611898
3.20697742	3.00147688	3.41247795
3.14648539	2.96911821	3.32385257
3.35370447	3.13229998	3.57510895
3.23428281	3.06173951	3.40682611
3.25732570	3.07614679	3.43850461
3.23478406	3.04565823	3.42390990
3.20561695	3.01250117	3.39873272
3.10453460	2.90838685	3.30068235
2.95460160	2.75669614	3.15250706
3.15808074	2.94764364	3.36851784
3.00082216	2.82062496	3.18101936
3.32871211	3.06192063	3.59550359
2.92617257	2.68681387	3.16553128
3.11852218	2.84910962	3.38793473
2.90343331	2.66718397	3.13968265
3.02209205	2.80319931	3.24098479
3.20069100	2.95901906	3.44236295
2.87858668	2.65965184	3.09752151
3.35528625	3.10414712	3.60642537
3.28054502	3.03532497	3.52576507
3.22199105	2.97571329	3.46826881
3.05139229	2.84408548	3.25869909
3.17802748	2.95665911	3.39939584
3.10928550	2.80134105	3.41722995
3.24623383	2.96661951	3.52584814
2.91060922	2.70999125	3.11122720
2.94792914	2.71386087	3.18199740
3.27987692	3.01685318	3.54290066
2.89648700	2.62085310	3.17212090
3.17115488	2.80834260	3.53396717
3.06630518	2.77728044	3.35532993
3.31931773	2.98098433	3.65765113
3.34841902	3.11281809	3.58401995
3.16548921	2.90285965	3.42811876
3.00392701	2.71471873	3.29313530
3.26551659	3.05054464	3.48048854
3.04521737	2.83673627	3.25369847
3.10820521	2.88321679	3.33319362
3.35431826	3.12296744	3.58566907
3.13262587	2.93415724	3.33109450
3.35633257	3.12315788	3.58950727
3.25647834	3.04205385	3.47090283
3.14316130	2.95177195	3.33455065
3.11017297	2.90212239	3.31822356
3.18430408	3.00347887	3.36512929
3.23227741	3.02984903	3.43470579
3.35451260	3.13650493	3.57252027
3.02562356	2.85301218	3.19823494
3.23758835	3.06213070	3.41304601
3.21228368	3.01810677	3.40646060
3.23123890	3.02334532	3.43913249
3.04073032	2.87390217	3.20755847
3.40823310	3.18511312	3.63135308
3.25126091	3.08003195	3.42248986
3.18439050	2.99005891	3.37872209
3.48252414	3.27487760	3.69017068
3.05899673	2.87832814	3.23966532
3.24044160	3.04114103	3.43974217
3.15895810	2.98653279	3.33138341
3.24091793	3.01739887	3.46443699
2.95840147	2.79604239	3.12076056
3.03805769	2.86374947	3.21236592
3.14443136	2.95072797	3.33813474
3.32160275	3.05654165	3.58666386
3.03427621	2.82865631	3.23989612
3.10396723	2.90202581	3.30590866
3.27763899	3.06873855	3.48653944
