# mean	lower_ci	upper_ci
110.07254464	94.42343275	125.72165654
123.63978795	111.21247310	136.06710279
123.78069196	111.46650352	136.09488041
120.48270089	108.17782053	132.78758126
120.70033482	108.11799408	133.28267557
105.80915179	95.25571416	116.36258942
112.93108259	101.57449944	124.28766574
107.97293527	96.58282122	119.36304931
85.55655282	77.43992134	93.67318431
77.33415022	70.80667325	83.86162720
69.97691761	64.93763343	75.01620179
75.96708955	69.60802980	82.32614930
68.66696780	64.00032448	73.33361111
64.14036159	59.62725458	68.65346860
60.13055935	54.92437289	65.33674582
64.91401665	59.15409270	70.67394060
60.72703664	55.94400753	65.51006574
60.28908534	55.44832850	65.12984218
55.67684211	52.41409890	58.93958533
60.21745344	54.80056878	65.63433811
60.15590854	56.47772066	63.83409643
65.85186786	61.05837964	70.64535608
71.97967072	66.17000902	77.78933242
69.96263014	63.85121748	76.07404281
55.27319016	50.77890126	59.76747906
48.19493007	45.13284537	51.25701477
51.17776066	47.26676557	55.08875575
49.74104308	46.36625556	53.11583060
42.64327971	40.23432852	45.05223089
41.31263206	39.15551539	43.46974872
44.20551702	41.32813315	47.08290090
46.56673290	42.56941355	50.56405225
44.03513586	40.83310728	47.23716444
42.44056487	39.53886433	45.34226542
43.88200860	41.60153248	46.16248471
43.12905951	40.80502067	45.45309836
48.41268968	44.43900551	52.38637384
55.22638781	50.34814112	60.10463451
53.82985322	50.03287632	57.62683013
55.97088602	52.19642207	59.74534997
68.09437145	62.00254218	74.18620072
85.00735593	76.72944011	93.28527174
84.07593383	75.96868284	92.18318482
89.96385450	81.94574691	97.98196210
81.75375406	75.17299674	88.33451138
73.07992788	66.78704678	79.37280898
75.44324816	69.94212486	80.94437146
70.57984984	65.25949309	75.90020658
72.53022368	66.74743552	78.31301184
68.52724424	63.74164573	73.31284275
68.25044584	62.50166149	73.99923020
67.50215748	62.75202825	72.25228672
81.93236451	74.25967594	89.60505308
85.97419182	79.53364810	92.41473554
84.90196327	77.31783683	92.48608971
85.44858462	77.76547629	93.13169295
87.38877334	79.81936326	94.95818341
92.71361451	83.80907424	101.61815478
91.06749696	84.44159202	97.69340189
91.89617999	83.95842487	99.83393511
90.65176035	81.68172581	99.62179489
78.74170751	72.01640223	85.46701279
75.62567315	68.88794547	82.36340084
75.95571421	69.24709409	82.66433433
70.94237306	64.86426040	77.02048572
64.29867984	59.52454856	69.07281111
65.33468485	60.30094294	70.36842675
65.12266686	60.60466126	69.64067245
57.98601789	53.29176842	62.68026736
53.27224820	49.47980209	57.06469432
51.18996058	47.94986124	54.43005993
51.92147803	48.42154324	55.42141283
48.22886492	45.30857256	51.14915729
50.11347503	46.82189357	53.40505649
46.84433551	43.30471296	50.38395805
48.36779087	45.05353163	51.68205012
48.13736585	43.35220255	52.92252915
42.90405195	40.42479778	45.38330611
44.04349643	41.13473105	46.95226181
45.74754433	42.67909646	48.81599220
43.21536948	39.55567734	46.87506162
45.17703107	42.03156934	48.32249281
40.08955270	37.84985477	42.32925063
41.92421548	39.29437812	44.55405284
43.49183947	40.87735439	46.10632454
43.95085321	40.77757380	47.12413262
45.54388549	41.89641543	49.19135554
45.54649014	42.47901744	48.61396284
44.04593826	41.35294084	46.73893569
42.37323926	39.53018656	45.21629196
44.43856745	41.88362390	46.99351099
41.27349321	38.88716987	43.65981654
51.24630790	47.83464344	54.65797237
56.89786847	52.08240118	61.71333576
60.89061293	55.92404269	65.85718317
55.70092505	51.81298833	59.58886177
