# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.88848812	0.75744849	1.01952775
0.08358087	0.04774880	0.11941294
0.00024095	-0.00023131	0.00071322
0.00000000	0.00000000	0.00000000
1.87755230	1.69779916	2.05730543
0.51448034	0.39707450	0.63188619
0.12601284	0.06010777	0.19191791
0.00710178	-0.00301051	0.01721407
3.34505491	3.05275408	3.63735574
1.84921399	1.63991315	2.05851483
0.97102842	0.79917838	1.14287846
0.37268433	0.25141719	0.49395148
3.43312550	3.10145835	3.76479266
2.13481844	1.87934975	2.39028713
1.08244596	0.88275239	1.28213953
0.51955593	0.36371863	0.67539323
4.02328004	3.63740418	4.40915591
2.72591127	2.43304279	3.01877974
1.60544201	1.35001273	1.86087128
1.03666946	0.80606908	1.26726984
3.35645130	3.07074464	3.64215796
1.07321926	0.87502095	1.27141758
0.12673769	0.04977882	0.20369655
0.00766703	-0.00562113	0.02095519
4.00894850	3.70680108	4.31109591
1.63304055	1.40261027	1.86347084
0.25953009	0.18248515	0.33657503
0.00588713	-0.00533851	0.01711277
3.75740614	3.42055575	4.09425652
1.56190172	1.32885113	1.79495231
0.28399495	0.17348210	0.39450780
0.00854497	-0.00607878	0.02316872
4.29210043	3.94764120	4.63655965
1.97592876	1.69331855	2.25853897
0.51213239	0.34178711	0.68247768
0.07481785	0.01134957	0.13828614
3.79104682	3.46607751	4.11601613
1.61690231	1.34109518	1.89270943
0.36451943	0.22870814	0.50033072
0.03701277	0.00874773	0.06527780
2.51309741	2.24425196	2.78194285
0.59154729	0.43746739	0.74562719
0.04583995	-0.00880076	0.10048066
0.00772147	-0.00741261	0.02285555
3.00979710	2.70312633	3.31646787
0.83531210	0.65104843	1.01957578
0.08713476	0.02778325	0.14648628
0.00448248	-0.00175348	0.01071843
2.58059611	2.33676445	2.82442776
0.66496914	0.50243148	0.82750679
0.04783027	0.01040975	0.08525080
0.00000000	0.00000000	0.00000000
3.42201572	3.08426376	3.75976767
1.97089718	1.69289364	2.24890072
0.96062822	0.76590438	1.15535206
0.45602920	0.30407098	0.60798742
2.65048903	2.39542068	2.90555738
1.48064556	1.26984214	1.69144898
0.57370421	0.43634424	0.71106417
0.18056596	0.09419951	0.26693241
2.56138877	2.31715628	2.80562126
0.50694741	0.39163711	0.62225771
0.00643251	0.00053995	0.01232507
0.00000000	0.00000000	0.00000000
3.04459067	2.78726656	3.30191478
0.80640262	0.64927755	0.96352769
0.02518109	0.00875667	0.04160552
0.00000000	0.00000000	0.00000000
3.56288092	3.29066385	3.83509799
1.19438545	1.01732745	1.37144344
0.11703705	0.05810362	0.17597048
0.00000000	0.00000000	0.00000000
3.82937820	3.48265544	4.17610095
1.50370897	1.26235019	1.74506775
0.24148204	0.14237043	0.34059365
0.02106286	-0.00102325	0.04314897
4.15497268	3.81701088	4.49293448
1.75286889	1.50133290	2.00440488
0.38051110	0.26427031	0.49675188
0.01537020	-0.00907537	0.03981577
4.00376439	3.61471739	4.39281138
1.76920167	1.48713115	2.05127219
0.54104551	0.34517939	0.73691163
0.13008573	0.02665752	0.23351394
3.55213433	3.20801357	3.89625509
1.46463763	1.20011710	1.72915815
0.35531648	0.22934600	0.48128695
0.03723347	0.00150715	0.07295979
4.14575957	3.80945004	4.48206910
1.90292445	1.61517645	2.19067246
0.45587355	0.30278795	0.60895915
0.04272770	0.00025789	0.08519752
