# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
362.98021577	311.11263514	414.84779640
63.90494387	45.89870603	81.91118170
2.12320559	-0.49801475	4.74442594
0.00000000	0.00000000	0.00000000
731.23628322	649.01881051	813.45375592
247.54387421	201.76938905	293.31835938
58.77938838	35.19806052	82.36071624
7.15752940	1.45742951	12.85762930
1442.91408919	1301.45926386	1584.36891452
672.18138909	597.80824460	746.55453357
369.25777448	316.34231638	422.17323259
194.41949579	136.31010680	252.52888477
1459.42527128	1302.20688820	1616.64365436
743.77290802	660.55955120	826.98626483
413.55688334	345.09487288	482.01889380
274.09714275	197.66860965	350.52567586
1627.63294665	1446.85295122	1808.41294208
953.05322788	846.29483695	1059.81161882
601.87634171	516.59165876	687.16102467
488.73755478	387.20253880	590.27257076
832.41789889	762.34947810	902.48631967
355.16821055	303.73526026	406.60116084
98.36791624	75.19656382	121.53926866
9.18135748	1.31101168	17.05170328
1162.45771336	1061.23958714	1263.67583958
433.49520576	390.86675118	476.12366033
143.08017964	120.27400472	165.88635456
19.49757629	10.09149089	28.90366169
1128.49975642	1033.13299391	1223.86651893
457.94564323	401.12480245	514.76648401
139.29589233	114.52643955	164.06534511
24.58698858	12.79705360	36.37692355
1222.29989025	1117.52293793	1327.07684257
520.62877982	457.65635226	583.60120739
219.29807979	179.04602147	259.55013812
56.59788133	33.59785634	79.59790632
1165.45943054	1039.86754169	1291.05131940
464.50465129	409.76667031	519.24263226
167.31315304	132.36684471	202.25946137
35.99865608	19.55235382	52.44495834
810.65065613	710.42643713	910.87487514
250.23250207	215.77396155	284.69104259
50.69537276	29.17426725	72.21647828
4.32201213	-2.71519076	11.35921502
847.95219038	755.48382684	940.42055392
293.95604338	257.61348170	330.29860506
67.74311887	49.57344217	85.91279557
5.57614392	0.75710188	10.39518596
801.41739815	725.67880597	877.15599034
244.03891335	211.44517278	276.63265392
53.46973667	37.19279063	69.74668271
3.68936947	-0.14980720	7.52854614
1441.62253783	1285.83740933	1597.40766634
769.19774398	665.42344552	872.97204244
404.57425468	323.32682773	485.82168163
250.20859375	175.73716349	324.68002401
1061.07069548	943.06694448	1179.07444649
550.52855311	484.84262121	616.21448501
268.42380940	215.79154183	321.05607696
100.10546464	62.04669771	138.16423157
724.72448771	652.25473612	797.19423931
211.48177370	185.89441554	237.06913187
31.66291237	21.45955944	41.86626531
0.37052198	-0.35570110	1.09674505
890.67868183	805.17301045	976.18435322
283.01756798	250.94044125	315.09469470
59.49733081	43.30614845	75.68851316
0.21908905	-0.10766670	0.54584480
998.97758709	926.09470585	1071.86046834
346.88692906	312.10877869	381.66507942
98.59225223	77.24564677	119.93885768
5.62929433	1.16003029	10.09855837
1117.68797923	1023.06049988	1212.31545857
408.78566383	364.09840600	453.47292166
141.98872291	113.44182487	170.53562095
23.89929607	9.33103862	38.46755352
1222.67167307	1107.74831437	1337.59503177
460.02448820	410.24072702	509.80824938
173.85460199	139.83612009	207.87308390
34.50444473	17.74550906	51.26338040
1222.44370028	1109.96703948	1334.92036108
487.50606314	430.58687242	544.42525385
202.63201107	159.80130950	245.46271264
71.02973023	25.64263648	116.41682397
1120.08179510	1016.13715573	1224.02643448
430.45444990	374.74569517	486.16320463
164.40432417	126.00815057	202.80049777
35.20550654	17.92198387	52.48902920
1306.25841322	1187.29535117	1425.22147527
495.36571312	440.21079661	550.52062963
219.79724708	165.46407348	274.13042068
39.30790679	23.66266853	54.95314505
