# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
217.93232094	177.81873535	258.04590652
19.75206510	11.15519164	28.34893856
0.05421444	-0.05204587	0.16047476
0.00000000	0.00000000	0.00000000
540.94826246	470.52881077	611.36771415
137.13637529	101.17771379	173.09503679
27.54933316	12.52433946	42.57432687
1.23211062	-0.38586013	2.85008137
1197.63180267	1072.39779157	1322.86581377
515.59311447	451.33976618	579.84646277
242.32119411	199.40539626	285.23699196
100.90238459	60.86472441	140.94004478
1220.56612793	1080.24719387	1360.88506199
574.97618076	500.42627003	649.52609149
281.47747356	223.86006496	339.09488216
154.53271939	99.91444764	209.15099114
1392.33433768	1229.62428786	1555.04438749
773.22871629	677.20784080	869.24959177
433.67337641	358.22955735	509.11719548
306.78427592	227.85684123	385.71171061
569.48408995	510.03339240	628.93478749
162.42926051	125.99820822	198.86031280
16.76908631	7.13409355	26.40407908
0.96899520	-0.56740193	2.50539233
844.72244851	759.30619847	930.13869854
236.86019660	201.10759180	272.61280139
33.56941348	23.39257815	43.74624881
0.88306935	-0.80077672	2.56691541
792.69790491	712.98083956	872.41497026
247.19136864	201.18462023	293.19811705
35.07712541	22.55772930	47.59652153
1.28174498	-0.91181731	3.47530726
889.81130030	798.05250924	981.57009136
306.39747302	254.33055522	358.46439082
77.82323915	50.73251632	104.91396199
11.68072297	2.00644838	21.35499756
829.22852245	720.17562393	938.28142097
246.28062269	202.58889346	289.97235191
55.76596984	34.22427986	77.30765981
5.15626723	0.77391354	9.53862093
504.76957808	420.67397403	588.86518213
84.66771082	62.71689068	106.61853096
8.78358775	-3.28544095	20.85261644
1.15822055	-1.11189173	3.42833284
561.39784471	485.26849596	637.52719346
117.58384250	91.69799008	143.46969492
11.32281680	3.93106380	18.71456980
0.67237165	-0.26302130	1.60776460
509.50206223	447.05317692	571.95094755
87.50835658	65.55928821	109.45742496
6.44621722	1.82592401	11.06651044
0.00000000	0.00000000	0.00000000
1186.96288779	1046.43870988	1327.48706571
585.21671991	493.01224529	677.42119453
278.43537320	210.96284591	345.90790050
139.17361701	85.63141193	192.71582209
849.91296553	747.51117059	952.31476047
392.74921429	336.79647707	448.70195151
155.47551073	114.78047947	196.17054200
43.64009239	19.50675136	67.77343342
457.89132531	399.96171681	515.82093380
64.30089010	49.69001239	78.91176782
0.96487701	0.08099324	1.84876078
0.00000000	0.00000000	0.00000000
585.62660464	518.38779685	652.86541242
108.06853344	85.16056356	130.97650331
3.22145114	1.17116416	5.27173812
0.00000000	0.00000000	0.00000000
693.29796361	633.85062239	752.74530483
162.45291583	136.12691477	188.77891690
16.64025401	8.48472589	24.79578214
0.00000000	0.00000000	0.00000000
790.09722245	708.36031307	871.83413184
210.89542920	174.37201083	247.41884757
36.02753369	21.26635928	50.78870809
3.66863273	-0.55903532	7.89630077
882.60148336	783.92696161	981.27600510
258.63041625	218.40362038	298.85721211
57.72466062	38.66298015	76.78634108
3.15118421	-2.31548527	8.61785369
884.92277316	786.27989548	983.56565083
275.07839988	225.55214666	324.60465310
81.39701660	50.84811040	111.94592281
28.74718170	0.91832790	56.57603551
782.10729323	693.38363284	870.83095363
233.93942667	189.63669025	278.24216309
58.61222425	35.93778545	81.28666304
6.18705344	-0.39169735	12.76580423
943.43152674	843.02307787	1043.83997560
286.67732304	240.67804209	332.67660400
80.02312840	41.96133025	118.08492654
6.41919005	0.20712332	12.63125679
