# s=55 S=60 h=0.0068 p=4.0000 c=2.5000
# time_s	level	cum_oos	holding_eur	shortage_eur	order_eur
0.000	60	0	0.0000	0.0000	0.0000
718.183	59	0	0.0068	0.0000	0.0000
718.183	58	0	0.0068	0.0000	0.0000
718.183	57	0	0.0068	0.0000	0.0000
970.789	56	0	0.0090	0.0000	0.0000
970.789	55	0	0.0090	0.0000	0.0000
970.789	54	0	0.0090	0.0000	0.0000
970.789	53	0	0.0090	0.0000	0.0000
970.789	52	0	0.0090	0.0000	0.0000
1102.753	51	0	0.0101	0.0000	0.0000
1517.097	50	0	0.0135	0.0000	0.0000
1735.349	49	0	0.0152	0.0000	0.0000
1801.409	48	0	0.0157	0.0000	2.5000
1801.409	47	0	0.0157	0.0000	2.5000
1895.430	46	0	0.0164	0.0000	2.5000
1966.118	47	0	0.0169	0.0000	2.5000
1977.186	48	0	0.0170	0.0000	2.5000
1988.254	49	0	0.0171	0.0000	2.5000
1999.322	50	0	0.0171	0.0000	2.5000
2010.389	51	0	0.0172	0.0000	2.5000
2021.457	52	0	0.0173	0.0000	2.5000
2032.525	53	0	0.0174	0.0000	2.5000
2043.593	54	0	0.0175	0.0000	2.5000
2054.661	55	0	0.0176	0.0000	2.5000
2065.728	56	0	0.0177	0.0000	2.5000
2076.796	57	0	0.0178	0.0000	2.5000
2307.645	56	0	0.0199	0.0000	2.5000
2554.444	55	0	0.0220	0.0000	2.5000
3048.279	54	0	0.0263	0.0000	2.5000
3159.041	53	0	0.0273	0.0000	2.5000
3159.041	52	0	0.0273	0.0000	2.5000
3236.296	51	0	0.0279	0.0000	2.5000
3496.832	50	0	0.0300	0.0000	2.5000
4244.528	51	0	0.0359	0.0000	5.0000
4264.360	52	0	0.0360	0.0000	5.0000
4284.191	53	0	0.0362	0.0000	5.0000
4294.609	52	0	0.0363	0.0000	5.0000
4294.609	51	0	0.0363	0.0000	5.0000
4304.022	52	0	0.0363	0.0000	5.0000
4323.854	53	0	0.0365	0.0000	5.0000
4343.685	54	0	0.0367	0.0000	5.0000
4363.517	55	0	0.0368	0.0000	5.0000
4383.348	56	0	0.0370	0.0000	5.0000
4403.180	57	0	0.0372	0.0000	5.0000
4423.011	58	0	0.0374	0.0000	5.0000
4438.662	57	0	0.0375	0.0000	5.0000
4637.095	56	0	0.0393	0.0000	5.0000
4637.095	55	0	0.0393	0.0000	5.0000
4637.095	54	0	0.0393	0.0000	5.0000
4655.238	53	0	0.0394	0.0000	5.0000
4757.092	52	0	0.0403	0.0000	5.0000
4760.386	51	0	0.0403	0.0000	5.0000
4760.386	50	0	0.0403	0.0000	5.0000
4910.514	49	0	0.0415	0.0000	5.0000
4910.514	48	0	0.0415	0.0000	5.0000
5286.605	47	0	0.0443	0.0000	5.0000
5389.231	46	0	0.0451	0.0000	5.0000
5558.014	45	0	0.0463	0.0000	7.5000
5650.211	44	0	0.0470	0.0000	7.5000
5680.725	43	0	0.0472	0.0000	7.5000
6052.317	42	0	0.0497	0.0000	7.5000
6128.839	41	0	0.0502	0.0000	7.5000
6214.627	40	0	0.0508	0.0000	7.5000
6214.627	39	0	0.0508	0.0000	7.5000
6277.328	38	0	0.0511	0.0000	7.5000
6277.328	37	0	0.0511	0.0000	7.5000
6372.743	36	0	0.0517	0.0000	7.5000
6446.650	35	0	0.0521	0.0000	7.5000
6469.255	34	0	0.0522	0.0000	7.5000
6509.254	35	0	0.0525	0.0000	7.5000
6519.705	36	0	0.0525	0.0000	7.5000
6530.155	37	0	0.0526	0.0000	7.5000
6540.605	38	0	0.0526	0.0000	7.5000
6551.055	39	0	0.0527	0.0000	7.5000
6561.506	40	0	0.0528	0.0000	7.5000
6571.956	41	0	0.0528	0.0000	7.5000
6582.406	42	0	0.0529	0.0000	7.5000
6592.857	43	0	0.0530	0.0000	7.5000
6603.307	44	0	0.0530	0.0000	7.5000
6613.757	45	0	0.0531	0.0000	7.5000
6624.207	46	0	0.0532	0.0000	7.5000
6634.658	47	0	0.0533	0.0000	7.5000
6645.108	48	0	0.0533	0.0000	7.5000
6785.943	47	0	0.0544	0.0000	7.5000
6817.806	46	0	0.0546	0.0000	7.5000
6817.806	45	0	0.0546	0.0000	7.5000
6909.064	44	0	0.0553	0.0000	7.5000
6909.064	43	0	0.0553	0.0000	7.5000
7340.171	42	0	0.0582	0.0000	10.0000
7374.362	41	0	0.0584	0.0000	10.0000
7404.363	40	0	0.0586	0.0000	10.0000
7449.476	39	0	0.0589	0.0000	10.0000
7628.249	38	0	0.0600	0.0000	10.0000
7659.625	37	0	0.0602	0.0000	10.0000
7788.832	36	0	0.0609	0.0000	10.0000
7788.832	35	0	0.0609	0.0000	10.0000
7788.832	34	0	0.0609	0.0000	10.0000
7818.541	33	0	0.0611	0.0000	10.0000
7835.297	32	0	0.0612	0.0000	10.0000
7966.130	31	0	0.0618	0.0000	10.0000
8107.961	32	0	0.0625	0.0000	10.0000
8117.038	33	0	0.0626	0.0000	10.0000
8126.115	34	0	0.0626	0.0000	10.0000
8135.192	35	0	0.0627	0.0000	10.0000
8144.269	36	0	0.0627	0.0000	10.0000
8153.346	37	0	0.0628	0.0000	10.0000
8162.423	38	0	0.0628	0.0000	10.0000
8171.500	39	0	0.0629	0.0000	10.0000
8172.899	38	0	0.0629	0.0000	10.0000
8172.899	37	0	0.0629	0.0000	10.0000
8180.577	38	0	0.0629	0.0000	10.0000
8189.654	39	0	0.0630	0.0000	10.0000
8198.731	40	0	0.0631	0.0000	10.0000
8207.159	39	0	0.0631	0.0000	10.0000
8207.808	40	0	0.0631	0.0000	10.0000
8216.885	41	0	0.0632	0.0000	10.0000
8225.962	42	0	0.0632	0.0000	10.0000
8235.039	43	0	0.0633	0.0000	10.0000
8238.525	42	0	0.0633	0.0000	10.0000
8244.116	43	0	0.0633	0.0000	10.0000
8253.193	44	0	0.0634	0.0000	10.0000
8285.116	43	0	0.0636	0.0000	10.0000
8514.231	42	0	0.0652	0.0000	10.0000
8545.600	41	0	0.0654	0.0000	10.0000
8596.964	40	0	0.0657	0.0000	10.0000
8596.964	39	0	0.0657	0.0000	10.0000
8690.820	38	0	0.0663	0.0000	10.0000
8817.304	37	0	0.0671	0.0000	10.0000
8817.304	36	0	0.0671	0.0000	10.0000
9104.094	35	0	0.0687	0.0000	12.5000
9122.627	34	0	0.0688	0.0000	12.5000
9306.838	33	0	0.0698	0.0000	12.5000
9421.522	32	0	0.0704	0.0000	12.5000
9467.475	31	0	0.0706	0.0000	12.5000
9532.223	30	0	0.0709	0.0000	12.5000
9732.819	29	0	0.0719	0.0000	12.5000
10011.717	28	0	0.0731	0.0000	12.5000
10568.128	29	0	0.0756	0.0000	12.5000
10587.185	30	0	0.0757	0.0000	12.5000
10603.660	29	0	0.0757	0.0000	12.5000
10606.241	30	0	0.0758	0.0000	12.5000
10625.298	31	0	0.0758	0.0000	12.5000
10644.354	32	0	0.0759	0.0000	12.5000
10663.411	33	0	0.0760	0.0000	12.5000
10682.467	34	0	0.0761	0.0000	12.5000
10701.524	35	0	0.0762	0.0000	12.5000
10720.580	36	0	0.0763	0.0000	12.5000
10739.637	37	0	0.0764	0.0000	12.5000
10758.693	38	0	0.0766	0.0000	12.5000
10777.750	39	0	0.0767	0.0000	12.5000
10796.806	40	0	0.0768	0.0000	12.5000
10815.863	41	0	0.0769	0.0000	12.5000
10834.919	42	0	0.0770	0.0000	12.5000
10853.976	43	0	0.0772	0.0000	12.5000
10873.032	44	0	0.0773	0.0000	12.5000
10892.089	45	0	0.0774	0.0000	12.5000
10911.145	46	0	0.0776	0.0000	12.5000
10930.202	47	0	0.0777	0.0000	12.5000
10958.495	46	0	0.0779	0.0000	12.5000
10967.534	45	0	0.0780	0.0000	12.5000
11051.195	44	0	0.0786	0.0000	12.5000
11073.524	43	0	0.0787	0.0000	12.5000
11073.524	42	0	0.0787	0.0000	12.5000
11080.886	41	0	0.0788	0.0000	12.5000
11104.356	42	0	0.0789	0.0000	12.5000
11121.496	43	0	0.0790	0.0000	12.5000
11138.636	44	0	0.0791	0.0000	12.5000
11155.777	45	0	0.0793	0.0000	12.5000
11170.898	44	0	0.0794	0.0000	12.5000
11429.397	43	0	0.0812	0.0000	12.5000
11520.933	42	0	0.0818	0.0000	12.5000
11533.036	41	0	0.0819	0.0000	12.5000
11629.443	40	0	0.0825	0.0000	12.5000
11629.443	39	0	0.0825	0.0000	12.5000
11629.443	38	0	0.0825	0.0000	12.5000
11629.443	37	0	0.0825	0.0000	12.5000
11807.045	36	0	0.0835	0.0000	12.5000
11827.828	35	0	0.0836	0.0000	12.5000
11930.548	34	0	0.0842	0.0000	12.5000
11930.548	33	0	0.0842	0.0000	12.5000
11959.730	32	0	0.0844	0.0000	12.5000
12163.497	31	0	0.0854	0.0000	12.5000
12163.497	30	0	0.0854	0.0000	12.5000
12163.497	29	0	0.0854	0.0000	12.5000
12163.497	28	0	0.0854	0.0000	12.5000
12163.497	27	0	0.0854	0.0000	12.5000
12163.497	26	0	0.0854	0.0000	12.5000
12163.497	25	0	0.0854	0.0000	12.5000
12260.099	24	0	0.0858	0.0000	12.5000
12273.902	23	0	0.0858	0.0000	12.5000
12569.767	22	0	0.0869	0.0000	12.5000
12569.767	21	0	0.0869	0.0000	12.5000
12569.767	20	0	0.0869	0.0000	12.5000
12639.527	19	0	0.0871	0.0000	15.0000
12829.953	18	0	0.0877	0.0000	15.0000
12829.953	17	0	0.0877	0.0000	15.0000
12829.953	16	0	0.0877	0.0000	15.0000
13084.171	15	0	0.0883	0.0000	15.0000
13084.171	14	0	0.0883	0.0000	15.0000
13099.090	13	0	0.0883	0.0000	15.0000
13187.183	12	0	0.0885	0.0000	15.0000
13268.937	11	0	0.0887	0.0000	15.0000
13385.276	10	0	0.0889	0.0000	15.0000
13385.276	9	0	0.0889	0.0000	15.0000
13426.168	8	0	0.0889	0.0000	15.0000
13468.909	7	0	0.0890	0.0000	15.0000
13496.892	6	0	0.0890	0.0000	15.0000
13509.635	5	0	0.0890	0.0000	15.0000
13584.933	4	0	0.0891	0.0000	15.0000
13584.933	3	0	0.0891	0.0000	15.0000
13725.354	2	0	0.0892	0.0000	15.0000
13725.354	1	0	0.0892	0.0000	15.0000
13843.869	0	0	0.0892	0.0000	15.0000
13893.924	1	0	0.0892	0.0000	15.0000
13910.189	2	0	0.0892	0.0000	15.0000
13926.455	3	0	0.0892	0.0000	15.0000
13942.720	4	0	0.0892	0.0000	15.0000
13958.986	5	0	0.0892	0.0000	15.0000
13975.252	6	0	0.0892	0.0000	15.0000
13991.517	7	0	0.0892	0.0000	15.0000
14007.783	8	0	0.0893	0.0000	15.0000
14024.049	9	0	0.0893	0.0000	15.0000
14040.314	10	0	0.0893	0.0000	15.0000
14056.580	11	0	0.0893	0.0000	15.0000
14072.846	12	0	0.0893	0.0000	15.0000
14089.111	13	0	0.0894	0.0000	15.0000
14092.702	12	0	0.0894	0.0000	15.0000
14092.702	11	0	0.0894	0.0000	15.0000
14092.702	10	0	0.0894	0.0000	15.0000
14105.377	11	0	0.0894	0.0000	15.0000
14121.643	12	0	0.0894	0.0000	15.0000
