# mean	lower_ci	upper_ci
0.80124333	0.70028068	0.90220598
1.20828868	1.07025147	1.34632590
1.32619050	1.15104469	1.50133632
1.48125939	1.27390694	1.68861185
1.91702682	1.71446846	2.11958518
2.16740926	1.92595750	2.40886102
1.76091324	1.55126325	1.97056324
1.82168829	1.56820706	2.07516951
2.75694532	2.43070502	3.08318563
4.16903680	3.79825270	4.53982090
3.83437659	3.52229730	4.14645588
3.72430525	3.35449854	4.09411196
4.31075566	3.88568604	4.73582527
5.99638187	5.43459906	6.55816467
6.56224378	5.90034349	7.22414407
5.97927269	5.31008246	6.64846292
6.15386328	5.51717896	6.79054759
7.46157871	6.80003370	8.12312373
7.77800764	7.09918115	8.45683412
7.48889639	6.78108576	8.19670703
6.57808416	5.87351299	7.28265534
6.40191528	5.72239958	7.08143098
6.10952148	5.45572962	6.76331333
5.55841741	5.00715440	6.10968043
6.36703529	5.81760759	6.91646299
9.34335014	8.66880172	10.01789856
9.77502124	8.92454110	10.62550139
9.24900654	8.36982458	10.12818850
10.35971887	9.49998347	11.21945427
13.78249620	12.82566393	14.73932847
14.27559777	13.24451294	15.30668261
13.27812862	12.26887419	14.28738305
13.06516220	11.97140790	14.15891649
15.17083944	13.99673557	16.34494330
15.41936877	14.16331520	16.67542234
14.29093734	13.05451384	15.52736084
13.12399699	11.92279713	14.32519685
13.71712189	12.45864442	14.97559936
13.03741019	11.82329477	14.25152560
11.37217985	10.23254545	12.51181425
8.68685201	7.72050602	9.65319800
7.68523195	6.82744593	8.54301797
7.00752925	6.40572830	7.60933020
5.53789202	4.98887361	6.08691044
5.14814243	4.67539540	5.62088946
6.75239052	6.24871095	7.25607009
6.32480030	5.85748259	6.79211800
5.02269813	4.59589114	5.44950513
5.05553889	4.58653570	5.52454208
6.62398381	6.19472767	7.05323995
6.47378323	5.97953679	6.96802967
5.54481845	5.04046751	6.04916938
4.50723482	4.09000822	4.92446141
5.50269955	5.15065876	5.85474035
5.03379821	4.63516642	5.43243000
3.86069634	3.42969842	4.29169426
3.24342109	2.89132877	3.59551341
3.75104863	3.41693030	4.08516696
3.26071934	3.00634177	3.51509690
3.10785862	2.82197957	3.39373766
3.35821598	3.01781617	3.69861579
4.45489215	4.08832591	4.82145840
4.25429914	3.88735678	4.62124149
3.74127296	3.38265807	4.09988785
4.39655896	3.99485423	4.79826370
6.52666168	6.06283676	6.99048660
5.73301297	5.31125629	6.15476966
4.60351266	4.22399736	4.98302796
5.35807257	4.89989516	5.81624998
8.56516284	8.00701951	9.12330618
8.81421395	8.13379084	9.49463706
7.48736809	6.79787917	8.17685700
8.29632180	7.43381892	9.15882469
11.32757370	10.38758403	12.26756337
12.27583187	11.18272688	13.36893685
10.69758942	9.58077581	11.81440303
10.64051798	9.56616259	11.71487336
13.57690123	12.43165143	14.72215102
14.49695194	13.36329136	15.63061252
14.03290653	12.85805829	15.20775477
14.14006508	12.90635224	15.37377793
16.55520638	15.18341454	17.92699822
17.28880547	15.81099851	18.76661242
15.86134890	14.28462194	17.43807586
15.59233314	13.98751703	17.19714925
18.24911276	16.47524037	20.02298515
19.26298779	17.42769914	21.09827643
18.10955467	16.29415137	19.92495797
17.95515562	16.08038276	19.82992848
20.60102670	18.68189852	22.52015488
20.30371877	18.41095649	22.19648104
19.51829874	17.63209217	21.40450531
17.33249632	15.47757509	19.18741755
17.55571647	15.73575926	19.37567367
16.36389845	14.69622444	18.03157246
14.11683907	12.51572145	15.71795670
