# mean	lower_ci	upper_ci
2.21093750	1.95586947	2.46600553
3.12500000	2.83576499	3.41423501
3.21875000	2.91288607	3.52461393
3.29687500	3.00088877	3.59286123
3.30468750	3.00144544	3.60792956
3.87500000	3.52783630	4.22216370
3.85156250	3.50570151	4.19742349
3.78906250	3.45674800	4.12137700
5.75000000	5.30925729	6.19074271
6.82031250	6.40358357	7.23704143
6.95312500	6.57291361	7.33333639
6.95312500	6.52662871	7.37962129
7.40625000	6.98895216	7.82354784
7.76562500	7.32623320	8.20501680
8.64062500	8.14834698	9.13290302
8.07812500	7.53915597	8.61709403
8.41406250	7.90211467	8.92601033
8.66406250	8.11481393	9.21331107
8.97656250	8.47584528	9.47727972
8.78906250	8.25713607	9.32098893
8.26562500	7.83657368	8.69467632
7.70312500	7.22515648	8.18109352
7.41406250	6.91948896	7.90863604
7.53906250	7.02832783	8.04979717
9.32031250	8.78959531	9.85102969
10.36718750	9.81897521	10.91539979
9.83593750	9.32526067	10.34661433
10.15625000	9.60264719	10.70985281
11.29687500	10.73315304	11.86059696
11.74218750	11.20425568	12.28011932
11.28125000	10.72615514	11.83634486
10.99218750	10.39819906	11.58617594
11.55468750	10.91204066	12.19733434
11.75000000	11.14869483	12.35130517
11.15625000	10.59417454	11.71832546
11.34375000	10.79831810	11.88918190
10.53906250	9.95050719	11.12761781
9.39062500	8.84614849	9.93510151
9.47656250	8.93350692	10.01961808
9.13281250	8.58352359	9.68210141
7.81250000	7.32893248	8.29606752
5.83593750	5.38998316	6.28189184
6.23437500	5.77551472	6.69323528
5.57031250	5.14725201	5.99337299
6.20312500	5.78928356	6.61696644
7.11718750	6.62304718	7.61132782
6.67968750	6.26494810	7.09442690
7.18750000	6.74368495	7.63131505
7.10156250	6.65135597	7.55176903
7.37500000	6.92734117	7.82265883
7.40625000	6.94280169	7.86969831
7.60156250	7.14329205	8.05983295
6.75781250	6.27718804	7.23843696
6.01562500	5.61007529	6.42117471
6.39062500	5.93499492	6.84625508
6.12500000	5.70288100	6.54711900
5.79687500	5.40113144	6.19261856
5.50781250	5.07138245	5.94424255
5.28125000	4.93412884	5.62837116
5.44531250	5.05652769	5.83409731
5.92187500	5.44576418	6.39798582
6.64062500	6.20759883	7.07365117
6.81250000	6.36391830	7.26108170
6.46875000	6.03944917	6.89805083
7.60156250	7.07513456	8.12799044
7.96093750	7.50729931	8.41457569
7.95312500	7.47738659	8.42886341
7.84375000	7.39113654	8.29636346
8.91406250	8.39820593	9.42991907
9.47656250	8.96718883	9.98593617
9.86718750	9.29720719	10.43716781
9.70312500	9.16646284	10.23978716
10.33593750	9.78027253	10.89160247
10.10937500	9.53945137	10.67929863
10.80468750	10.25081963	11.35855537
10.49218750	9.90239129	11.08198371
10.93750000	10.30078572	11.57421428
11.46093750	10.89032267	12.03155233
11.26562500	10.71844253	11.81280747
10.86718750	10.33850581	11.39586919
11.65625000	11.08541358	12.22708642
11.07031250	10.51511288	11.62551212
12.25781250	11.63441489	12.88121011
11.86718750	11.26691640	12.46745860
11.39843750	10.81333034	11.98354466
11.54687500	10.90164060	12.19210940
11.32812500	10.67118512	11.98506488
11.06250000	10.47240179	11.65259821
11.35156250	10.74066971	11.96245529
11.88281250	11.25323802	12.51238698
11.10156250	10.53722025	11.66590475
11.92968750	11.33304436	12.52633064
9.96093750	9.35673013	10.56514487
9.24218750	8.65651265	9.82786235
8.71875000	8.14317242	9.29432758
9.19531250	8.66276168	9.72786332
