# batch	value
1	2.87475966
2	7.34804117
3	3.76666271
4	2.48038601
5	4.57362255
6	3.41784608
7	4.83952176
8	3.24523824
9	2.97016707
10	2.20059606
11	3.93249806
12	4.30896145
13	4.41765272
14	2.83153086
15	4.18256276
16	3.54616486
17	2.81995230
18	4.38707405
19	4.22663607
20	3.08603785
21	2.19986848
22	3.40228813
23	3.23525150
24	2.96021353
25	3.46181883
26	4.14128459
27	3.24798858
28	13.02718222
29	2.54606045
30	4.77130650
31	3.51057443
32	3.37130680
33	4.34343498
34	4.98216240
35	2.59964224
36	2.04773118
37	2.14981780
38	7.18253991
39	4.26715961
40	4.94976087
41	7.77366964
42	4.74233369
43	2.42660046
44	4.10117259
45	5.28619792
46	7.11099435
47	4.06139463
48	3.76145334
49	3.29250747
50	2.83115014
51	2.96123954
52	3.99037804
53	1.78688877
54	4.72980035
55	2.39724570
56	3.99593334
57	2.91459889
58	2.02981234
59	5.13402791
60	2.45528943
61	6.40724463
62	3.71111528
63	2.41997300
64	4.75941011
