# batch	value
1	188.12819165
2	406.89462773
3	236.77184850
4	164.07733469
5	272.21127303
6	213.24619913
7	287.44325931
8	218.62572397
9	193.14265219
10	155.99302588
11	246.47768621
12	262.05747568
13	263.79913261
14	194.58355468
15	256.74386737
16	224.40046882
17	182.95181328
18	256.45821435
19	250.98951669
20	205.06729370
21	160.23590619
22	219.75148865
23	204.83170170
24	192.10474900
25	222.30055056
26	246.63078152
27	214.26393643
28	685.57116282
29	168.16459721
30	286.60853753
31	213.74697107
32	221.37241439
33	262.39674244
34	283.83672863
35	170.85666215
36	150.61623671
37	153.63968373
38	386.61631232
39	265.63970591
40	290.39805753
41	422.00314822
42	275.83351915
43	171.33649938
44	243.13308714
45	316.17415498
46	385.12110823
47	253.76279601
48	240.46619445
49	206.82605220
50	188.36341994
51	197.03124281
52	237.48700368
53	132.08121755
54	283.35788458
55	170.00436238
56	249.69390126
57	199.56892283
58	149.92848810
59	294.25476329
60	171.28177965
61	360.79454367
62	223.77199586
63	162.23968419
64	294.95697484
