# batch	value
1	0.83093759
2	0.89140622
3	0.83355239
4	0.77598834
5	0.87807203
6	0.83748007
7	0.89288539
8	0.83434415
9	0.79383069
10	0.79448051
11	0.84846740
12	0.87896874
13	0.83933694
14	0.79141470
15	0.84645675
16	0.84052982
17	0.82533583
18	0.85091367
19	0.85450837
20	0.83003290
21	0.78809831
22	0.82394437
23	0.83010476
24	0.80542906
25	0.84798677
26	0.86186656
27	0.82227984
28	0.90745280
29	0.80664174
30	0.81660032
31	0.86210575
32	0.86548006
33	0.85180344
34	0.86579450
35	0.83974943
36	0.78899121
37	0.81551785
38	0.88122637
39	0.83805720
40	0.83626768
41	0.88230939
42	0.84984353
43	0.81364540
44	0.87404598
45	0.87314805
46	0.90560755
47	0.83367452
48	0.80500540
49	0.84431971
50	0.80206938
51	0.82483390
52	0.87656743
53	0.78402799
54	0.83344600
55	0.77861228
56	0.85841037
57	0.82570441
58	0.80457714
59	0.91707578
60	0.77496445
61	0.87062436
62	0.87852762
63	0.77787047
64	0.86019371
