# batch	value
1	2.74796574
2	3.07317012
3	2.87158932
4	2.52491841
5	3.06719769
6	2.50556640
7	2.60451277
8	2.40306998
9	2.95860695
10	2.84805033
11	2.84187306
12	3.30338799
13	2.87049396
14	2.28750250
15	2.52424635
16	2.55089617
17	2.45231714
18	4.05734831
19	3.42953251
20	3.36653715
21	2.29014894
22	2.90170461
23	3.51577296
24	3.17320019
25	2.84834541
26	3.24993511
27	2.78844704
28	3.38443653
29	2.69430255
30	2.84422198
31	3.50726751
32	3.20259742
33	2.93272851
34	3.27855330
35	2.99300752
36	2.54907223
37	2.83932872
38	3.15964457
39	2.72894549
40	3.94125251
41	3.50403865
42	2.98791614
43	2.65904759
44	2.79357461
45	2.85309624
46	3.25533379
47	2.50879115
48	2.93048135
49	3.56488909
50	2.85386620
51	2.35583503
52	3.20346212
53	2.80776391
54	2.43991893
55	3.01778596
56	2.74990593
57	2.57861521
58	3.05954742
59	3.60755573
60	2.74696541
61	3.27902841
62	3.51526047
63	2.66103071
64	3.70685203
