# batch	value
1	544.14853185
2	599.24414240
3	584.65428937
4	517.42589010
5	581.68085886
6	508.80271151
7	478.10949777
8	470.41778032
9	526.79335301
10	532.91383032
11	564.95090106
12	628.86818101
13	566.89199754
14	494.62516699
15	493.30299800
16	521.63911232
17	505.27375318
18	679.63884194
19	621.22688059
20	604.30326975
21	469.09699193
22	559.02919926
23	629.46975178
24	616.46225112
25	564.80273812
26	611.04636094
27	536.08088423
28	614.62041666
29	541.30029275
30	537.62676305
31	623.86950273
32	611.43564484
33	580.53217467
34	609.64569424
35	594.65694970
36	513.72080854
37	548.46009689
38	589.22855682
39	524.09255478
40	692.40823591
41	635.56203209
42	571.24108969
43	516.61115284
44	578.32151714
45	551.91143308
46	626.75186933
47	501.38458386
48	609.46027588
49	656.95453670
50	508.45011377
51	464.66876048
52	582.96087769
53	557.90846111
54	494.56681084
55	564.10983911
56	518.64435128
57	519.63486252
58	562.88711594
59	665.74908579
60	514.15932619
61	590.19237033
62	665.54780242
63	501.96943290
64	658.86763219
