# batch	value
1	0.90795257
2	0.94011522
3	0.92755486
4	0.90193440
5	0.92918212
6	0.90886827
7	0.93949788
8	0.94618697
9	0.93101361
10	0.92101849
11	0.94242485
12	0.94907721
13	0.92861653
14	0.86066486
15	0.88546578
16	0.92750494
17	0.90725093
18	0.96282202
19	0.94362332
20	0.95109255
21	0.89429477
22	0.91906156
23	0.94712622
24	0.92693950
25	0.89963958
26	0.96543227
27	0.90427993
28	0.96816080
29	0.89898437
30	0.88663152
31	0.95894389
32	0.94464856
33	0.93693727
34	0.95997144
35	0.94853420
36	0.92889732
37	0.91993182
38	0.94604834
39	0.93992851
40	0.96780417
41	0.99279496
42	0.94605436
43	0.90475971
44	0.89566968
45	0.93664009
46	0.93452012
47	0.91500488
48	0.89733439
49	0.94875972
50	0.95005652
51	0.91033832
52	0.97528203
53	0.92711581
54	0.89416273
55	0.93102245
56	0.90936064
57	0.91685484
58	0.94013192
59	0.97627399
60	0.89898748
61	0.96415303
62	0.93371840
63	0.92558951
64	0.95731104
