# batch	value
1	0.00061878
2	0.00137860
3	0.00314273
4	0.00153910
5	0.00771852
6	0.00096369
7	0.01712781
8	0.00791316
9	0.00019208
10	0.00107682
11	0.01069227
12	0.00581015
13	0.01160324
14	0.00706547
15	0.00774137
16	0.00327965
17	0.00551549
18	0.00394695
19	0.00253379
20	0.00550273
21	0.00866752
22	0.00593556
23	0.00183943
24	0.00270598
25	0.00408038
26	0.00752427
27	0.00394068
28	0.00697049
29	0.00000000
30	0.00200840
31	0.00499578
32	0.00779396
33	0.00170529
34	0.00434990
35	0.00819081
36	0.00124717
37	0.00126458
38	0.00000000
39	0.00175454
40	0.00691449
41	0.00698677
42	0.00269331
43	0.00128414
44	0.00784604
45	0.00545811
46	0.01450580
47	0.01106786
48	0.00575171
49	0.00934672
50	0.00350484
51	0.00391242
52	0.00250158
53	0.00476852
54	0.00000000
55	0.00077214
56	0.00000000
57	0.00051797
58	0.00002620
59	0.00546451
60	0.00032655
61	0.00000000
62	0.00452683
63	0.00616881
64	0.00258415
