# batch	value
1	53.84863557
2	66.08472853
3	53.13162458
4	49.43218023
5	61.38627346
6	61.42512572
7	74.88289688
8	61.38987503
9	60.43071708
10	59.40044075
11	69.67377722
12	55.27982738
13	64.86033573
14	65.97039372
15	72.09319623
16	73.75552926
17	57.11661561
18	50.55108306
19	58.93296802
20	58.78530172
21	78.22591864
22	72.96190352
23	55.48170677
24	68.15697343
25	70.29599579
26	74.08025509
27	72.70086704
28	76.00330124
29	70.88289982
30	57.27944685
31	61.32182445
32	81.71843718
33	73.10304536
34	62.34694250
35	60.49596743
36	69.71341929
37	61.43795699
38	59.59298976
39	54.15518716
40	76.60189683
41	85.50328470
42	56.90791044
43	66.91574339
44	61.17906162
45	62.56297799
46	71.23097960
47	76.51856528
48	71.95496927
49	62.87258768
50	62.72019698
51	68.28788964
52	68.62878923
53	64.90251604
54	52.12233591
55	60.17246563
56	68.33855219
57	54.08488932
58	55.68360897
59	66.54779621
60	49.13893523
61	51.27401457
62	70.84166610
63	67.22798188
64	70.02395392
