# batch	value
1	0.06436712
2	0.07884114
3	0.04712990
4	0.05217659
5	0.05839113
6	0.07488474
7	0.04948551
8	0.05296661
9	0.06192285
10	0.04293040
11	0.04028892
12	0.05252713
13	0.06238766
14	0.06133031
15	0.07465793
16	0.05150887
17	0.05398844
18	0.06210257
19	0.07386082
20	0.06858994
21	0.09226517
22	0.06496799
23	0.05759918
24	0.07545340
25	0.08394797
26	0.06497169
27	0.05262237
28	0.08569754
29	0.06631750
30	0.05910658
31	0.07040697
32	0.07784949
33	0.06057099
34	0.07013740
35	0.06568729
36	0.05363548
37	0.05595888
38	0.05536516
39	0.05904820
40	0.08301549
41	0.08775297
42	0.06150044
43	0.05158704
44	0.08388194
45	0.06048625
46	0.05532378
47	0.04468085
48	0.05730013
49	0.06212620
50	0.06707093
51	0.06507434
52	0.07062078
53	0.05658417
54	0.04449273
55	0.05813143
56	0.04971049
57	0.04439248
58	0.06020100
59	0.07688611
60	0.04047518
61	0.05165571
62	0.06743233
63	0.06430192
64	0.08117506
