# batch	value
1	0.27988679
2	0.19625298
3	0.25865532
4	0.31371714
5	0.25792134
6	0.16434561
7	0.27273335
8	0.23827225
9	0.31530165
10	0.15316829
11	0.25325855
12	0.18135642
13	0.16974729
14	0.10292973
15	0.46326039
16	0.15287505
17	0.31002886
18	0.33764305
19	0.27248453
20	0.13718519
21	0.18734464
22	0.24156905
23	0.19941288
24	0.20255385
25	0.22550894
26	0.20350869
27	0.20098844
28	0.17440356
29	0.23501021
30	0.19998325
31	0.17923910
32	0.13090917
33	0.19947192
34	0.25751132
35	0.22590622
36	0.15945667
37	0.23753692
38	0.43809747
39	0.14886736
40	0.17457827
41	0.34186018
42	0.19798364
43	0.19102193
44	0.38174159
45	0.33962068
46	0.10315520
47	0.27218316
48	0.15427874
49	0.31994843
50	0.13387769
51	0.27005787
52	0.40425028
53	0.33325927
54	0.28622286
55	0.30364267
56	0.22288557
57	0.20573616
58	0.17264947
59	0.26745790
60	0.22251435
61	0.43009293
62	0.70234250
63	0.23384161
64	0.14913095
