# batch	value
1	0.54747456
2	0.56674040
3	0.57158060
4	0.57121595
5	0.55673726
6	0.54856717
7	0.59853899
8	0.56165726
9	0.57511827
10	0.54191441
11	0.56716732
12	0.55548083
13	0.54839844
14	0.49452966
15	0.57727809
16	0.57468718
17	0.57544170
18	0.57906879
19	0.59362663
20	0.51753431
21	0.52181573
22	0.56673700
23	0.56455658
24	0.56368416
25	0.54955015
26	0.54612505
27	0.55832103
28	0.55180515
29	0.57457531
30	0.54825432
31	0.57203700
32	0.53649366
33	0.56058882
34	0.59412194
35	0.57635518
36	0.56291198
37	0.55762394
38	0.60122478
39	0.55566677
40	0.55408659
41	0.61258833
42	0.52454797
43	0.55629791
44	0.57545017
45	0.59595196
46	0.53085059
47	0.55619115
48	0.52362424
49	0.58925334
50	0.53612129
51	0.58580309
52	0.58990997
53	0.57332356
54	0.56919527
55	0.53752694
56	0.56583200
57	0.53000380
58	0.55840225
59	0.57193440
60	0.56547332
61	0.59399461
62	0.62728031
63	0.54201185
64	0.53016893
