# batch	value
1	0.00603921
2	0.00572103
3	0.00410694
4	0.00374735
5	0.00587125
6	0.00343123
7	0.00588682
8	0.00442050
9	0.00553776
10	0.00346574
11	0.00477299
12	0.00466278
13	0.00531033
14	0.00475437
15	0.00697312
16	0.00548208
17	0.00561403
18	0.00565984
19	0.00579267
20	0.00431733
21	0.00468394
22	0.00379482
23	0.00394780
24	0.00551173
25	0.00499025
26	0.00542687
27	0.00496088
28	0.00503809
29	0.00382091
30	0.00502127
31	0.00638056
32	0.00264643
33	0.00427022
34	0.00606084
35	0.00448574
36	0.00307672
37	0.00478380
38	0.00658006
39	0.00439504
40	0.00417416
41	0.00669628
42	0.00330199
43	0.00359767
44	0.00438209
45	0.00552518
46	0.00555495
47	0.00354382
48	0.00393318
49	0.00576736
50	0.00441516
51	0.00370932
52	0.00542924
53	0.00625507
54	0.00458267
55	0.00501463
56	0.00670830
57	0.00448608
58	0.00450749
59	0.00665309
60	0.00442922
61	0.00559078
62	0.00547386
63	0.00510501
64	0.00408282
