# batch	value
1	3.36271857
2	3.28966349
3	3.09000886
4	3.04300284
5	3.13400023
6	3.14696667
7	3.30268771
8	3.19332138
9	3.11456024
10	3.08449041
11	3.14371790
12	3.22897789
13	3.32494019
14	3.24005789
15	3.21875159
16	3.32898936
17	3.26753160
18	3.05980834
19	3.23671441
20	3.19552117
21	3.22970651
22	3.33230423
23	3.10335412
24	3.37300520
25	3.22829235
26	3.37753341
27	3.14276729
28	3.26863827
29	3.16652071
30	3.42622860
31	3.44637275
32	2.98421832
33	3.08181580
34	3.31001188
35	3.24036059
36	2.97467475
37	3.17617372
38	3.35311771
39	3.11926687
40	3.16628261
41	3.35740787
42	3.11685185
43	3.20661360
44	3.13040237
45	3.28237473
46	3.21443297
47	3.11475917
48	3.20639581
49	3.40398980
50	3.19636849
51	3.10418382
52	3.24319600
53	3.31050207
54	3.19661781
55	3.22377637
56	3.23428225
57	3.23499995
58	3.17442488
59	3.40674466
60	3.15084410
61	3.10394427
62	3.36702453
63	3.26836190
64	3.23781299
