# batch	value
1	0.06856096
2	0.07024007
3	0.06576598
4	0.06390110
5	0.06688664
6	0.06786959
7	0.07134687
8	0.06498086
9	0.06579333
10	0.06519212
11	0.06557424
12	0.06907409
13	0.06963415
14	0.06347287
15	0.06751866
16	0.06841622
17	0.06752962
18	0.06766900
19	0.07082749
20	0.06696964
21	0.06528568
22	0.06891312
23	0.06780583
24	0.07008313
25	0.06774887
26	0.07196116
27	0.06447867
28	0.07244668
29	0.06805674
30	0.07174210
31	0.07591315
32	0.06274585
33	0.06562860
34	0.07199870
35	0.06949389
36	0.06129283
37	0.06643000
38	0.07268630
39	0.06558934
40	0.06959520
41	0.07331204
42	0.06810583
43	0.06696775
44	0.06762079
45	0.07037172
46	0.06854358
47	0.06595526
48	0.06536426
49	0.07270330
50	0.06817134
51	0.06499145
52	0.07162572
53	0.06812688
54	0.06692327
55	0.06539579
56	0.06640701
57	0.06579240
58	0.06598974
59	0.07298886
60	0.06558770
61	0.06654460
62	0.07426263
63	0.06963847
64	0.06765039
