# batch	value
1	1.67195500
2	1.93966163
3	1.64241770
4	1.52084781
5	1.89329773
6	1.89109804
7	1.69186366
8	1.65452816
9	1.81910050
10	1.55915551
11	1.66887891
12	1.77139819
13	1.71369759
14	1.67796004
15	1.98825308
16	1.71759984
17	1.85469677
18	1.84048267
19	2.04591097
20	1.51307185
21	1.56524237
22	1.80640267
23	1.63610537
24	1.71582802
25	1.88709840
26	1.73744963
27	2.20348585
28	1.89455562
29	1.85838400
30	1.75351075
31	1.79997900
32	1.89221146
33	1.73238415
34	1.80631188
35	1.71714296
36	1.64913892
37	1.84802560
38	1.68067020
39	1.87044665
40	1.66299480
41	1.54663671
42	1.90604337
43	1.89436915
44	2.10426342
45	1.61740718
46	2.09679136
47	1.77485883
48	1.64627293
49	1.67034634
50	1.72860767
51	1.75007543
52	1.69001873
53	1.67671252
54	1.67148519
55	1.63531721
56	1.85331439
57	1.67585505
58	1.67131946
59	1.68365866
60	1.72352419
61	1.99023098
62	1.80743409
63	1.59626592
64	1.73138553
