# batch	value
1	0.53380691
2	0.54397673
3	0.53885088
4	0.51493986
5	0.55610933
6	0.56368039
7	0.56985191
8	0.54504348
9	0.56688980
10	0.52662273
11	0.54702052
12	0.53701565
13	0.53928585
14	0.50649776
15	0.55038234
16	0.52942630
17	0.57645187
18	0.51652503
19	0.55825536
20	0.53089873
21	0.50525378
22	0.53921783
23	0.53656573
24	0.52387207
25	0.50410486
26	0.55662003
27	0.55037160
28	0.57334906
29	0.51809181
30	0.52231148
31	0.57972899
32	0.56449796
33	0.52952814
34	0.56359327
35	0.54571446
36	0.54841094
37	0.53729545
38	0.55014739
39	0.55089395
40	0.52652779
41	0.55747861
42	0.57353160
43	0.54282738
44	0.54318944
45	0.54660858
46	0.54578261
47	0.53599828
48	0.52982496
49	0.54283712
50	0.54748577
51	0.56018868
52	0.56174594
53	0.54411988
54	0.53355052
55	0.52433801
56	0.54448262
57	0.54324639
58	0.54563557
59	0.54879350
60	0.52088850
61	0.57531623
62	0.53413588
63	0.53180196
64	0.53532622
