# batch	value
1	95.94604605
2	92.75103348
3	108.53730351
4	115.47840484
5	89.21842428
6	94.18962090
7	114.16045707
8	95.05115684
9	146.28737794
10	96.92913690
11	104.39161014
12	113.83540282
13	91.92161650
14	92.41177613
15	104.47621066
16	80.11044968
17	86.80817530
18	120.26743277
19	105.12173911
20	83.00340105
21	83.41954856
22	92.04184141
23	122.11970904
24	84.61693403
25	104.27418202
26	96.31813215
27	103.40807076
28	86.86892640
29	102.50247293
30	106.32343955
31	120.54089413
32	90.19545385
33	100.79664344
34	99.45994337
35	88.94256949
36	97.17639057
37	92.28658796
38	122.30694995
39	101.91965826
40	89.13606301
41	112.09379758
42	101.34985397
43	88.08834678
44	99.22072414
45	104.91057697
46	92.00953027
47	95.83321786
48	86.03752714
49	99.62672482
50	114.78214021
51	95.19020289
52	99.02340388
53	98.57888666
54	116.15113968
55	84.67004027
56	99.66253369
57	81.59745872
58	94.37375729
59	102.73512775
60	109.31278034
61	159.59931481
62	121.45439004
63	95.01327272
64	105.77045898
