# batch	value
1	421.20608156
2	607.89422943
3	477.26634641
4	428.70792811
5	485.45026655
6	435.76369234
7	524.88202649
8	454.95136506
9	480.47776056
10	387.82299188
11	486.11402982
12	498.60397854
13	481.07515251
14	409.66413346
15	498.95023100
16	438.08849204
17	414.91707472
18	505.54423277
19	487.77502782
20	411.77348183
21	377.72569839
22	450.58942772
23	459.72138567
24	414.68872787
25	458.18055034
26	469.56419342
27	451.52453788
28	833.68796545
29	412.36960953
30	511.81312788
31	463.54387862
32	439.13938909
33	488.94704889
34	513.87232393
35	402.26435271
36	392.23552766
37	388.99420802
38	632.75112147
39	489.19491695
40	499.91365732
41	650.08165127
42	489.95840204
43	398.30934213
44	481.31102403
45	550.20430423
46	577.98036910
47	479.87313672
48	451.70127180
49	450.34757752
50	428.57736906
51	437.43424012
52	475.37418689
53	385.64448489
54	526.54123513
55	397.27795765
56	475.10942351
57	413.68951998
58	387.88400462
59	522.39855947
60	419.57362798
61	643.65706268
62	510.04964410
63	392.08687851
64	515.60079690
