# batch	value
1	0.04214559
2	0.09366667
3	0.07012812
4	0.03302412
5	0.08280678
6	0.05432526
7	0.07959184
8	0.03325650
9	0.04396396
10	0.04392129
11	0.05676127
12	0.10524611
13	0.06509695
14	0.04611052
15	0.07874016
16	0.06957109
17	0.03677258
18	0.11736111
19	0.08633583
20	0.08788282
21	0.03766413
22	0.04901293
23	0.09251559
24	0.06526316
25	0.06458123
26	0.06571627
27	0.05443548
28	0.07828947
29	0.03981180
30	0.08810888
31	0.06482759
32	0.07222955
33	0.06353498
34	0.06859704
35	0.04952912
36	0.03535177
37	0.05662320
38	0.08376422
39	0.06316489
40	0.07635727
41	0.06857523
42	0.08752197
43	0.06155399
44	0.08970887
45	0.06954282
46	0.10389159
47	0.05324849
48	0.07905405
49	0.09181912
50	0.03842196
51	0.03234687
52	0.07822903
53	0.04967603
54	0.04886442
55	0.03093500
56	0.08682432
57	0.04844061
58	0.05783133
59	0.09650582
60	0.02593250
61	0.09137753
62	0.10957552
63	0.04311594
64	0.11044974
